['CV', 170, 'BV', 16, 'tac', 'libvlc.so', 'V3', 'V3', 0.177028258887876, 0.3461263179779053]
['BV', 5, 'CV', 105, 'libvlccore.so', 'pwd', 'V0', 'V3', 0.16724587315377937, 2.6852095127105713]
['UV', 8, 'CV', 160, 'strip', 'shred', 'V2', 'V3', 0.12533807829181498, 1.244854211807251]
['UV', 66, 'CV', 119, 'diff3', 'paste', 'V0', 'V3', 0.06337599024984764, 0.033674001693725586]
['UV', 34, 'CV', 213, 'elfedit', 'whoami', 'V3', 'V0', 0.10950226244343897, 0.02107095718383789]
['BV', 0, 'UV', 26, 'bash', 'ranlib', 'V2', 'V3', 0.03659091598652875, 6.31286883354187]
['BV', 40, 'UV', 86, 'lua', 'size', 'V2', 'V0', 0.0418808091853472, 1.9432621002197266]
['BV', 21, 'CV', 276, 'cp', 'uptime', 'V1', 'V1', 0.1042830540037244, 0.039516448974609375]
['UV', 60, 'CV', 85, 'gprof', 'mknod', 'V1', 'V2', 0.1417140971706673, 0.9218974113464355]
['UV', 45, 'BV', 30, 'cmp', 'bash', 'V1', 'V0', 0.12597574745937457, 2.0767059326171875]
['UV', 28, 'CV', 183, 'strings', 'users', 'V3', 'V0', 0.15193497737138628, 0.8369112014770508]
['UV', 17, 'CV', 155, 'addr2line', 'cat', 'V2', 'V3', 0.14379258472701528, 0.9029238224029541]
['CV', 141, 'BV', 13, 'false', 'cp', 'V3', 'V2', 0.11842686699072025, 0.0595402717590332]
['BV', 37, 'CV', 111, 'geany', 'factor', 'V1', 'V3', 0.18182347348609795, 19.18546724319458]
['CV', 346, 'UV', 41, 'mknod', 'cmp', 'V1', 'V3', 0.09183673469387754, 0.024219274520874023]
['UV', 34, 'CV', 247, 'elfedit', 'shred', 'V3', 'V0', 0.052233676975945054, 0.0374605655670166]
['UV', 57, 'CV', 77, 'strings', 'nl', 'V1', 'V2', 0.12784778436117827, 0.9694793224334717]
['BV', 42, 'CV', 300, 'libvlc.so', 'whoami', 'V1', 'V1', 0.18859452177817693, 0.2155148983001709]
['CV', 15, 'UV', 13, 'uptime', 'strings', 'V2', 'V2', 0.14498572448251246, 0.9012227058410645]
['CV', 315, 'UV', 80, 'false', 'objcopy', 'V1', 'V0', 0.140094131489925, 1.0343348979949951]
['BV', 35, 'CV', 248, 'libvlccore.so', 'pathchk', 'V2', 'V0', 0.16816089168887816, 3.086275577545166]
