['BV', 24, 'CV', 267, 'git', 'fmt', 'V0', 'V1', 0.09569221547096807, 3.4837212562561035]
['BV', 20, 'CV', 16, 'sort', 'dd', 'V1', 'V2', 0.035491606714628254, 0.05843806266784668]
['BV', 36, 'CV', 324, 'libvlc.so', 'mv', 'V2', 'V1', 0.1497568338084857, 0.4549214839935303]
['BV', 40, 'CV', 190, 'lua', 'dd', 'V2', 'V0', 0.1231369271486279, 0.366713285446167]
['CV', 7, 'BV', 22, 'dir', 'cmp', 'V2', 'V3', 0.09885931558935357, 0.08043026924133301]
['BV', 83, 'UV', 34, 'git', 'elfedit', 'V2', 'V3', 0.09221834163952436, 6.558089971542358]
['UV', 30, 'CV', 72, 'ld', 'id', 'V3', 'V2', 0.14413441344134414, 1.7951445579528809]
['CV', 75, 'BV', 81, 'tr', 'dot', 'V2', 'V1', 0.13858093126385806, 0.014514923095703125]
['CV', 103, 'UV', 60, 'dd', 'gprof', 'V3', 'V1', 0.12426493345713396, 1.1293106079101562]
['CV', 323, 'UV', 5, 'unexpand', 'diff', 'V1', 'V2', 0.1452830188679245, 0.07808160781860352]
['UV', 13, 'BV', 79, 'strings', 'bash', 'V2', 'V3', 0.041442685966545545, 6.647758960723877]
['CV', 321, 'UV', 11, 'hostid', 'ranlib', 'V1', 'V2', 0.15203923593185342, 0.9720394611358643]
['UV', 14, 'CV', 202, 'objcopy', 'chown', 'V2', 'V0', 0.1333382094792276, 1.201552391052246]
['UV', 41, 'CV', 326, 'cmp', 'env', 'V3', 'V1', 0.10842293906810041, 0.023225784301757812]
['BV', 71, 'CV', 279, 'ruby', 'pwd', 'V1', 'V1', 0.24275362318840576, 0.00707244873046875]
['CV', 108, 'UV', 42, 'chgrp', 'diff', 'V3', 'V3', 0.07712305025996535, 0.12157845497131348]
['BV', 17, 'UV', 77, 'codeblocks', 'ranlib', 'V2', 'V0', 0.11592146717018925, 17.984116315841675]
['UV', 57, 'CV', 235, 'strings', 'ginstall', 'V1', 'V0', 0.12606244214423967, 1.104490041732788]
['BV', 61, 'UV', 78, 'cmp', 'c++filt', 'V0', 'V0', 0.14992301770592764, 0.7807326316833496]
['CV', 173, 'BV', 51, 'ln', 'cp', 'V3', 'V0', 0.041781631848640144, 0.0823366641998291]
['UV', 58, 'BV', 31, 'objcopy', 'codeblocks', 'V1', 'V0', 0.10126991830461862, 18.887125492095947]
['BV', 21, 'CV', 87, 'cp', 'touch', 'V1', 'V3', 0.03497122620628601, 0.06594991683959961]
['CV', 169, 'BV', 4, 'sort', 'geany', 'V3', 'V3', 0.1732443510959043, 27.869744539260864]
['CV', 275, 'UV', 38, 'dirname', 'xargs', 'V1', 'V3', 0.16392479435957696, 0.05420947074890137]
['CV', 164, 'BV', 33, 'nl', 'openssl', 'V3', 'V0', 0.10192514871890956, 5.904707431793213]
['CV', 285, 'UV', 73, 'factor', 'nm', 'V1', 'V0', 0.14899925871015562, 0.8509533405303955]
['BV', 57, 'CV', 199, 'svn', 'expand', 'V2', 'V0', 0.2268718333646087, 0.3529045581817627]
['CV', 259, 'BV', 24, 'mknod', 'git', 'V0', 'V0', 0.09585230836355707, 3.5544800758361816]
['UV', 75, 'BV', 24, 'readelf', 'git', 'V0', 'V0', 0.081521461093774, 4.556893825531006]
['UV', 4, 'CV', 64, 'cmp', 'md5sum', 'V2', 'V2', 0.06394052044609666, 0.03235292434692383]
['BV', 36, 'CV', 67, 'libvlc.so', 'uname', 'V2', 'V2', 0.19604037267080743, 0.3310363292694092]
['CV', 34, 'BV', 28, 'echo', 'openssl', 'V2', 'V1', 0.10410629096259305, 6.684381723403931]
['BV', 10, 'CV', 188, 'gvmap', 'dirname', 'V2', 'V0', 0.1521075137446548, 0.10513949394226074]
['BV', 37, 'CV', 340, 'geany', 'fold', 'V1', 'V1', 0.18552107257130523, 19.74808955192566]
['CV', 253, 'BV', 76, 'fold', 'diff', 'V0', 'V2', 0.14507575757575752, 0.07838892936706543]
['UV', 19, 'CV', 328, 'elfedit', 'uname', 'V2', 'V1', 0.09537572254335258, 0.01982903480529785]
['UV', 38, 'BV', 56, 'xargs', 'ssh', 'V3', 'V3', 0.12680277205469193, 1.7841997146606445]
['CV', 226, 'BV', 12, 'logname', 'sort', 'V0', 'V2', 0.14176049129989765, 0.0474853515625]
['CV', 305, 'BV', 82, 'true', 'gvmap', 'V1', 'V1', 0.15398829688943638, 0.10613322257995605]
['BV', 16, 'UV', 44, 'libvlc.so', 'diff3', 'V3', 'V1', 0.16696050775740479, 0.3870382308959961]
['CV', 190, 'BV', 71, 'dd', 'ruby', 'V0', 'V1', 0.24913892078071176, 0.013236045837402344]
['CV', 142, 'BV', 3, 'nohup', 'diff', 'V3', 'V1', 0.10161662817551964, 0.07584261894226074]
['UV', 19, 'BV', 34, 'elfedit', 'svn', 'V2', 'V0', 0.20163591401940273, 0.35402417182922363]
['UV', 12, 'CV', 319, 'c++filt', 'readlink', 'V2', 'V1', 0.15086206896551724, 0.8745927810668945]
['CV', 154, 'UV', 24, 'uname', 'readelf', 'V3', 'V3', 0.11443494776828111, 0.2418060302734375]
['UV', 65, 'CV', 161, 'objdump', 'pathchk', 'V1', 'V3', 0.13441167142404065, 1.490314245223999]
['BV', 68, 'CV', 141, 'dot', 'false', 'V0', 'V3', 0.13712807244501946, 0.012668848037719727]
['BV', 25, 'CV', 67, 'git', 'uname', 'V3', 'V2', 0.08783626276283274, 9.122861623764038]
['CV', 112, 'UV', 39, 'expand', 'find', 'V3', 'V3', 0.1491820768136558, 0.31696438789367676]
['UV', 67, 'CV', 28, 'cmp', 'chown', 'V0', 'V2', 0.05210084033613449, 0.045480966567993164]
['UV', 41, 'CV', 347, 'cmp', 'ln', 'V3', 'V1', 0.06558585114222548, 0.031609296798706055]
['BV', 50, 'UV', 26, 'sort', 'ranlib', 'V0', 'V3', 0.1371766076033608, 1.1154704093933105]
['UV', 31, 'CV', 227, 'gprof', 'tty', 'V3', 'V0', 0.1499183357689332, 0.9515745639801025]
['UV', 56, 'CV', 61, 'c++filt', 'ginstall', 'V1', 'V2', 0.11601079931277103, 1.177323579788208]
['UV', 37, 'CV', 148, 'locate', 'ginstall', 'V3', 'V3', 0.028863636363636314, 0.24379467964172363]
['UV', 82, 'CV', 219, 'gprof', 'cp', 'V0', 'V0', 0.12675593526657358, 1.0360910892486572]
['UV', 58, 'CV', 130, 'objcopy', 'chmod', 'V1', 'V3', 0.12411157301864018, 1.3329744338989258]
['UV', 38, 'CV', 247, 'xargs', 'shred', 'V3', 'V0', 0.10360138135175134, 0.07680487632751465]
['CV', 6, 'BV', 67, 'fmt', 'cluster', 'V2', 'V0', 0.13342228152101399, 0.0969705581665039]
['UV', 8, 'CV', 296, 'strip', 'sum', 'V2', 'V1', 0.13956093189964158, 1.1668806076049805]
['BV', 49, 'UV', 42, 'make', 'diff', 'V3', 'V3', 0.06405135520684735, 0.40506601333618164]
['BV', 17, 'CV', 279, 'codeblocks', 'pwd', 'V2', 'V1', 0.18738518064911203, 10.442489385604858]
['CV', 281, 'BV', 56, 'tee', 'ssh', 'V1', 'V3', 0.14925668979187312, 1.3141520023345947]
['BV', 18, 'UV', 66, 'sort', 'diff3', 'V3', 'V0', 0.08695652173913038, 0.10801458358764648]
['UV', 36, 'CV', 155, 'objdump', 'cat', 'V3', 'V3', 0.13457640859343334, 1.802931308746338]
['UV', 42, 'CV', 206, 'diff', 'paste', 'V3', 'V0', 0.1486792452830189, 0.07643270492553711]
['UV', 66, 'CV', 252, 'diff3', 'rm', 'V0', 'V0', 0.05069124423963134, 0.042855262756347656]
['CV', 18, 'BV', 39, 'pwd', 'svn', 'V2', 'V1', 0.21515536979829186, 0.3917503356933594]
['UV', 23, 'BV', 39, 'strip', 'svn', 'V3', 'V1', 0.07071452913779397, 2.64558482170105]
['BV', 82, 'CV', 215, 'gvmap', 'nice', 'V1', 'V0', 0.1486527399333939, 0.11777901649475098]
['CV', 270, 'UV', 34, 'users', 'elfedit', 'V1', 'V3', 0.08808724832214765, 0.025727272033691406]
['CV', 111, 'UV', 38, 'factor', 'xargs', 'V3', 'V3', 0.07455012853470433, 0.08274054527282715]
['BV', 52, 'CV', 296, 'libSDL2-2.0.so', 'sum', 'V2', 'V1', 0.19345098651673698, 4.109339237213135]
['CV', 299, 'BV', 27, 'split', 'libSDL2-2.0.so', 'V1', 'V1', 0.1938984552350368, 3.7680492401123047]
['CV', 74, 'UV', 65, 'pathchk', 'objdump', 'V2', 'V1', 0.13749999999999996, 1.4698631763458252]
['BV', 0, 'CV', 107, 'bash', 'tee', 'V2', 'V3', 0.1253980891719746, 2.4352691173553467]
['CV', 134, 'BV', 2, 'od', 'cmp', 'V3', 'V1', 0.04241435562805873, 0.043590545654296875]
['UV', 30, 'CV', 41, 'ld', 'nice', 'V3', 'V2', 0.14482717090208364, 1.809370756149292]
['BV', 0, 'CV', 126, 'bash', 'whoami', 'V2', 'V3', 0.12729459989306724, 2.3907744884490967]
['UV', 72, 'BV', 53, 'find', 'ssh', 'V0', 'V2', 0.09965421637955207, 5.0463707447052]
['BV', 18, 'UV', 53, 'sort', 'readelf', 'V3', 'V1', 0.02669524551831648, 0.212860107421875]
['UV', 37, 'CV', 140, 'locate', 'tty', 'V3', 'V3', 0.14189693801344283, 0.09604120254516602]
['UV', 1, 'BV', 39, 'xargs', 'svn', 'V2', 'V1', 0.17565385857281246, 0.49045372009277344]
['BV', 52, 'CV', 277, 'libSDL2-2.0.so', 'dd', 'V2', 'V1', 0.1872885699641209, 4.232052326202393]
['CV', 273, 'BV', 10, 'stty', 'gvmap', 'V1', 'V2', 0.13268236645605969, 0.12543439865112305]
['UV', 67, 'CV', 314, 'cmp', 'tty', 'V0', 'V1', 0.10341726618705038, 0.022225618362426758]
['BV', 57, 'CV', 183, 'svn', 'users', 'V2', 'V0', 0.22377752892870473, 0.3592085838317871]
['UV', 59, 'CV', 5, 'ld', 'mkdir', 'V1', 'V2', 0.12975161660724, 1.6130406856536865]
['BV', 33, 'CV', 87, 'openssl', 'touch', 'V0', 'V3', 0.09933651927805875, 6.031670331954956]
['CV', 100, 'BV', 20, 'join', 'sort', 'V3', 'V1', 0.04501915708812265, 0.05409979820251465]
['CV', 236, 'UV', 2, 'unexpand', 'find', 'V0', 'V2', 0.15893181228934405, 0.15255403518676758]
['UV', 67, 'BV', 18, 'cmp', 'sort', 'V0', 'V3', 0.10579257717655222, 0.09698915481567383]
['BV', 23, 'CV', 109, 'diff', 'kill', 'V3', 'V3', 0.11841204654346338, 0.09333300590515137]
['UV', 31, 'CV', 216, 'gprof', 'dircolors', 'V3', 'V0', 0.1461734693877551, 0.9711568355560303]
['CV', 89, 'BV', 43, 'unlink', 'lua', 'V3', 'V0', 0.13711390750122565, 0.28382205963134766]
['BV', 82, 'CV', 39, 'gvmap', 'whoami', 'V1', 'V2', 0.14197530864197527, 0.11054682731628418]
['CV', 143, 'BV', 29, 'yes', 'perl', 'V3', 'V3', 0.10349968055654146, 2.465238571166992]
['CV', 253, 'UV', 78, 'fold', 'c++filt', 'V0', 'V0', 0.14900947459086988, 0.7934768199920654]
['UV', 19, 'BV', 11, 'elfedit', 'bash', 'V2', 'V1', 0.12699818241133431, 2.361353635787964]
['CV', 226, 'BV', 7, 'logname', 'libSDL2-2.0.so', 'V0', 'V0', 0.2236334292330363, 2.970158576965332]
['CV', 161, 'BV', 71, 'pathchk', 'ruby', 'V3', 'V1', 0.2013071895424836, 0.008864402770996094]
['CV', 171, 'UV', 7, 'rmdir', 'nm', 'V3', 'V2', 0.14367616400277972, 0.9862270355224609]
['CV', 331, 'BV', 8, 'vdir', 'cluster', 'V1', 'V2', 0.0775250672536072, 0.1978461742401123]
['UV', 86, 'CV', 146, 'size', 'head', 'V0', 'V3', 0.11971331810663932, 0.8529071807861328]
['UV', 65, 'CV', 61, 'objdump', 'ginstall', 'V1', 'V2', 0.11565560066873659, 1.8555707931518555]
['UV', 24, 'CV', 39, 'readelf', 'whoami', 'V3', 'V2', 0.1199742682534577, 0.22404861450195312]
['BV', 63, 'CV', 317, 'ruby', 'yes', 'V0', 'V1', 0.11763051079049958, 9.231762886047363]
['BV', 51, 'CV', 142, 'cp', 'nohup', 'V0', 'V3', 0.07015590200445432, 0.04477572441101074]
