['CV', 255, 'UV', 32, 'sleep', 'addr2line', 'V0', 'V3', 0.15368984945044795, 0.9038083553314209]
['CV', 9, 'BV', 57, 'users', 'svn', 'V2', 'V2', 0.2167640613586559, 0.37311840057373047]
['UV', 16, 'CV', 263, 'gprof', 'unlink', 'V2', 'V1', 0.14854919211572626, 0.9617676734924316]
['BV', 37, 'CV', 147, 'geany', 'hostid', 'V1', 'V3', 0.18462050338591618, 19.67949151992798]
['UV', 86, 'CV', 246, 'size', 'id', 'V0', 'V0', 0.12724914897065975, 0.8123764991760254]
['UV', 72, 'BV', 79, 'find', 'bash', 'V0', 'V3', 0.10032298723806521, 3.4975924491882324]
['CV', 51, 'BV', 27, 'printf', 'libSDL2-2.0.so', 'V2', 'V1', 0.1900984682713348, 3.7828190326690674]
['UV', 81, 'BV', 82, 'ld', 'gvmap', 'V0', 'V1', 0.09652183701035566, 2.0365312099456787]
['CV', 276, 'BV', 56, 'uptime', 'ssh', 'V1', 'V3', 0.14840663681854094, 1.323850154876709]
['CV', 21, 'UV', 39, 'chgrp', 'find', 'V2', 'V3', 0.12981093855503034, 0.3505735397338867]
['CV', 90, 'BV', 23, 'test', 'diff', 'V3', 'V3', 0.11392405063291133, 0.09734869003295898]
['CV', 70, 'UV', 67, 'vdir', 'cmp', 'V2', 'V0', 0.10152284263959388, 0.08401370048522949]
['UV', 55, 'CV', 279, 'ranlib', 'pwd', 'V1', 'V1', 0.1459409125539659, 0.9605836868286133]
['BV', 41, 'UV', 35, 'libvlccore.so', 'size', 'V1', 'V3', 0.05198948290972827, 6.867208957672119]
['UV', 82, 'CV', 134, 'gprof', 'od', 'V0', 'V3', 0.1283633670698593, 1.0076122283935547]
