['UO', 85, 'CO', 232, 'locate', 'tee', 'O0', 'O2', 0.1576923076923077, 0.1834402084350586]
['UO', 33, 'CO', 53, 'objcopy', 'chmod', 'O2', 'O3', 0.12919596896976726, 1.218867540359497]
['CO', 137, 'UO', 19, 'chown', 'cmp', 'O1', 'O1', 0.07301107754279956, 0.0616605281829834]
['UO', 7, 'BO', 61, 'ranlib', 'git', 'O1', 'O1', 0.04859743697343366, 13.0763258934021]
['BO', 64, 'CO', 328, 'dot', 'dirname', 'O0', 'O0', 0.19718309859154926, 0.01986217498779297]
['CO', 208, 'BO', 9, 'sha384sum', 'git', 'O2', 'O0', 0.09278855575151868, 6.365099906921387]
['UO', 74, 'BO', 46, 'ld', 'ruby', 'O0', 'O3', 0.037798701519426214, 33.188353538513184]
['CO', 226, 'BO', 59, 'uptime', 'libgeany.so.0.0.0', 'O2', 'O3', 0.167493466455924, 25.191978931427002]
['BO', 71, 'UO', 86, 'libSDL2-2.0.so.0.16.0', 'xargs', 'O0', 'O0', 0.18147202981326205, 7.40132999420166]
['CO', 223, 'UO', 21, 'join', 'sdiff', 'O2', 'O1', 0.05798749289368965, 0.04926586151123047]
['UO', 4, 'BO', 74, 'strip', 'dot', 'O1', 'O1', 0.15437097016044388, 1.160829782485962]
['BO', 76, 'UO', 0, 'openssl', 'locate', 'O2', 'O1', 0.24737895158063228, 8.892261505126953]
['BO', 80, 'CO', 124, 'ssh', 'mkfifo', 'O3', 'O1', 0.14011357110955147, 1.2520110607147217]
['UO', 64, 'CO', 230, 'diff', 'pwd', 'O3', 'O2', 0.11870376893272283, 0.0888216495513916]
['BO', 46, 'CO', 322, 'ruby', 'users', 'O3', 'O0', 0.10371635011127711, 12.770190954208374]
['CO', 237, 'UO', 5, 'nproc', 'readelf', 'O2', 'O1', 0.12075065374557759, 0.28060150146484375]
['UO', 29, 'CO', 265, 'as', 'od', 'O2', 'O2', 0.12526190611019872, 1.6978256702423096]
['UO', 71, 'CO', 339, 'c++filt', 'wc', 'O0', 'O0', 0.14274023848491935, 2.320035696029663]
['BO', 2, 'UO', 30, 'perl', 'ranlib', 'O1', 'O2', 0.026987313479169717, 6.374614953994751]
['CO', 233, 'BO', 72, 'chgrp', 'make', 'O2', 'O2', 0.10291858678955457, 0.27836155891418457]
['UO', 11, 'CO', 160, 'ld', 'cut', 'O1', 'O1', 0.14301455663167661, 2.0152957439422607]
['BO', 50, 'CO', 137, 'perl', 'chown', 'O2', 'O1', 0.08183727189376233, 2.700667381286621]
['BO', 26, 'CO', 172, 'gvmap', 'yes', 'O3', 'O1', 0.12756598240469208, 0.11557149887084961]
['UO', 44, 'CO', 283, 'nm', 'mv', 'O3', 'O2', 0.09830240821160685, 1.2020726203918457]
['BO', 10, 'CO', 223, 'openssl', 'join', 'O3', 'O2', 0.27568376068376066, 7.262553930282593]
['UO', 46, 'CO', 246, 'readelf', 'sha1sum', 'O3', 'O2', 0.10312306740878174, 0.23307108879089355]
['UO', 76, 'BO', 33, 'addr2line', 'sort', 'O0', 'O2', 0.12959903062348532, 2.6510426998138428]
['BO', 19, 'CO', 175, 'libvlccore.so.9.0.0', 'readlink', 'O1', 'O1', 0.16038527636785105, 4.702021598815918]
['CO', 319, 'BO', 76, 'fmt', 'openssl', 'O0', 'O2', 0.27394986594033277, 7.890859127044678]
['UO', 16, 'CO', 198, 'size', 'rm', 'O1', 'O1', 0.13141078158282815, 1.2390854358673096]
['BO', 33, 'CO', 176, 'sort', 'head', 'O2', 'O1', 0.1104910714285714, 0.09980392456054688]
['CO', 307, 'UO', 15, 'sort', 'elfedit', 'O2', 'O1', 0.12626451854627208, 0.09822559356689453]
['CO', 125, 'UO', 31, 'mktemp', 'c++filt', 'O1', 'O2', 0.1372178760902797, 0.9702577590942383]
['CO', 109, 'BO', 66, 'basename', 'svn', 'O1', 'O2', 0.22177091795288384, 0.4810616970062256]
['CO', 149, 'UO', 63, 'split', 'cmp', 'O1', 'O3', 0.06015037593984962, 0.04986119270324707]
['CO', 199, 'UO', 26, 'sha224sum', 'nm', 'O1', 'O2', 0.1409218859957776, 0.9831984043121338]
['CO', 176, 'UO', 66, 'head', 'nm', 'O1', 'O0', 0.1494378783511099, 2.2596166133880615]
['BO', 42, 'CO', 89, 'cmp', 'pathchk', 'O1', 'O3', 0.06536856745479835, 0.030848026275634766]
['UO', 15, 'CO', 389, 'elfedit', 'env', 'O1', 'O0', 0.05328947368421055, 0.04258012771606445]
['UO', 59, 'CO', 122, 'locate', 'uptime', 'O3', 'O1', 0.10387384298937263, 0.12505745887756348]
['BO', 23, 'UO', 18, 'git', 'diff3', 'O2', 'O1', 0.09052193528313623, 6.46245813369751]
['CO', 301, 'BO', 40, 'nl', 'lua', 'O2', 'O0', 0.14157835168227184, 0.6963939666748047]
['CO', 33, 'UO', 47, 'chown', 'as', 'O3', 'O3', 0.113645390070922, 1.5632104873657227]
['CO', 139, 'BO', 21, 'base32', 'cp', 'O1', 'O1', 0.11500184297825289, 0.10193967819213867]
['BO', 21, 'UO', 71, 'cp', 'c++filt', 'O1', 'O0', 0.12727873547392188, 2.7049975395202637]
['CO', 38, 'BO', 53, 'sha1sum', 'bash', 'O3', 'O0', 0.12539519022414836, 3.6327531337738037]
['CO', 176, 'BO', 29, 'head', 'libvlc.so.12.0.0', 'O1', 'O2', 0.2077996558975339, 0.4313502311706543]
['UO', 64, 'CO', 335, 'diff', 'pr', 'O3', 'O0', 0.04598337950138509, 0.1577129364013672]
['CO', 120, 'UO', 21, 'dirname', 'sdiff', 'O1', 'O1', 0.08510638297872342, 0.041964054107666016]
['BO', 26, 'UO', 64, 'gvmap', 'diff', 'O3', 'O3', 0.044618395303326785, 0.2362072467803955]
['BO', 35, 'UO', 3, 'make', 'nm', 'O3', 'O1', 0.07416524648109579, 1.962735891342163]
['CO', 365, 'BO', 10, 'chmod', 'openssl', 'O0', 'O3', 0.26327202969264774, 8.386463165283203]
