['CV', 154, 'UV', 20, 'uname', 'size', 'V3', 'V2', 0.14672364672364668, 0.9006991386413574]
['BV', 69, 'CV', 124, 'gvmap', 'seq', 'V0', 'V3', 0.11591591591591588, 0.10718655586242676]
['CV', 254, 'BV', 4, 'uniq', 'geany', 'V0', 'V3', 0.18199700588378653, 23.497969150543213]
['UV', 76, 'CV', 2, 'as', 'unlink', 'V0', 'V2', 0.13356873249726042, 1.3822975158691406]
['BV', 34, 'CV', 124, 'svn', 'seq', 'V0', 'V3', 0.20056179775280902, 0.3268859386444092]
['CV', 153, 'UV', 84, 'link', 'ar', 'V3', 'V0', 0.14408263305322122, 0.8755068778991699]
['CV', 196, 'UV', 80, 'kill', 'objcopy', 'V0', 'V0', 0.1376314252336448, 1.0714521408081055]
['CV', 245, 'UV', 87, '[', 'objdump', 'V0', 'V0', 0.13723799416290794, 1.3200972080230713]
['UV', 25, 'BV', 12, 'as', 'sort', 'V3', 'V2', 0.11552090715804397, 1.9398298263549805]
['BV', 79, 'UV', 66, 'bash', 'diff3', 'V3', 'V0', 0.12125685364824967, 2.4908032417297363]
['CV', 120, 'BV', 46, 'sync', 'cluster', 'V3', 'V3', 0.13345195729537362, 0.11295366287231445]
['UV', 22, 'CV', 233, 'nm', 'head', 'V3', 'V0', 0.14932450568130984, 0.8821268081665039]
['CV', 117, 'UV', 53, 'pinky', 'readelf', 'V3', 'V1', 0.0817775440441757, 0.10336041450500488]
['BV', 18, 'CV', 148, 'sort', 'ginstall', 'V3', 'V3', 0.030234657039711177, 0.205841064453125]
['BV', 24, 'CV', 79, 'git', 'fold', 'V0', 'V2', 0.09526786442336443, 3.3255367279052734]
['UV', 67, 'CV', 66, 'cmp', 'link', 'V0', 'V2', 0.08380797396257123, 0.022688627243041992]
['BV', 27, 'CV', 25, 'libSDL2-2.0.so', 'expand', 'V1', 'V2', 0.1950598139122729, 3.342442274093628]
['CV', 278, 'UV', 51, 'mkfifo', 'nm', 'V1', 'V1', 0.14937943262411346, 0.8548250198364258]
['CV', 170, 'UV', 20, 'tac', 'size', 'V3', 'V2', 0.14037386443046818, 0.9371743202209473]
['CV', 107, 'BV', 77, 'tee', 'perl', 'V3', 'V2', 0.08984337154852251, 2.2304346561431885]
['CV', 220, 'BV', 44, 'cut', 'make', 'V0', 'V0', 0.13215859030837007, 0.15342235565185547]
['CV', 325, 'UV', 9, 'md5sum', 'readelf', 'V1', 'V2', 0.10054347826086962, 0.1003873348236084]
['BV', 34, 'CV', 239, 'svn', 'env', 'V0', 'V0', 0.22760437778678555, 0.5926895141601562]
['BV', 73, 'CV', 248, 'geany', 'pathchk', 'V0', 'V0', 0.18669886261057955, 14.137506246566772]
['UV', 26, 'BV', 63, 'ranlib', 'ruby', 'V3', 'V0', 0.06889884149465364, 17.135520935058594]
['CV', 36, 'BV', 60, 'chroot', 'codeblocks', 'V2', 'V1', 0.18545942320590214, 9.666890382766724]
['BV', 73, 'CV', 175, 'geany', 'stat', 'V0', 'V0', 0.1850843644544432, 14.239467859268188]
['CV', 3, 'UV', 41, 'test', 'cmp', 'V2', 'V3', 0.07100149476831086, 0.027446269989013672]
['UV', 0, 'CV', 122, 'locate', 'sum', 'V2', 'V3', 0.0798299480396788, 0.05922341346740723]
['CV', 277, 'UV', 9, 'dd', 'readelf', 'V1', 'V2', 0.08365803346321343, 0.12367653846740723]
['CV', 213, 'BV', 30, 'whoami', 'bash', 'V0', 'V0', 0.13259585544098507, 1.8858907222747803]
['UV', 43, 'CV', 301, 'sdiff', 'ls', 'V3', 'V1', 0.06661009758167158, 0.07751941680908203]
['CV', 132, 'UV', 53, 'cp', 'readelf', 'V3', 'V1', 0.02863914675093815, 0.19596338272094727]
['UV', 1, 'CV', 226, 'xargs', 'logname', 'V2', 'V0', 0.13636363636363635, 0.034528493881225586]
['UV', 15, 'BV', 46, 'ld', 'cluster', 'V2', 'V3', 0.10019942866382792, 2.1437764167785645]
['BV', 77, 'CV', 263, 'perl', 'unlink', 'V2', 'V1', 0.09298142333856618, 2.0920441150665283]
['UV', 49, 'BV', 38, 'xargs', 'ruby', 'V1', 'V2', 0.22488584474885842, 0.011277198791503906]
['UV', 61, 'CV', 261, 'addr2line', 'touch', 'V1', 'V1', 0.1414569536423841, 0.8752624988555908]
['CV', 282, 'UV', 32, 'chgrp', 'addr2line', 'V1', 'V3', 0.1403133903133903, 0.9304068088531494]
['BV', 49, 'CV', 119, 'make', 'paste', 'V3', 'V3', 0.13120501937626872, 0.21197891235351562]
['CV', 234, 'UV', 25, 'hostid', 'as', 'V0', 'V3', 0.13603651044409337, 1.5855510234832764]
['CV', 53, 'BV', 52, 'tty', 'libSDL2-2.0.so', 'V2', 'V2', 0.19466305310887577, 3.908249855041504]
['CV', 324, 'BV', 53, 'mv', 'ssh', 'V1', 'V2', 0.1124268054651919, 4.114498138427734]
['CV', 121, 'BV', 16, 'echo', 'libvlc.so', 'V3', 'V3', 0.19024947629023048, 0.3234438896179199]
['UV', 27, 'CV', 19, 'c++filt', 'pr', 'V3', 'V2', 0.13978687203367057, 0.9046697616577148]
['UV', 29, 'CV', 75, 'objcopy', 'tr', 'V3', 'V2', 0.13873091888656086, 1.0998282432556152]
['CV', 69, 'BV', 45, 'csplit', 'svn', 'V2', 'V3', 0.18104195025368153, 0.7475240230560303]
['UV', 38, 'CV', 16, 'xargs', 'dd', 'V3', 'V2', 0.07987778262767353, 0.08003616333007812]
['UV', 70, 'CV', 296, 'locate', 'sum', 'V0', 'V1', 0.10848601735776275, 0.0555424690246582]
['BV', 33, 'CV', 239, 'openssl', 'env', 'V0', 'V0', 0.10424838145645288, 5.256588935852051]
['CV', 232, 'UV', 33, 'readlink', 'ar', 'V0', 'V3', 0.15116783884692198, 0.9407656192779541]
['CV', 344, 'UV', 13, 'tac', 'strings', 'V1', 'V2', 0.13150080597268177, 0.9989187717437744]
['CV', 71, 'UV', 48, '[', 'locate', 'V2', 'V1', 0.11178614823815314, 0.06420707702636719]
['CV', 283, 'BV', 65, 'kill', 'ssh', 'V1', 'V1', 0.11883317650221803, 3.398206949234009]
['BV', 32, 'CV', 116, 'perl', 'tail', 'V0', 'V3', 0.10259130789634763, 2.056929111480713]
['CV', 191, 'UV', 39, 'mkfifo', 'find', 'V0', 'V3', 0.16946277097078233, 0.2607855796813965]
['BV', 31, 'CV', 118, 'codeblocks', 'sha1sum', 'V0', 'V3', 0.18573273611607266, 9.309049606323242]
['UV', 29, 'BV', 79, 'objcopy', 'bash', 'V3', 'V3', 0.03252032520325199, 7.0519208908081055]
['BV', 42, 'CV', 25, 'libvlc.so', 'expand', 'V1', 'V2', 0.1796264118158124, 0.22985506057739258]
['CV', 86, 'UV', 60, 'ln', 'gprof', 'V2', 'V1', 0.1318152661962797, 1.0216541290283203]
['UV', 72, 'CV', 120, 'find', 'sync', 'V0', 'V3', 0.13928680280402317, 0.11954951286315918]
['UV', 53, 'CV', 253, 'readelf', 'fold', 'V1', 'V0', 0.10759308120785693, 0.07836103439331055]
['UV', 52, 'CV', 38, 'strip', 'split', 'V1', 'V2', 0.12645388152556125, 1.241753101348877]
['UV', 44, 'CV', 103, 'diff3', 'dd', 'V1', 'V3', 0.0391734825656479, 0.0589747428894043]
