['UO', 3, 'BO', 82, 'nm', 'cp', 'O1', 'O3', 0.11752185480805777, 1.4842946529388428]
['BO', 27, 'CO', 1, 'perl', 'touch', 'O3', 'O3', 0.07985407377381437, 2.514368772506714]
['CO', 21, 'UO', 77, 'mktemp', 'ar', 'O3', 'O0', 0.14814607996426177, 2.524651288986206]
['CO', 246, 'BO', 37, 'sha1sum', 'gvmap', 'O2', 'O2', 0.12842712842712845, 0.13483166694641113]
['CO', 331, 'BO', 41, 'dd', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.19231498152184212, 6.27712345123291]
['UO', 71, 'CO', 272, 'c++filt', 'tty', 'O0', 'O2', 0.15628013500482163, 2.1289918422698975]
['CO', 363, 'UO', 71, 'realpath', 'c++filt', 'O0', 'O0', 0.14306603497689652, 2.5172019004821777]
['BO', 71, 'UO', 30, 'libSDL2-2.0.so.0.16.0', 'ranlib', 'O0', 'O2', 0.09280735664499506, 13.343656301498413]
['CO', 67, 'UO', 7, 'nohup', 'ranlib', 'O3', 'O1', 0.1480212158302734, 1.1965465545654297]
['UO', 86, 'CO', 412, 'xargs', 'tac', 'O0', 'O0', 0.08890637293469705, 0.1297130584716797]
['BO', 30, 'UO', 4, 'libvlccore.so.9.0.0', 'strip', 'O2', 'O1', 0.05670240571824825, 11.322052240371704]
['CO', 126, 'BO', 83, 'pwd', 'lua', 'O1', 'O2', 0.12585751978891824, 0.42200326919555664]
['CO', 230, 'BO', 68, 'pwd', 'git', 'O2', 'O3', 0.09303329344136868, 6.73434042930603]
['UO', 56, 'CO', 62, 'elfedit', 'printf', 'O3', 'O3', 0.03625576796308505, 0.03515267372131348]
['BO', 2, 'CO', 381, 'perl', 'who', 'O1', 'O0', 0.07388968950609198, 2.684757947921753]
['CO', 108, 'BO', 82, 'test', 'cp', 'O1', 'O3', 0.09603118355776041, 0.09624266624450684]
['CO', 7, 'BO', 80, 'fmt', 'ssh', 'O3', 'O3', 0.13925410872313526, 1.3476383686065674]
['UO', 32, 'CO', 277, 'strings', 'who', 'O2', 'O2', 0.14229106628242072, 0.9712240695953369]
['CO', 29, 'BO', 62, 'nproc', 'bash', 'O3', 'O1', 0.1269834624241155, 2.764765977859497]
['CO', 31, 'UO', 32, 'date', 'strings', 'O3', 'O2', 0.13396340934709094, 1.0570759773254395]
['CO', 101, 'UO', 12, 'rmdir', 'gprof', 'O3', 'O1', 0.14522118178882792, 1.1560149192810059]
['BO', 5, 'CO', 248, 'libgeany.so.0.0.0', 'sync', 'O1', 'O2', 0.17537218069132965, 28.07453989982605]
['CO', 413, 'UO', 73, 'rmdir', 'objcopy', 'O0', 'O0', 0.14214488707184525, 2.895440101623535]
['CO', 81, 'UO', 2, 'cat', 'find', 'O3', 'O1', 0.16165664662658652, 0.4058852195739746]
['CO', 63, 'BO', 39, 'logname', 'codeblocks', 'O3', 'O3', 0.1862061871576619, 11.045379400253296]
['CO', 119, 'UO', 16, 'join', 'size', 'O1', 'O1', 0.1420073085748279, 1.171590805053711]
['BO', 32, 'CO', 86, 'ruby', 'timeout', 'O2', 'O3', 0.12443350589832813, 15.771847486495972]
['BO', 64, 'CO', 142, 'dot', 'sha1sum', 'O0', 'O1', 0.19426751592356695, 0.021559476852416992]
['CO', 118, 'BO', 35, 'stty', 'make', 'O1', 'O3', 0.11493228795438348, 0.2729213237762451]
['BO', 47, 'UO', 69, 'libvlc.so.12.0.0', 'as', 'O0', 'O0', 0.08437342304457529, 7.3660218715667725]
['CO', 24, 'BO', 79, 'tee', 'bash', 'O3', 'O3', 0.11305064135252818, 2.6022026538848877]
['UO', 15, 'CO', 166, 'elfedit', 'printf', 'O1', 'O1', 0.041529334212261015, 0.04214930534362793]
['UO', 67, 'CO', 308, 'strip', 'tac', 'O0', 'O2', 0.14497248624312153, 2.7441837787628174]
['CO', 153, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1746738124860433, 29.310191869735718]
['UO', 15, 'BO', 68, 'elfedit', 'git', 'O1', 'O3', 0.0920234604105572, 6.97834324836731]
['CO', 15, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O3', 'O0', 0.190669449598021, 29.525248050689697]
['BO', 80, 'UO', 32, 'ssh', 'strings', 'O3', 'O2', 0.026288942949070027, 4.298858642578125]
