['BO', 26, 'CO', 91, 'gvmap', 'comm', 'O3', 'O3', 0.1193575186928828, 0.12285661697387695]
['CO', 396, 'BO', 6, 'vdir', 'codeblocks', 'O0', 'O0', 0.1911184151765778, 34.86260747909546]
['UO', 28, 'BO', 70, 'readelf', 'diff', 'O2', 'O3', 0.06095118898623275, 0.4318399429321289]
['UO', 22, 'CO', 344, 'diff3', 'expr', 'O2', 'O0', 0.05855397148676167, 0.06563949584960938]
['CO', 161, 'BO', 12, 'od', 'libgeany.so.0.0.0', 'O1', 'O0', 0.18974408498309991, 30.173144817352295]
['UO', 27, 'CO', 53, 'strip', 'chmod', 'O2', 'O3', 0.12919596896976726, 1.2874870300292969]
['CO', 188, 'BO', 65, 'vdir', 'gvmap', 'O1', 'O0', 0.0598908156711625, 0.39386940002441406]
['CO', 224, 'BO', 54, 'dirname', 'lua', 'O2', 'O3', 0.12300208478109798, 0.31146740913391113]
['UO', 62, 'CO', 232, 'diff3', 'tee', 'O3', 'O2', 0.060975609756097615, 0.04046750068664551]
['CO', 236, 'BO', 44, 'factor', 'cmp', 'O2', 'O2', 0.026159334126040434, 0.04413557052612305]
['CO', 177, 'UO', 2, 'hostid', 'find', 'O1', 'O1', 0.16532740639425536, 0.3912317752838135]
['UO', 20, 'CO', 9, 'diff', 'du', 'O1', 'O3', 0.04367871875758311, 0.20753955841064453]
['CO', 369, 'BO', 36, 'od', 'cluster', 'O0', 'O2', 0.0835297198219429, 0.18480396270751953]
['BO', 12, 'CO', 289, 'libgeany.so.0.0.0', 'cat', 'O0', 'O2', 0.19300194931773884, 28.87148356437683]
['CO', 310, 'BO', 53, 'mknod', 'bash', 'O2', 'O0', 0.12705857081483607, 3.7273590564727783]
['CO', 256, 'UO', 80, 'ls', 'objdump', 'O2', 'O0', 0.1268620130482332, 5.0354695320129395]
['UO', 50, 'CO', 192, 'strings', 'shred', 'O3', 'O1', 0.12191206635155627, 1.0262229442596436]
['UO', 76, 'CO', 89, 'addr2line', 'pathchk', 'O0', 'O3', 0.15373249009988776, 2.1568002700805664]
['BO', 33, 'CO', 141, 'sort', 'truncate', 'O2', 'O1', 0.12519809825673534, 0.09998750686645508]
['CO', 188, 'UO', 69, 'vdir', 'as', 'O1', 'O0', 0.1213855421686747, 4.778691530227661]
['CO', 2, 'UO', 29, 'stat', 'as', 'O3', 'O2', 0.11992005329780142, 2.0436699390411377]
['UO', 41, 'CO', 306, 'locate', 'sleep', 'O2', 'O2', 0.15175953079178883, 0.10872316360473633]
['CO', 226, 'UO', 72, 'uptime', 'strings', 'O2', 'O0', 0.15070430836329352, 2.3431684970855713]
['CO', 396, 'UO', 82, 'vdir', 'cmp', 'O0', 'O0', 0.13157185225128065, 0.21796488761901855]
['UO', 84, 'CO', 31, 'sdiff', 'date', 'O0', 'O3', 0.065180102915952, 0.07533073425292969]
['BO', 21, 'CO', 295, 'cp', 'id', 'O1', 'O2', 0.12476652969742252, 0.1972975730895996]
['UO', 25, 'CO', 409, 'sdiff', 'uniq', 'O2', 'O0', 0.045765386638611294, 0.1299734115600586]
['CO', 151, 'BO', 12, 'numfmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1908203200681986, 29.984428644180298]
['CO', 289, 'UO', 29, 'cat', 'as', 'O2', 'O2', 0.13116462144014818, 1.7722585201263428]
