['CV', 37, 'UV', 54, 'seq', 'as', 'V2', 'V1', 0.12910879629629624, 1.54872727394104]
['BV', 59, 'CV', 320, 'make', 'head', 'V1', 'V1', 0.13420787083753782, 0.18029022216796875]
['BV', 56, 'CV', 80, 'ssh', 'uniq', 'V3', 'V2', 0.14485494991544168, 1.2524232864379883]
['UV', 14, 'CV', 200, 'objcopy', 'date', 'V2', 'V0', 0.13642071053992177, 1.157463550567627]
['CV', 257, 'UV', 54, 'tac', 'as', 'V0', 'V1', 0.12063083720149881, 1.6537220478057861]
['UV', 3, 'CV', 345, 'diff3', 'rmdir', 'V2', 'V1', 0.11062590975254727, 0.026715755462646484]
['CV', 182, 'BV', 9, 'du', 'dot', 'V0', 'V2', 0.20311284046692601, 0.02770066261291504]
['CV', 116, 'UV', 7, 'tail', 'nm', 'V3', 'V2', 0.1314694624729572, 1.032346487045288]
['BV', 72, 'CV', 279, 'perl', 'pwd', 'V1', 'V1', 0.09268227514111083, 2.1647415161132812]
['UV', 43, 'BV', 18, 'sdiff', 'sort', 'V3', 'V3', 0.07924888605983449, 0.10675907135009766]
['CV', 304, 'BV', 3, 'chmod', 'diff', 'V1', 'V1', 0.08454281567489119, 0.08157587051391602]
['BV', 25, 'CV', 109, 'git', 'kill', 'V3', 'V3', 0.08696595434752286, 8.613426446914673]
['CV', 128, 'UV', 36, 'nice', 'objdump', 'V3', 'V3', 0.13630017452006982, 1.7002227306365967]
['BV', 37, 'CV', 82, 'geany', 'sort', 'V1', 'V2', 0.17796707724185568, 20.078041791915894]
['UV', 40, 'CV', 90, 'diff3', 'test', 'V3', 'V3', 0.06060606060606055, 0.03852987289428711]
['CV', 268, 'UV', 0, 'dir', 'locate', 'V1', 'V2', 0.03431555389779928, 0.0999298095703125]
['CV', 327, 'UV', 67, 'link', 'cmp', 'V1', 'V0', 0.10483870967741937, 0.020717382431030273]
['CV', 71, 'BV', 0, '[', 'bash', 'V2', 'V2', 0.12711902113459406, 2.3277695178985596]
['BV', 34, 'CV', 190, 'svn', 'dd', 'V0', 'V0', 0.1963819470346886, 0.3342714309692383]
['CV', 220, 'UV', 42, 'cut', 'diff', 'V0', 'V3', 0.13517441860465118, 0.07874441146850586]
['CV', 28, 'BV', 24, 'chown', 'git', 'V2', 'V0', 0.09179897017807337, 3.599344491958618]
['UV', 71, 'CV', 175, 'xargs', 'stat', 'V0', 'V0', 0.052028218694885386, 0.025057077407836914]
['CV', 276, 'BV', 46, 'uptime', 'cluster', 'V1', 'V3', 0.14307835243109324, 0.10844159126281738]
['CV', 62, 'BV', 53, 'unexpand', 'ssh', 'V2', 'V2', 0.12011210463098898, 3.5748422145843506]
['UV', 61, 'CV', 210, 'addr2line', 'chroot', 'V1', 'V0', 0.1502890173410405, 0.8099534511566162]
['UV', 31, 'CV', 67, 'gprof', 'uname', 'V3', 'V2', 0.1470838292807346, 0.8940346240997314]
['UV', 22, 'CV', 327, 'nm', 'link', 'V3', 'V1', 0.15418862438669811, 0.8397214412689209]
['CV', 209, 'UV', 6, 'sum', 'sdiff', 'V0', 'V2', 0.09327115256495666, 0.03406834602355957]
['UV', 9, 'CV', 6, 'readelf', 'fmt', 'V2', 'V2', 0.09767329132331559, 0.09984970092773438]
['CV', 312, 'BV', 81, 'printf', 'dot', 'V1', 'V1', 0.17115902964959573, 0.013200521469116211]
['CV', 17, 'UV', 63, 'mkfifo', 'elfedit', 'V2', 'V1', 0.07197943444730082, 0.021224498748779297]
['UV', 76, 'CV', 74, 'as', 'pathchk', 'V0', 'V2', 0.13281487332158703, 1.3925883769989014]
['CV', 169, 'BV', 34, 'sort', 'svn', 'V3', 'V0', 0.13239017125837682, 0.5298311710357666]
['CV', 333, 'BV', 37, 'id', 'geany', 'V1', 'V1', 0.18526873283640644, 18.68342876434326]
['CV', 104, 'BV', 32, 'mkfifo', 'perl', 'V3', 'V0', 0.10871383174443883, 1.9099695682525635]
['UV', 12, 'CV', 175, 'c++filt', 'stat', 'V2', 'V0', 0.14748136024731773, 0.8600890636444092]
