['CV', 3, 'UV', 74, 'test', 'strip', 'V2', 'V0', 0.13494584837545132, 1.1031644344329834]
['UV', 54, 'CV', 46, 'as', 'cut', 'V1', 'V2', 0.12737752161383287, 1.5539710521697998]
['BV', 57, 'CV', 176, 'svn', 'unlink', 'V2', 'V0', 0.23092979127134727, 0.31891822814941406]
['BV', 78, 'CV', 125, 'make', 'split', 'V2', 'V3', 0.10356566923490418, 0.23392915725708008]
['BV', 64, 'CV', 260, 'openssl', 'ln', 'V2', 'V0', 0.2858929891397055, 4.4181694984436035]
['CV', 341, 'UV', 54, 'uniq', 'as', 'V1', 'V1', 0.12993726765799263, 1.5556509494781494]
['CV', 195, 'BV', 74, 'chgrp', 'git', 'V0', 'V1', 0.09268281311918691, 4.571199178695679]
['CV', 2, 'UV', 16, 'unlink', 'gprof', 'V2', 'V2', 0.14611260053619302, 0.9287443161010742]
['BV', 41, 'CV', 199, 'libvlccore.so', 'expand', 'V1', 'V0', 0.16662152646118844, 2.450226068496704]
['CV', 137, 'UV', 56, 'cksum', 'c++filt', 'V3', 'V1', 0.1428571428571428, 0.8466222286224365]
['CV', 340, 'BV', 78, 'fold', 'make', 'V1', 'V2', 0.14262428687856565, 0.18082165718078613]
['UV', 51, 'CV', 78, 'nm', 'rm', 'V1', 'V2', 0.1323775989268947, 0.9735820293426514]
['CV', 220, 'UV', 19, 'cut', 'elfedit', 'V0', 'V2', 0.06598114824335899, 0.02299952507019043]
['BV', 2, 'CV', 39, 'cmp', 'whoami', 'V1', 'V2', 0.08077544426494343, 0.02313089370727539]
['CV', 181, 'BV', 21, 'dir', 'cp', 'V0', 'V1', 0.0529774127310062, 0.08309459686279297]
['CV', 240, 'UV', 45, 'link', 'cmp', 'V0', 'V1', 0.11392405063291133, 0.020606279373168945]
['CV', 230, 'UV', 76, 'yes', 'as', 'V0', 'V0', 0.13579186353316564, 1.376659870147705]
['UV', 43, 'CV', 144, 'sdiff', 'who', 'V3', 'V3', 0.054359526372443456, 0.045532941818237305]
['BV', 81, 'CV', 345, 'dot', 'rmdir', 'V1', 'V1', 0.12871287128712872, 0.00960683822631836]
['CV', 344, 'UV', 79, 'tac', 'strings', 'V1', 'V0', 0.128830574145826, 0.8710460662841797]
['BV', 9, 'UV', 70, 'dot', 'locate', 'V2', 'V0', 0.18323153803442538, 0.041829586029052734]
['CV', 280, 'UV', 11, 'pr', 'ranlib', 'V1', 'V2', 0.14019933554817277, 1.004394769668579]
['BV', 80, 'UV', 16, 'cluster', 'gprof', 'V1', 'V2', 0.09631767936351476, 1.4959323406219482]
['CV', 112, 'BV', 26, 'expand', 'geany', 'V3', 'V2', 0.18240688751637657, 20.475661516189575]
['CV', 97, 'UV', 4, 'ptx', 'cmp', 'V3', 'V2', 0.04571428571428571, 0.04698610305786133]
['CV', 205, 'BV', 4, 'sha1sum', 'geany', 'V0', 'V3', 0.18212064730781963, 23.76074719429016]
['CV', 257, 'UV', 23, 'tac', 'strip', 'V0', 'V3', 0.12815533980582527, 1.2357876300811768]
['CV', 332, 'BV', 53, '[', 'ssh', 'V1', 'V2', 0.11985443862050549, 3.620913028717041]
['CV', 70, 'BV', 66, 'vdir', 'lua', 'V2', 'V1', 0.09022950819672126, 0.451984167098999]
['BV', 54, 'CV', 34, 'lua', 'echo', 'V3', 'V2', 0.13647507491146826, 0.34446287155151367]
['BV', 39, 'UV', 29, 'svn', 'objcopy', 'V1', 'V3', 0.07071452913779397, 2.560227394104004]
['UV', 34, 'CV', 214, 'elfedit', 'ls', 'V3', 'V0', 0.10121654501216548, 0.06499171257019043]
['UV', 5, 'CV', 185, 'diff', 'printenv', 'V2', 'V0', 0.1577717179587066, 0.06772851943969727]
['BV', 49, 'CV', 56, 'make', 'yes', 'V3', 'V2', 0.1430216932232674, 0.19351816177368164]
['CV', 142, 'UV', 84, 'nohup', 'ar', 'V3', 'V0', 0.1405625976732071, 0.8990976810455322]
['CV', 223, 'BV', 3, 'tsort', 'diff', 'V0', 'V1', 0.1327054794520548, 0.05937075614929199]
['BV', 79, 'CV', 114, 'bash', 'expr', 'V3', 'V3', 0.12339560299911045, 2.5154056549072266]
['UV', 74, 'CV', 191, 'strip', 'mkfifo', 'V0', 'V0', 0.13877491207502934, 1.0502493381500244]
['UV', 53, 'CV', 230, 'readelf', 'yes', 'V1', 'V0', 0.11566049013747759, 0.07341432571411133]
['UV', 50, 'CV', 334, 'find', 'shred', 'V1', 'V1', 0.11710037174721188, 0.18681669235229492]
['BV', 80, 'CV', 236, 'cluster', 'unexpand', 'V1', 'V0', 0.15069796954314718, 0.09768033027648926]
['CV', 256, 'UV', 68, 'sort', 'diff', 'V0', 'V0', 0.07771105616389973, 0.0860280990600586]
['BV', 69, 'CV', 61, 'gvmap', 'ginstall', 'V0', 'V2', 0.06124379285883186, 0.19072484970092773]
['BV', 77, 'CV', 254, 'perl', 'uniq', 'V2', 'V0', 0.09146182858629215, 2.1369011402130127]
['CV', 259, 'BV', 59, 'mknod', 'make', 'V0', 'V1', 0.14238341968911916, 0.17577219009399414]
['BV', 32, 'UV', 78, 'perl', 'c++filt', 'V0', 'V0', 0.03554928901421972, 5.000425815582275]
['BV', 55, 'CV', 18, 'codeblocks', 'pwd', 'V3', 'V2', 0.18842316409201032, 10.379702091217041]
['CV', 282, 'UV', 54, 'chgrp', 'as', 'V1', 'V1', 0.12522914757103576, 1.6474945545196533]
['BV', 81, 'CV', 152, 'dot', 'env', 'V1', 'V3', 0.1508571428571428, 0.014241456985473633]
['UV', 30, 'CV', 28, 'ld', 'chown', 'V3', 'V2', 0.13488263459068084, 1.8353285789489746]
['UV', 19, 'CV', 177, 'elfedit', 'test', 'V2', 'V0', 0.07836153161175419, 0.021409273147583008]
['BV', 2, 'CV', 297, 'cmp', 'chroot', 'V1', 'V1', 0.10008857395925597, 0.02149820327758789]
