['UV', 0, 'CV', 250, 'locate', 'comm', 'V2', 'V0', 0.1335941866964785, 0.047693729400634766]
['CV', 35, 'BV', 10, 'sum', 'gvmap', 'V2', 'V2', 0.12740112994350283, 0.12630128860473633]
['BV', 59, 'UV', 46, 'make', 'diff', 'V1', 'V1', 0.051271126260474364, 0.3847219944000244]
['CV', 87, 'UV', 9, 'touch', 'readelf', 'V3', 'V2', 0.06809959565865076, 0.14851713180541992]
['CV', 290, 'BV', 18, 'tail', 'sort', 'V1', 'V3', 0.10344827586206895, 0.09578561782836914]
['BV', 58, 'UV', 2, 'ruby', 'find', 'V3', 'V2', 0.20344730149759815, 0.11485052108764648]
['UV', 87, 'BV', 26, 'objdump', 'geany', 'V0', 'V2', 0.11607421381779293, 37.78790783882141]
['CV', 201, 'UV', 39, 'expr', 'find', 'V0', 'V3', 0.12698155936590094, 0.35374999046325684]
['BV', 57, 'CV', 122, 'svn', 'sum', 'V2', 'V3', 0.20248948106591869, 0.398773193359375]
['UV', 8, 'CV', 335, 'strip', 'pathchk', 'V2', 'V1', 0.14320114380314553, 1.1324398517608643]
['CV', 193, 'UV', 74, 'pr', 'strip', 'V0', 'V0', 0.12971664530827276, 1.2228376865386963]
['CV', 69, 'BV', 63, 'csplit', 'ruby', 'V2', 'V0', 0.11154080210439532, 10.864739656448364]
['CV', 36, 'UV', 17, 'chroot', 'addr2line', 'V2', 'V2', 0.14640441438234242, 0.9642331600189209]
['CV', 289, 'UV', 14, 'chown', 'objcopy', 'V1', 'V2', 0.13243440233236148, 1.263369083404541]
['CV', 184, 'UV', 52, 'ptx', 'strip', 'V0', 'V1', 0.12271523178807953, 1.4181206226348877]
['BV', 41, 'CV', 163, 'libvlccore.so', 'comm', 'V1', 'V3', 0.16073991388933184, 2.7082977294921875]
['CV', 9, 'UV', 69, 'users', 'sdiff', 'V2', 'V0', 0.09027336300063571, 0.035069942474365234]
['CV', 215, 'UV', 85, 'nice', 'elfedit', 'V0', 'V0', 0.0937207122774133, 0.021450519561767578]
['UV', 52, 'CV', 287, 'strip', 'date', 'V1', 'V1', 0.13231833910034596, 1.2560396194458008]
['CV', 252, 'BV', 7, 'rm', 'libSDL2-2.0.so', 'V0', 'V0', 0.21260487006343354, 3.167649269104004]
['BV', 1, 'UV', 56, 'libSDL2-2.0.so', 'c++filt', 'V3', 'V1', 0.08562863031665735, 10.775892496109009]
['BV', 21, 'CV', 317, 'cp', 'yes', 'V1', 'V1', 0.12761647535449017, 0.033156633377075195]
['CV', 124, 'UV', 51, 'seq', 'nm', 'V3', 'V1', 0.13914163090128762, 0.9928174018859863]
['CV', 338, 'BV', 7, 'nl', 'libSDL2-2.0.so', 'V1', 'V0', 0.20430606160980458, 3.238426923751831]
['CV', 179, 'BV', 66, 'mkdir', 'lua', 'V0', 'V1', 0.1332214253013887, 0.31572985649108887]
['UV', 67, 'CV', 35, 'cmp', 'sum', 'V0', 'V2', 0.043604651162790664, 0.03079986572265625]
['UV', 56, 'CV', 185, 'c++filt', 'printenv', 'V1', 'V0', 0.1512150389729482, 0.8345870971679688]
['BV', 62, 'CV', 310, 'diff', 'tsort', 'V0', 'V1', 0.12282804074295983, 0.0404052734375]
['BV', 32, 'CV', 311, 'perl', 'cksum', 'V0', 'V1', 0.1117212249208025, 1.913783073425293]
['BV', 11, 'CV', 192, 'bash', 'pwd', 'V1', 'V0', 0.13041635267520724, 2.1521260738372803]
['CV', 325, 'BV', 7, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V0', 0.21930190515922687, 2.992560386657715]
['CV', 147, 'UV', 73, 'hostid', 'nm', 'V3', 'V0', 0.14518193454013528, 0.8598315715789795]
['UV', 69, 'BV', 4, 'sdiff', 'geany', 'V0', 'V3', 0.17932117947655546, 25.13392186164856]
['UV', 72, 'CV', 231, 'find', 'who', 'V0', 'V0', 0.14347961406784937, 0.1275327205657959]
['CV', 122, 'BV', 30, 'sum', 'bash', 'V3', 'V0', 0.12622549019607843, 2.140948534011841]
['UV', 21, 'CV', 24, 'objdump', 'factor', 'V2', 'V2', 0.139713171634393, 1.4161293506622314]
['CV', 90, 'UV', 84, 'test', 'ar', 'V3', 'V0', 0.1397217661799015, 0.9475665092468262]
['CV', 34, 'UV', 63, 'echo', 'elfedit', 'V2', 'V1', 0.08007117437722422, 0.02149343490600586]
['CV', 264, 'UV', 72, 'test', 'find', 'V1', 'V0', 0.15527751042669236, 0.11579346656799316]
['CV', 136, 'UV', 70, 'tsort', 'locate', 'V3', 'V0', 0.0920538428137212, 0.06547236442565918]
['CV', 121, 'UV', 82, 'echo', 'gprof', 'V3', 'V0', 0.14062231390751245, 0.9148356914520264]
['CV', 99, 'UV', 58, 'stty', 'objcopy', 'V3', 'V1', 0.12818070485780375, 1.306563138961792]
['UV', 66, 'CV', 222, 'diff3', 'df', 'V0', 'V0', 0.047365304914150363, 0.04224443435668945]
['BV', 73, 'CV', 14, 'geany', 'dirname', 'V0', 'V2', 0.18609835179681167, 14.797293186187744]
['UV', 58, 'CV', 134, 'objcopy', 'od', 'V1', 'V3', 0.1250671321160043, 1.3464646339416504]
['UV', 21, 'CV', 38, 'objdump', 'split', 'V2', 'V2', 0.1308453237410072, 1.533017635345459]
['BV', 50, 'CV', 239, 'sort', 'env', 'V0', 'V0', 0.10849056603773588, 0.02560901641845703]
['BV', 5, 'CV', 313, 'libvlccore.so', 'logname', 'V0', 'V1', 0.17371333702268954, 2.6593310832977295]
['CV', 166, 'BV', 31, 'fold', 'codeblocks', 'V3', 'V0', 0.18634874308213334, 9.827409267425537]
['BV', 67, 'CV', 168, 'cluster', 'sleep', 'V0', 'V3', 0.13057742782152237, 0.0993049144744873]
['BV', 54, 'CV', 291, 'lua', 'pinky', 'V3', 'V1', 0.13145539906103287, 0.38877320289611816]
['CV', 178, 'UV', 46, 'basename', 'diff', 'V0', 'V1', 0.13755020080321279, 0.0784907341003418]
['CV', 172, 'BV', 59, 'mknod', 'make', 'V3', 'V1', 0.12676886792452824, 0.20285677909851074]
['BV', 77, 'CV', 36, 'perl', 'chroot', 'V2', 'V2', 0.09054058436294066, 2.2916696071624756]
['UV', 51, 'CV', 96, 'nm', 'users', 'V1', 'V3', 0.14178265756030084, 0.9489097595214844]
['CV', 61, 'BV', 15, 'ginstall', 'libvlccore.so', 'V2', 'V3', 0.1485558335228565, 4.208516597747803]
['UV', 1, 'CV', 77, 'xargs', 'nl', 'V2', 'V2', 0.03629343629343629, 0.07142281532287598]
['CV', 97, 'UV', 83, 'ptx', 'addr2line', 'V3', 'V0', 0.1290550070521862, 0.9681253433227539]
['CV', 285, 'UV', 36, 'factor', 'objdump', 'V1', 'V3', 0.13956496178718403, 1.6983869075775146]
['CV', 153, 'UV', 65, 'link', 'objdump', 'V3', 'V1', 0.13585362743848017, 1.4969274997711182]
['BV', 37, 'UV', 57, 'geany', 'strings', 'V1', 'V1', 0.12905914461749657, 30.681180477142334]
['CV', 326, 'UV', 29, 'env', 'objcopy', 'V1', 'V3', 0.1456816614299946, 1.1581058502197266]
['CV', 216, 'UV', 80, 'dircolors', 'objcopy', 'V0', 'V0', 0.1367969147929855, 1.1697618961334229]
