['CO', 108, 'UO', 53, 'test', 'gprof', 'O1', 'O3', 0.1302685248130524, 0.9604275226593018]
['UO', 17, 'BO', 59, 'objdump', 'libgeany.so.0.0.0', 'O1', 'O3', 0.1038214658904314, 47.177088499069214]
['CO', 305, 'BO', 23, 'uniq', 'git', 'O2', 'O2', 0.09230528436992547, 6.842153072357178]
['CO', 184, 'UO', 46, 'uname', 'readelf', 'O1', 'O3', 0.10466385899235686, 0.24232721328735352]
['CO', 381, 'UO', 79, 'who', 'size', 'O0', 'O0', 0.14443608587466006, 2.454688310623169]
['CO', 226, 'BO', 83, 'uptime', 'lua', 'O2', 'O2', 0.12266003403586856, 0.4404923915863037]
['CO', 186, 'BO', 23, 'shuf', 'git', 'O1', 'O2', 0.09011040273674387, 7.549362421035767]
['BO', 70, 'CO', 15, 'diff', 'join', 'O3', 'O3', 0.09236947791164662, 0.10872626304626465]
['CO', 411, 'BO', 80, 'sort', 'ssh', 'O0', 'O3', 0.10108242191904382, 2.152297019958496]
['BO', 78, 'CO', 409, 'ssh', 'uniq', 'O0', 'O0', 0.13428514376996803, 2.276822805404663]
['UO', 40, 'CO', 93, 'objdump', 'nl', 'O2', 'O3', 0.13425765453495087, 1.8046560287475586]
['CO', 188, 'UO', 70, 'vdir', 'ranlib', 'O1', 'O0', 0.12717004810709054, 3.154294729232788]
['UO', 50, 'CO', 126, 'strings', 'pwd', 'O3', 'O1', 0.13423998519752056, 0.8875558376312256]
['BO', 27, 'CO', 406, 'perl', 'rm', 'O3', 'O0', 0.07525835170182926, 2.990952730178833]
['BO', 57, 'UO', 47, 'libvlccore.so.9.0.0', 'as', 'O3', 'O3', 0.04625183733463989, 11.459279298782349]
['UO', 60, 'CO', 389, 'xargs', 'env', 'O3', 'O0', 0.08040442946557536, 0.0841984748840332]
['CO', 298, 'BO', 82, 'tr', 'cp', 'O2', 'O3', 0.10574460300036592, 0.09027910232543945]
['UO', 81, 'CO', 66, 'diff3', 'runcon', 'O0', 'O3', 0.12851627137341426, 0.05367684364318848]
['CO', 129, 'UO', 46, 'chgrp', 'readelf', 'O1', 'O3', 0.07931769722814497, 0.32406020164489746]
['BO', 0, 'CO', 166, 'codeblocks', 'printf', 'O1', 'O1', 0.18460258443618205, 10.887753248214722]
['BO', 2, 'CO', 380, 'perl', 'yes', 'O1', 'O0', 0.07584603598129602, 2.5955569744110107]
['UO', 24, 'BO', 78, 'diff', 'ssh', 'O2', 'O0', 0.11795088510118801, 2.9166688919067383]
['UO', 86, 'CO', 396, 'xargs', 'vdir', 'O0', 'O0', 0.06663665015758669, 0.34746670722961426]
['CO', 402, 'UO', 50, 'tr', 'strings', 'O0', 'O3', 0.125280646609789, 0.948474645614624]
['UO', 8, 'BO', 0, 'c++filt', 'codeblocks', 'O1', 'O1', 0.11477575282243913, 19.435713052749634]
['CO', 81, 'UO', 67, 'cat', 'strip', 'O3', 'O0', 0.1453964449770322, 2.807093858718872]
['BO', 75, 'CO', 215, 'gvmap', 'fmt', 'O1', 'O2', 0.12941847206385404, 0.13439393043518066]
['CO', 239, 'BO', 40, 'date', 'lua', 'O2', 'O0', 0.12838703320524192, 0.8207955360412598]
['UO', 74, 'CO', 35, 'ld', 'base32', 'O0', 'O3', 0.14969661707256254, 4.0557861328125]
['CO', 260, 'UO', 46, 'sha256sum', 'readelf', 'O2', 'O3', 0.10201880104792727, 0.25209712982177734]
['UO', 48, 'CO', 124, 'ranlib', 'mkfifo', 'O3', 'O1', 0.1363755802750285, 0.904437780380249]
['UO', 33, 'CO', 227, 'objcopy', 'dd', 'O2', 'O2', 0.12777978993118433, 1.3220815658569336]
['CO', 209, 'UO', 23, 'touch', 'cmp', 'O2', 'O2', 0.0628539071347678, 0.05234646797180176]
['UO', 87, 'BO', 14, 'find', 'cmp', 'O0', 'O0', 0.153836201319705, 0.687063455581665]
['CO', 343, 'UO', 24, 'date', 'diff', 'O0', 'O2', 0.060536836093660784, 0.17250704765319824]
['CO', 82, 'BO', 64, 'shuf', 'dot', 'O3', 'O0', 0.18670886075949367, 0.026639699935913086]
['BO', 83, 'CO', 104, 'lua', 'sha384sum', 'O2', 'O1', 0.1223982196622595, 0.4233517646789551]
['CO', 309, 'UO', 48, 'rmdir', 'ranlib', 'O2', 'O3', 0.1373717892522135, 0.9016294479370117]
['BO', 56, 'CO', 274, 'libvlc.so.12.0.0', 'runcon', 'O3', 'O2', 0.22283464566929134, 0.38271570205688477]
['CO', 346, 'UO', 59, 'tail', 'locate', 'O0', 'O3', 0.04243243243243244, 0.20412445068359375]
['CO', 197, 'BO', 49, 'nl', 'svn', 'O1', 'O0', 0.20532708912629882, 0.5763511657714844]
['CO', 205, 'BO', 82, 'rmdir', 'cp', 'O1', 'O3', 0.10143329658213895, 0.09282732009887695]
['UO', 65, 'BO', 5, 'sdiff', 'libgeany.so.0.0.0', 'O3', 'O1', 0.17286121673003807, 29.639352560043335]
['CO', 131, 'UO', 31, 'wc', 'c++filt', 'O1', 'O2', 0.13700107874865153, 1.0248713493347168]
['BO', 71, 'CO', 365, 'libSDL2-2.0.so.0.16.0', 'chmod', 'O0', 'O0', 0.18805627332759112, 7.490798473358154]
['CO', 108, 'UO', 45, 'test', 'strip', 'O1', 'O3', 0.12661576838763322, 1.860140085220337]
['CO', 376, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19186238835593783, 29.571056127548218]
['CO', 251, 'UO', 20, 'chroot', 'diff', 'O2', 'O1', 0.1334926596107886, 0.1222848892211914]
['BO', 10, 'CO', 17, 'openssl', 'stdbuf', 'O3', 'O3', 0.27595488336324014, 7.639392375946045]
['UO', 47, 'CO', 181, 'as', 'env', 'O3', 'O1', 0.12220522475876683, 1.5005309581756592]
['UO', 27, 'CO', 149, 'strip', 'split', 'O2', 'O1', 0.12882447665056362, 1.2988245487213135]
['BO', 68, 'CO', 232, 'git', 'tee', 'O3', 'O2', 0.09301459052400374, 6.477994441986084]
['UO', 2, 'CO', 413, 'find', 'rmdir', 'O1', 'O0', 0.15173674588665453, 0.4275970458984375]
['BO', 9, 'CO', 7, 'git', 'fmt', 'O0', 'O3', 0.09277120219113766, 6.601945161819458]
['CO', 238, 'BO', 78, 'expand', 'ssh', 'O2', 'O0', 0.14194269457427355, 2.1387991905212402]
['UO', 7, 'CO', 232, 'ranlib', 'tee', 'O1', 'O2', 0.14907955292570674, 1.154083490371704]
['UO', 51, 'BO', 34, 'objcopy', 'cp', 'O3', 'O2', 0.10185249427600085, 1.4068799018859863]
['BO', 16, 'CO', 246, 'make', 'sha1sum', 'O0', 'O2', 0.12728221178925403, 0.3333549499511719]
['BO', 59, 'CO', 18, 'libgeany.so.0.0.0', 'uptime', 'O3', 'O3', 0.16718730476071475, 25.92344641685486]
['BO', 24, 'CO', 63, 'cluster', 'logname', 'O3', 'O3', 0.1361256544502618, 0.10862851142883301]
['BO', 9, 'CO', 192, 'git', 'shred', 'O0', 'O1', 0.08994811806540626, 7.2459917068481445]
['BO', 25, 'CO', 239, 'dot', 'date', 'O3', 'O2', 0.19120000000000004, 0.028552532196044922]
['CO', 332, 'UO', 8, 'mkfifo', 'c++filt', 'O0', 'O1', 0.12028492795855594, 1.4339408874511719]
['BO', 83, 'CO', 309, 'lua', 'rmdir', 'O2', 'O2', 0.13076614520657848, 0.3910801410675049]
['CO', 268, 'BO', 15, 'base64', 'diff', 'O2', 'O0', 0.16012269938650303, 0.1549053192138672]
['UO', 45, 'CO', 223, 'strip', 'join', 'O3', 'O2', 0.1264932708301829, 1.0614807605743408]
['CO', 47, 'UO', 46, 'numfmt', 'readelf', 'O3', 'O3', 0.09622248661511001, 0.2500619888305664]
['UO', 58, 'BO', 11, 'objdump', 'ssh', 'O3', 'O1', 0.01315044359151829, 6.029691696166992]
['BO', 24, 'CO', 191, 'cluster', 'id', 'O3', 'O1', 0.11518171160609614, 0.13342785835266113]
['CO', 172, 'UO', 35, 'yes', 'gprof', 'O1', 'O2', 0.1424590440803919, 1.0328009128570557]
['UO', 23, 'CO', 181, 'cmp', 'env', 'O2', 'O1', 0.04408523144746512, 0.03599095344543457]
['BO', 64, 'CO', 21, 'dot', 'mktemp', 'O0', 'O3', 0.1833180568285976, 0.022065162658691406]
['BO', 24, 'CO', 318, 'cluster', 'mkdir', 'O3', 'O0', 0.0424107142857143, 0.2523789405822754]
['CO', 364, 'UO', 57, 'sha256sum', 'size', 'O0', 'O3', 0.12694416973837996, 0.9382748603820801]
['CO', 305, 'BO', 68, 'uniq', 'git', 'O2', 'O3', 0.09230528436992547, 6.786366939544678]
['UO', 8, 'CO', 81, 'c++filt', 'cat', 'O1', 'O3', 0.14955396186811265, 1.0453431606292725]
['BO', 16, 'CO', 86, 'make', 'timeout', 'O0', 'O3', 0.11858436766185843, 0.27264881134033203]
['UO', 27, 'BO', 3, 'strip', 'openssl', 'O2', 'O1', 0.13507921661990197, 16.401484727859497]
['CO', 215, 'BO', 28, 'fmt', 'ruby', 'O2', 'O0', 0.10495467452207052, 13.805358171463013]
['CO', 86, 'BO', 42, 'timeout', 'cmp', 'O3', 'O1', 0.037013801756587195, 0.043962955474853516]
['UO', 83, 'CO', 183, 'diff', 'link', 'O0', 'O1', 0.16362511599133933, 0.1568584442138672]
['BO', 37, 'CO', 276, 'gvmap', 'yes', 'O2', 'O2', 0.14311594202898548, 0.12010788917541504]
['CO', 386, 'BO', 52, 'unexpand', 'svn', 'O0', 'O3', 0.19711985134716636, 0.528099536895752]
['UO', 4, 'CO', 54, 'strip', 'true', 'O1', 'O3', 0.14588975916843572, 1.2818424701690674]
['UO', 74, 'BO', 9, 'ld', 'git', 'O0', 'O0', 0.017071880890070057, 22.944918632507324]
['UO', 32, 'CO', 411, 'strings', 'sort', 'O2', 'O0', 0.0927716390423573, 1.5403063297271729]
['UO', 22, 'CO', 107, 'diff3', 'unlink', 'O2', 'O1', 0.0723951285520974, 0.03850269317626953]
