['CV', 191, 'BV', 73, 'mkfifo', 'geany', 'V0', 'V0', 0.18666215301286393, 14.898897171020508]
['CV', 298, 'UV', 46, 'seq', 'diff', 'V1', 'V1', 0.12904279647174133, 0.08677244186401367]
['CV', 314, 'BV', 71, 'tty', 'ruby', 'V1', 'V1', 0.23178807947019864, 0.005396842956542969]
['CV', 151, 'BV', 28, 'md5sum', 'openssl', 'V3', 'V1', 0.10210363153232949, 6.549790382385254]
['CV', 51, 'BV', 4, 'printf', 'geany', 'V2', 'V3', 0.18096510095053076, 24.922252416610718]
['CV', 110, 'UV', 7, 'wc', 'nm', 'V3', 'V2', 0.13784546932489095, 1.0514686107635498]
['BV', 73, 'UV', 83, 'geany', 'addr2line', 'V0', 'V0', 0.12540430644117917, 23.825775861740112]
['CV', 12, 'BV', 4, 'stty', 'geany', 'V2', 'V3', 0.18091158208748137, 24.868828296661377]
['BV', 16, 'CV', 67, 'libvlc.so', 'uname', 'V3', 'V2', 0.19647355163727953, 0.32044315338134766]
['CV', 308, 'BV', 36, 'od', 'libvlc.so', 'V1', 'V2', 0.1844733371019408, 0.3509526252746582]
['UV', 67, 'CV', 252, 'cmp', 'rm', 'V0', 'V0', 0.0389696169088507, 0.03701376914978027]
['BV', 2, 'CV', 280, 'cmp', 'pr', 'V1', 'V1', 0.028122956180510084, 0.036771297454833984]
['UV', 1, 'CV', 148, 'xargs', 'ginstall', 'V2', 'V3', 0.07440559440559436, 0.14739274978637695]
['CV', 61, 'BV', 59, 'ginstall', 'make', 'V2', 'V1', 0.07651715039577833, 0.3271510601043701]
['UV', 75, 'CV', 19, 'readelf', 'pr', 'V0', 'V2', 0.08061472094904287, 0.10218501091003418]
['UV', 32, 'CV', 80, 'addr2line', 'uniq', 'V3', 'V2', 0.14542836573074158, 0.9223260879516602]
['UV', 64, 'CV', 154, 'size', 'uname', 'V1', 'V3', 0.14370252605546718, 0.8868026733398438]
['CV', 341, 'BV', 43, 'uniq', 'lua', 'V1', 'V0', 0.1366776315789473, 0.28257203102111816]
['CV', 255, 'BV', 13, 'sleep', 'cp', 'V0', 'V2', 0.14360437470280552, 0.05537128448486328]
['BV', 52, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V2', 'V0', 0.1906385616862989, 4.103636264801025]
['CV', 220, 'UV', 11, 'cut', 'ranlib', 'V0', 'V2', 0.1480221182475543, 1.0140035152435303]
['UV', 22, 'CV', 320, 'nm', 'head', 'V3', 'V1', 0.14882016446192348, 0.9162983894348145]
['BV', 30, 'CV', 249, 'bash', 'tr', 'V0', 'V0', 0.12969114074661636, 2.0063130855560303]
['CV', 9, 'BV', 11, 'users', 'bash', 'V2', 'V1', 0.1296747586465461, 2.219027280807495]
['BV', 81, 'CV', 19, 'dot', 'pr', 'V1', 'V2', 0.16361974405850088, 0.019952058792114258]
['BV', 37, 'CV', 51, 'geany', 'printf', 'V1', 'V2', 0.18343183724423118, 19.945390224456787]
['BV', 4, 'CV', 272, 'geany', 'printenv', 'V3', 'V1', 0.18325037114662468, 24.479321241378784]
['UV', 8, 'BV', 49, 'strip', 'make', 'V2', 'V3', 0.07146500425049584, 2.1376864910125732]
['CV', 136, 'UV', 75, 'tsort', 'readelf', 'V3', 'V0', 0.0880291561536305, 0.09439635276794434]
['UV', 30, 'CV', 149, 'ld', 'unexpand', 'V3', 'V3', 0.1411484677179411, 1.8554952144622803]
['UV', 68, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.13486982501067013, 0.06032419204711914]
['CV', 282, 'UV', 87, 'chgrp', 'objdump', 'V1', 'V0', 0.12994864460768385, 1.4773268699645996]
['BV', 1, 'CV', 340, 'libSDL2-2.0.so', 'fold', 'V3', 'V1', 0.19513644466791602, 5.171128988265991]
['CV', 263, 'UV', 2, 'unlink', 'find', 'V1', 'V2', 0.16443393748358281, 0.1450512409210205]
['BV', 14, 'CV', 126, 'openssl', 'whoami', 'V3', 'V3', 0.2885616153205661, 5.519995927810669]
['CV', 143, 'UV', 11, 'yes', 'ranlib', 'V3', 'V2', 0.1460038821841505, 1.0316991806030273]
['CV', 156, 'BV', 59, 'csplit', 'make', 'V3', 'V1', 0.10680686220254565, 0.2324228286743164]
['CV', 51, 'BV', 11, 'printf', 'bash', 'V2', 'V1', 0.1267592549584282, 2.336888551712036]
['CV', 32, 'BV', 66, 'paste', 'lua', 'V2', 'V1', 0.1361473522640062, 0.30275535583496094]
['BV', 65, 'UV', 24, 'ssh', 'readelf', 'V1', 'V3', 0.08152142897905612, 5.399998664855957]
['BV', 41, 'UV', 17, 'libvlccore.so', 'addr2line', 'V1', 'V2', 0.05141621319938605, 6.763150215148926]
['CV', 222, 'BV', 68, 'df', 'dot', 'V0', 'V0', 0.18278427205100956, 0.018921375274658203]
['BV', 16, 'UV', 22, 'libvlc.so', 'nm', 'V3', 'V3', 0.06349931475559611, 2.218688488006592]
['BV', 1, 'UV', 50, 'libSDL2-2.0.so', 'find', 'V3', 'V1', 0.15260899209882484, 6.946435451507568]
['UV', 25, 'CV', 27, 'as', 'expr', 'V3', 'V2', 0.12115692443561299, 1.8239855766296387]
['CV', 158, 'UV', 1, '[', 'xargs', 'V3', 'V2', 0.07118644067796609, 0.05275106430053711]
