['CV', 156, 'UV', 43, 'csplit', 'sdiff', 'V3', 'V3', 0.03410776075135935, 0.05371737480163574]
['CV', 333, 'UV', 44, 'id', 'diff3', 'V1', 'V1', 0.09592822636300902, 0.032294273376464844]
['CV', 306, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.06270491803278688, 0.09708690643310547]
['UV', 77, 'CV', 306, 'ranlib', 'cp', 'V0', 'V1', 0.12832524677932078, 1.0574846267700195]
['UV', 55, 'CV', 217, 'ranlib', 'chmod', 'V1', 'V0', 0.13961416929985027, 1.0105347633361816]
['CV', 238, 'UV', 13, 'md5sum', 'strings', 'V0', 'V2', 0.14806110458284372, 0.9461061954498291]
['BV', 24, 'UV', 41, 'git', 'cmp', 'V0', 'V3', 0.0930609597924773, 3.6727888584136963]
['UV', 20, 'CV', 329, 'size', 'cat', 'V2', 'V1', 0.15032088945132427, 0.9109132289886475]
['BV', 8, 'CV', 33, 'cluster', 'sync', 'V2', 'V2', 0.14799749687108887, 0.10754966735839844]
['BV', 68, 'CV', 32, 'dot', 'paste', 'V0', 'V2', 0.13461538461538458, 0.015021085739135742]
['BV', 3, 'CV', 47, 'diff', 'od', 'V1', 'V2', 0.0835125448028674, 0.10109138488769531]
['CV', 345, 'BV', 33, 'rmdir', 'openssl', 'V1', 'V0', 0.10408009066868151, 5.684921979904175]
['CV', 47, 'BV', 42, 'od', 'libvlc.so', 'V2', 'V1', 0.15517936316001613, 0.28380584716796875]
['UV', 53, 'BV', 30, 'readelf', 'bash', 'V1', 'V0', 0.10191448910111867, 2.774747133255005]
['UV', 80, 'CV', 310, 'objcopy', 'tsort', 'V0', 'V1', 0.1375611180033569, 1.1126043796539307]
['BV', 49, 'UV', 70, 'make', 'locate', 'V3', 'V0', 0.08613877034929662, 0.3395512104034424]
['BV', 66, 'CV', 206, 'lua', 'paste', 'V1', 'V0', 0.14102764329220674, 0.28808140754699707]
['CV', 338, 'UV', 46, 'nl', 'diff', 'V1', 'V1', 0.07284595300261099, 0.12183260917663574]
['UV', 7, 'CV', 61, 'nm', 'ginstall', 'V2', 'V2', 0.11929402326514238, 1.2760553359985352]
['UV', 53, 'BV', 33, 'readelf', 'openssl', 'V1', 'V0', 0.09030263947877515, 7.144070386886597]
['BV', 64, 'UV', 12, 'openssl', 'c++filt', 'V2', 'V2', 0.12774160695449754, 9.977237939834595]
['CV', 335, 'BV', 25, 'pathchk', 'git', 'V1', 'V3', 0.08806000342343179, 9.145902156829834]
['CV', 303, 'BV', 6, 'dircolors', 'libvlc.so', 'V1', 'V0', 0.19226118500604594, 0.2400360107421875]
['CV', 104, 'UV', 36, 'mkfifo', 'objdump', 'V3', 'V3', 0.13613904551531708, 1.8063299655914307]
['CV', 186, 'UV', 3, 'stty', 'diff3', 'V0', 'V2', 0.07746933505487408, 0.03619050979614258]
['UV', 48, 'BV', 80, 'locate', 'cluster', 'V1', 'V1', 0.06071817192600648, 0.22116708755493164]
['CV', 56, 'UV', 84, 'yes', 'ar', 'V2', 'V0', 0.14803330970942596, 0.8956413269042969]
['UV', 68, 'CV', 239, 'diff', 'env', 'V0', 'V0', 0.1441839893852278, 0.05810236930847168]
