['BO', 72, 'CO', 207, 'make', 'ln', 'O2', 'O1', 0.08849557522123896, 0.32355713844299316]
['CO', 197, 'BO', 27, 'nl', 'perl', 'O1', 'O3', 0.08232154378555923, 2.36271333694458]
['CO', 55, 'BO', 58, 'cp', 'svn', 'O3', 'O1', 0.15531942804670074, 0.7126705646514893]
['CO', 82, 'BO', 83, 'shuf', 'lua', 'O3', 'O2', 0.11456237424547289, 0.43662405014038086]
['CO', 154, 'UO', 66, 'dircolors', 'nm', 'O1', 'O0', 0.15010999189533403, 2.2647881507873535]
['UO', 75, 'CO', 223, 'gprof', 'join', 'O0', 'O2', 0.14726947179946281, 2.233804225921631]
['BO', 12, 'CO', 337, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O0', 0.18638968206818574, 29.638463020324707]
['CO', 67, 'UO', 83, 'nohup', 'diff', 'O3', 'O0', 0.15421115065243174, 0.14944195747375488]
['CO', 18, 'BO', 52, 'uptime', 'svn', 'O3', 'O3', 0.2004601226993865, 0.4784524440765381]
['CO', 276, 'UO', 49, 'yes', 'c++filt', 'O2', 'O3', 0.14240897423709475, 0.7478868961334229]
['UO', 61, 'CO', 46, 'find', 'whoami', 'O3', 'O3', 0.15577342047930287, 0.26955652236938477]
['CO', 342, 'UO', 27, 'expand', 'strip', 'O0', 'O2', 0.1331451073631027, 1.2124049663543701]
['CO', 342, 'BO', 61, 'expand', 'git', 'O0', 'O1', 0.09178507906104016, 6.508209466934204]
['CO', 150, 'BO', 6, 'whoami', 'codeblocks', 'O1', 'O0', 0.20666555015910237, 27.503623008728027]
['BO', 58, 'UO', 56, 'svn', 'elfedit', 'O1', 'O3', 0.21421740516416965, 0.4767885208129883]
['BO', 80, 'CO', 28, 'ssh', 'factor', 'O3', 'O3', 0.13404492987464312, 1.2775158882141113]
['UO', 42, 'CO', 368, 'xargs', 'cut', 'O2', 'O0', 0.06961733517750113, 0.08845925331115723]
['BO', 39, 'CO', 106, 'codeblocks', 'stat', 'O3', 'O1', 0.17949041690866396, 11.455977439880371]
['BO', 17, 'CO', 171, 'codeblocks', 'nohup', 'O2', 'O1', 0.18731141400478624, 10.238762378692627]
['UO', 6, 'CO', 52, 'as', 'sha256sum', 'O1', 'O3', 0.131638324803258, 1.8364832401275635]
['CO', 275, 'BO', 64, 'nohup', 'dot', 'O2', 'O0', 0.17912371134020622, 0.014382123947143555]
['UO', 0, 'CO', 229, 'locate', 'mktemp', 'O1', 'O2', 0.12339585389930896, 0.13022518157958984]
['CO', 148, 'BO', 49, 'seq', 'svn', 'O1', 'O0', 0.2043104703655163, 0.5389790534973145]
['CO', 150, 'UO', 70, 'whoami', 'ranlib', 'O1', 'O0', 0.15330001135976368, 2.2459890842437744]
['UO', 54, 'BO', 49, 'addr2line', 'svn', 'O3', 'O0', 0.04469478968958551, 2.295222282409668]
['BO', 50, 'CO', 165, 'perl', 'cksum', 'O2', 'O1', 0.08694734938669724, 2.336613178253174]
['BO', 15, 'CO', 385, 'diff', 'hostid', 'O0', 'O0', 0.14753105119660703, 0.16156959533691406]
['BO', 79, 'CO', 246, 'bash', 'sha1sum', 'O3', 'O2', 0.11343742607049911, 2.3718535900115967]
['UO', 86, 'CO', 185, 'xargs', 'cat', 'O0', 'O1', 0.13239187996469548, 0.09911489486694336]
['CO', 342, 'BO', 64, 'expand', 'dot', 'O0', 'O0', 0.20080321285140568, 0.02271723747253418]
['CO', 114, 'BO', 23, 'users', 'git', 'O1', 'O2', 0.09279077972480299, 6.351268291473389]
['CO', 52, 'UO', 25, 'sha256sum', 'sdiff', 'O3', 'O2', 0.06643558636626223, 0.04429483413696289]
['BO', 55, 'CO', 402, 'make', 'tr', 'O1', 'O0', 0.10850757029560198, 0.2700958251953125]
['CO', 75, 'UO', 74, 'mv', 'ld', 'O3', 'O0', 0.130637817644083, 4.772114515304565]
['CO', 336, 'BO', 8, 'tee', 'cp', 'O0', 'O0', 0.13158564520234162, 0.2155900001525879]
['BO', 79, 'CO', 326, 'bash', 'stty', 'O3', 'O0', 0.10866607052602928, 2.5849573612213135]
['CO', 383, 'UO', 86, 'readlink', 'xargs', 'O0', 'O0', 0.08313725490196078, 0.13324499130249023]
['BO', 15, 'CO', 292, 'diff', 'vdir', 'O0', 'O2', 0.05438066465256797, 0.29144811630249023]
['CO', 289, 'BO', 58, 'cat', 'svn', 'O2', 'O1', 0.22546767312110272, 0.4596824645996094]
['UO', 27, 'BO', 83, 'strip', 'lua', 'O2', 'O2', 0.0507678963212409, 2.5616583824157715]
['CO', 33, 'BO', 21, 'chown', 'cp', 'O3', 'O1', 0.07852760736196318, 0.1273365020751953]
['CO', 229, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.16106308037143768, 4.709682941436768]
['UO', 41, 'BO', 59, 'locate', 'libgeany.so.0.0.0', 'O2', 'O3', 0.15918298705071166, 28.83874821662903]
['BO', 70, 'CO', 156, 'diff', 'sha256sum', 'O3', 'O1', 0.10080375083724047, 0.10387802124023438]
['UO', 71, 'CO', 60, 'c++filt', 'base64', 'O0', 'O3', 0.15220618801591546, 2.062191963195801]
