['BO', 61, 'UO', 87, 'git', 'find', 'O1', 'O0', 0.06299377752918967, 10.976893663406372]
['UO', 9, 'CO', 20, 'strings', 'mkfifo', 'O1', 'O3', 0.15142533344956854, 1.0646321773529053]
['BO', 24, 'CO', 310, 'cluster', 'mknod', 'O3', 'O2', 0.13539712320200126, 0.11002373695373535]
['BO', 79, 'CO', 397, 'bash', '[', 'O3', 'O0', 0.10907956804802932, 2.7010421752929688]
['CO', 90, 'BO', 59, 'tr', 'libgeany.so.0.0.0', 'O3', 'O3', 0.16767244074792065, 27.63583731651306]
['CO', 206, 'UO', 68, 'mknod', 'readelf', 'O1', 'O0', 0.12509695290858724, 0.5679757595062256]
['BO', 79, 'CO', 201, 'bash', 'uniq', 'O3', 'O1', 0.1109893979108798, 2.6468558311462402]
['BO', 40, 'UO', 57, 'lua', 'size', 'O0', 'O3', 0.013130686517783263, 2.834564685821533]
['BO', 66, 'CO', 257, 'svn', 'nice', 'O2', 'O2', 0.22829846812716192, 0.4890105724334717]
['BO', 25, 'CO', 361, 'dot', 'nice', 'O3', 'O0', 0.20133481646273643, 0.021941423416137695]
['CO', 40, 'BO', 65, 'sync', 'gvmap', 'O3', 'O0', 0.13386320853377953, 0.19793295860290527]
['CO', 327, 'BO', 14, 'join', 'cmp', 'O0', 'O0', 0.03388035997882477, 0.06914019584655762]
['CO', 406, 'UO', 27, 'rm', 'strip', 'O0', 'O2', 0.115495533516213, 1.5823049545288086]
['UO', 18, 'BO', 56, 'diff3', 'libvlc.so.12.0.0', 'O1', 'O3', 0.18284305090716924, 0.4871184825897217]
['UO', 60, 'CO', 6, 'xargs', 'mkdir', 'O3', 'O3', 0.0842391304347826, 0.07956528663635254]
['CO', 128, 'UO', 17, 'tee', 'objdump', 'O1', 'O1', 0.1374958114598459, 2.103943347930908]
['BO', 14, 'CO', 273, 'cmp', 'false', 'O0', 'O2', 0.11994002998500752, 0.03654313087463379]
['BO', 37, 'CO', 78, 'gvmap', 'chcon', 'O2', 'O3', 0.09533218078537908, 0.15854358673095703]
