['BV', 27, 'UV', 56, 'libSDL2-2.0.so', 'c++filt', 'V1', 'V1', 0.07127860218497561, 8.246208429336548]
['CV', 46, 'UV', 24, 'cut', 'readelf', 'V2', 'V3', 0.10922405733873486, 0.2548229694366455]
['UV', 41, 'CV', 10, 'cmp', 'ptx', 'V3', 'V2', 0.053475935828877, 0.061852455139160156]
['UV', 2, 'CV', 222, 'find', 'df', 'V2', 'V0', 0.12659140043238049, 0.18111133575439453]
['CV', 152, 'BV', 30, 'env', 'bash', 'V3', 'V0', 0.12858341145704844, 2.0844619274139404]
['CV', 59, 'BV', 18, 'head', 'sort', 'V2', 'V3', 0.12020093290276279, 0.08425760269165039]
['BV', 42, 'UV', 19, 'libvlc.so', 'elfedit', 'V1', 'V2', 0.16190075693860384, 0.2602264881134033]
['CV', 223, 'BV', 82, 'tsort', 'gvmap', 'V0', 'V1', 0.14426818317868895, 0.11000370979309082]
['CV', 9, 'UV', 7, 'users', 'nm', 'V2', 'V2', 0.14809926082365366, 0.952690839767456]
['CV', 298, 'UV', 4, 'seq', 'cmp', 'V1', 'V2', 0.09443507588532885, 0.025610685348510742]
['BV', 15, 'CV', 161, 'libvlccore.so', 'pathchk', 'V3', 'V3', 0.16379392438815354, 3.321847438812256]
['CV', 137, 'UV', 63, 'cksum', 'elfedit', 'V3', 'V1', 0.049117421335379885, 0.02643895149230957]
['CV', 198, 'UV', 19, 'factor', 'elfedit', 'V0', 'V2', 0.08348623853211012, 0.02095484733581543]
['BV', 68, 'CV', 166, 'dot', 'fold', 'V0', 'V3', 0.15333333333333332, 0.015296220779418945]
['CV', 170, 'UV', 5, 'tac', 'diff', 'V3', 'V2', 0.1029023746701847, 0.09872603416442871]
['CV', 75, 'UV', 73, 'tr', 'nm', 'V2', 'V0', 0.14263720340518016, 0.8660411834716797]
['UV', 83, 'CV', 150, 'addr2line', 'mv', 'V0', 'V3', 0.10321137561910843, 1.2009694576263428]
['UV', 33, 'BV', 80, 'ar', 'cluster', 'V3', 'V1', 0.09926311226701345, 1.5041229724884033]
['CV', 95, 'BV', 70, 'du', 'ssh', 'V3', 'V0', 0.10518489144443344, 4.149803400039673]
['CV', 199, 'UV', 63, 'expand', 'elfedit', 'V0', 'V1', 0.0853432282003711, 0.021239757537841797]
['CV', 150, 'UV', 53, 'mv', 'readelf', 'V3', 'V1', 0.02171877925482124, 0.22771310806274414]
['UV', 50, 'CV', 112, 'find', 'expand', 'V1', 'V3', 0.13424264178033019, 0.16800379753112793]
['CV', 300, 'UV', 84, 'whoami', 'ar', 'V1', 'V0', 0.14997321906802363, 0.8762447834014893]
['CV', 67, 'BV', 32, 'uname', 'perl', 'V2', 'V0', 0.11070452155625654, 1.9619693756103516]
['CV', 239, 'BV', 43, 'env', 'lua', 'V0', 'V0', 0.14800952705001702, 0.26009321212768555]
['BV', 41, 'CV', 143, 'libvlccore.so', 'yes', 'V1', 'V3', 0.16368025751072968, 2.63051438331604]
['UV', 55, 'CV', 167, 'ranlib', 'uniq', 'V1', 'V3', 0.1361483175432865, 1.0317120552062988]
['CV', 253, 'BV', 52, 'fold', 'libSDL2-2.0.so', 'V0', 'V2', 0.19563853153435828, 4.057892799377441]
['BV', 25, 'CV', 291, 'git', 'pinky', 'V3', 'V1', 0.08723519826181425, 9.171324014663696]
['CV', 43, 'UV', 38, 'chmod', 'xargs', 'V2', 'V3', 0.08426214890771289, 0.0792083740234375]
['UV', 22, 'BV', 35, 'nm', 'libvlccore.so', 'V3', 'V2', 0.05975657128059042, 8.118167161941528]
['UV', 85, 'CV', 230, 'elfedit', 'yes', 'V0', 'V0', 0.104390243902439, 0.019052982330322266]
['CV', 173, 'BV', 43, 'ln', 'lua', 'V3', 'V0', 0.10235767682576191, 0.3993198871612549]
['UV', 55, 'CV', 162, 'ranlib', 'tr', 'V1', 'V3', 0.13818660956929918, 1.0355637073516846]
['BV', 73, 'UV', 82, 'geany', 'gprof', 'V0', 'V0', 0.12192460858654741, 24.289223670959473]
['CV', 222, 'BV', 17, 'df', 'codeblocks', 'V0', 'V2', 0.18492661642205477, 10.748709440231323]
