['CV', 17, 'BV', 5, 'mkfifo', 'libvlccore.so', 'V2', 'V0', 0.17172993462616049, 2.6069159507751465]
['UV', 72, 'BV', 82, 'find', 'gvmap', 'V0', 'V1', 0.026230686309737683, 0.3100473880767822]
['CV', 301, 'BV', 47, 'ls', 'dot', 'V1', 'V3', 0.20737913486005088, 0.039636850357055664]
['UV', 58, 'CV', 144, 'objcopy', 'who', 'V1', 'V3', 0.12882096069868998, 1.2186975479125977]
['BV', 39, 'CV', 109, 'svn', 'kill', 'V1', 'V3', 0.2103188821211035, 0.36092424392700195]
['UV', 65, 'CV', 327, 'objdump', 'link', 'V1', 'V1', 0.14013068512647986, 1.3469078540802002]
['CV', 342, 'UV', 17, 'sleep', 'addr2line', 'V1', 'V2', 0.15122702164266955, 0.8738317489624023]
['UV', 61, 'CV', 217, 'addr2line', 'chmod', 'V1', 'V0', 0.14009492002109336, 0.8755991458892822]
['CV', 306, 'UV', 79, 'cp', 'strings', 'V1', 'V0', 0.12856508218569518, 0.9252936840057373]
['CV', 226, 'BV', 52, 'logname', 'libSDL2-2.0.so', 'V0', 'V2', 0.19686319765002103, 3.8023157119750977]
['UV', 82, 'CV', 90, 'gprof', 'test', 'V0', 'V3', 0.13643292682926833, 0.8806374073028564]
['UV', 16, 'CV', 244, 'gprof', 'vdir', 'V2', 'V0', 0.12331663012840588, 1.1881661415100098]
['CV', 208, 'BV', 65, 'echo', 'ssh', 'V0', 'V1', 0.12001887937428357, 3.340988874435425]
['CV', 226, 'UV', 81, 'logname', 'ld', 'V0', 'V0', 0.13922135998947782, 1.2927212715148926]
['UV', 38, 'CV', 125, 'xargs', 'split', 'V3', 'V3', 0.06138531729572794, 0.08417797088623047]
['CV', 284, 'UV', 68, 'wc', 'diff', 'V1', 'V0', 0.11601981833195707, 0.06647419929504395]
['UV', 74, 'CV', 236, 'strip', 'unexpand', 'V0', 'V0', 0.1384176659842059, 1.0384576320648193]
['UV', 54, 'BV', 79, 'as', 'bash', 'V1', 'V3', 0.01992385786802031, 8.043654918670654]
['CV', 57, 'UV', 56, 'who', 'c++filt', 'V2', 'V1', 0.13964800566021052, 0.9086482524871826]
['BV', 78, 'UV', 76, 'make', 'as', 'V2', 'V0', 0.07775113764251107, 2.4865992069244385]
