['UO', 31, 'CO', 301, 'c++filt', 'nl', 'O2', 'O2', 0.1455980905168457, 0.8941106796264648]
['CO', 307, 'BO', 37, 'sort', 'gvmap', 'O2', 'O2', 0.05150304813958373, 0.2593972682952881]
['CO', 205, 'UO', 19, 'rmdir', 'cmp', 'O1', 'O1', 0.04286718200983841, 0.03924965858459473]
['BO', 53, 'CO', 388, 'bash', 'md5sum', 'O0', 'O0', 0.12205991582074771, 3.871798276901245]
['CO', 269, 'BO', 60, 'cksum', 'openssl', 'O2', 'O0', 0.2734013338564143, 9.1220223903656]
['UO', 81, 'CO', 185, 'diff3', 'cat', 'O0', 'O1', 0.09840425531914898, 0.0677793025970459]
['CO', 244, 'UO', 23, 'pinky', 'cmp', 'O2', 'O2', 0.04326241134751774, 0.037843942642211914]
['BO', 79, 'CO', 336, 'bash', 'tee', 'O3', 'O0', 0.11071932299012688, 2.6428191661834717]
['UO', 25, 'CO', 262, 'sdiff', 'true', 'O2', 'O2', 0.11412268188302421, 0.03815436363220215]
['CO', 172, 'UO', 81, 'yes', 'diff3', 'O1', 'O0', 0.11356119073869897, 0.06403851509094238]
['CO', 275, 'UO', 36, 'nohup', 'addr2line', 'O2', 'O2', 0.1468474206168684, 0.9797909259796143]
['CO', 109, 'BO', 38, 'basename', 'acyclic', 'O1', 'O2', 0.15821256038647347, 0.021398305892944336]
['BO', 16, 'CO', 221, 'make', 'printenv', 'O0', 'O2', 0.13785675821217014, 0.23104310035705566]
['CO', 88, 'UO', 70, 'shred', 'ranlib', 'O3', 'O0', 0.14321815085425482, 2.565701723098755]
['UO', 51, 'BO', 4, 'objcopy', 'libgeany.so.0.0.0', 'O3', 'O2', 0.1280499236682111, 44.234243631362915]
['UO', 78, 'CO', 238, 'elfedit', 'expand', 'O0', 'O2', 0.07117181883537027, 0.036954641342163086]
['UO', 12, 'CO', 131, 'gprof', 'wc', 'O1', 'O1', 0.13835824474462477, 1.2417521476745605]
['CO', 6, 'BO', 64, 'mkdir', 'dot', 'O3', 'O0', 0.17652329749103945, 0.0215299129486084]
['UO', 18, 'CO', 231, 'diff3', 'pr', 'O1', 'O2', 0.027629665535627734, 0.06669330596923828]
['UO', 30, 'CO', 258, 'ranlib', 'dircolors', 'O2', 'O2', 0.14397883417256974, 1.0528514385223389]
