['CV', 149, 'BV', 31, 'unexpand', 'codeblocks', 'V3', 'V0', 0.18609896306075857, 9.261159658432007]
['BV', 65, 'CV', 29, 'ssh', 'tail', 'V1', 'V2', 0.1136873350923483, 3.619933605194092]
['BV', 67, 'CV', 188, 'cluster', 'dirname', 'V0', 'V0', 0.15420393559928447, 0.08145761489868164]
['CV', 268, 'UV', 60, 'dir', 'gprof', 'V1', 'V1', 0.12042046684186114, 1.2151987552642822]
['CV', 113, 'UV', 43, 'date', 'sdiff', 'V3', 'V3', 0.033441709242916895, 0.05617189407348633]
['BV', 2, 'CV', 156, 'cmp', 'csplit', 'V1', 'V3', 0.040249433106575916, 0.04075503349304199]
['BV', 41, 'CV', 280, 'libvlccore.so', 'pr', 'V1', 'V1', 0.15936487706441504, 2.638773202896118]
['UV', 26, 'CV', 246, 'ranlib', 'id', 'V3', 'V0', 0.15041565639071697, 0.9261698722839355]
['UV', 33, 'CV', 304, 'ar', 'chmod', 'V3', 'V1', 0.13812154696132595, 1.0104939937591553]
['CV', 131, 'BV', 15, 'true', 'libvlccore.so', 'V3', 'V3', 0.16539732720218425, 3.2049410343170166]
['CV', 118, 'BV', 63, 'sha1sum', 'ruby', 'V3', 'V0', 0.11514076082622215, 9.077688455581665]
['UV', 59, 'CV', 81, 'ld', 'sleep', 'V1', 'V2', 0.13495276653171384, 1.4346449375152588]
['BV', 37, 'CV', 208, 'geany', 'echo', 'V1', 'V0', 0.18603051034048912, 18.158475160598755]
['CV', 178, 'BV', 42, 'basename', 'libvlc.so', 'V0', 'V1', 0.18976786116745548, 0.21854901313781738]
['CV', 333, 'BV', 18, 'id', 'sort', 'V1', 'V3', 0.14048629872636043, 0.07468199729919434]
['UV', 48, 'CV', 282, 'locate', 'chgrp', 'V1', 'V1', 0.08919123204837487, 0.07819843292236328]
['CV', 135, 'BV', 65, 'df', 'ssh', 'V3', 'V1', 0.1100568643379366, 4.068769216537476]
['BV', 55, 'UV', 77, 'codeblocks', 'ranlib', 'V3', 'V0', 0.1186025949458187, 18.054378032684326]
['CV', 179, 'BV', 7, 'mkdir', 'libSDL2-2.0.so', 'V0', 'V0', 0.21795138167463124, 2.952910900115967]
['BV', 81, 'CV', 266, 'dot', 'mkdir', 'V1', 'V1', 0.17310087173100874, 0.014560937881469727]
['CV', 125, 'UV', 2, 'split', 'find', 'V3', 'V2', 0.107661822985469, 0.19723892211914062]
['BV', 29, 'CV', 85, 'perl', 'mknod', 'V3', 'V2', 0.10420000711262845, 2.2920873165130615]
['UV', 13, 'CV', 291, 'strings', 'pinky', 'V2', 'V1', 0.1462844819840058, 0.8965604305267334]
['CV', 196, 'BV', 27, 'kill', 'libSDL2-2.0.so', 'V0', 'V1', 0.1962814517924738, 3.4618449211120605]
['CV', 38, 'UV', 16, 'split', 'gprof', 'V2', 'V2', 0.1333494092114782, 1.048022747039795]
['UV', 35, 'BV', 56, 'size', 'ssh', 'V3', 'V3', 0.027052794660946233, 4.248550653457642]
['UV', 30, 'BV', 34, 'ld', 'svn', 'V3', 'V0', 0.08827085852478844, 3.3120949268341064]
['BV', 7, 'UV', 11, 'libSDL2-2.0.so', 'ranlib', 'V0', 'V2', 0.06077106518282993, 7.2596142292022705]
['BV', 29, 'CV', 292, 'perl', 'sha1sum', 'V3', 'V1', 0.10405015495315784, 2.334853172302246]
['BV', 78, 'CV', 94, 'make', 'dir', 'V2', 'V3', 0.06165004533091567, 0.35782933235168457]
['BV', 69, 'CV', 181, 'gvmap', 'dir', 'V0', 'V0', 0.07260556127703399, 0.16608786582946777]
['UV', 8, 'CV', 228, 'strip', 'false', 'V2', 'V0', 0.1452894438138479, 1.0444114208221436]
['CV', 79, 'UV', 17, 'fold', 'addr2line', 'V2', 'V2', 0.14822453371592537, 0.8771975040435791]
['CV', 310, 'BV', 68, 'tsort', 'dot', 'V1', 'V0', 0.13595166163141992, 0.01076054573059082]
['CV', 270, 'UV', 74, 'users', 'strip', 'V1', 'V0', 0.13723202566720138, 1.0699164867401123]
['CV', 101, 'BV', 5, 'dirname', 'libvlccore.so', 'V3', 'V0', 0.16996717724288835, 2.6446337699890137]
['CV', 345, 'BV', 63, 'rmdir', 'ruby', 'V1', 'V0', 0.11737296645912831, 8.837047815322876]
['CV', 158, 'UV', 25, '[', 'as', 'V3', 'V3', 0.12850787132101305, 1.662999153137207]
['BV', 36, 'CV', 112, 'libvlc.so', 'expand', 'V2', 'V3', 0.1825455898771864, 0.3240478038787842]
['UV', 35, 'CV', 251, 'size', 'nl', 'V3', 'V0', 0.1341787336132294, 0.9550166130065918]
['CV', 131, 'UV', 75, 'true', 'readelf', 'V3', 'V0', 0.10094451003541915, 0.07918047904968262]
['CV', 235, 'BV', 43, 'ginstall', 'lua', 'V0', 'V0', 0.10916641946010086, 0.36275362968444824]
['CV', 129, 'UV', 37, 'dircolors', 'locate', 'V3', 'V3', 0.12310405643738975, 0.10557150840759277]
['CV', 32, 'UV', 66, 'paste', 'diff3', 'V2', 'V0', 0.0840108401084011, 0.029227256774902344]
