['BV', 16, 'CV', 167, 'libvlc.so', 'uniq', 'V3', 'V3', 0.17333572582092227, 0.3752131462097168]
['UV', 60, 'CV', 256, 'gprof', 'sort', 'V1', 'V0', 0.13139386189258317, 1.0545909404754639]
['UV', 44, 'CV', 197, 'diff3', 'wc', 'V1', 'V0', 0.0913528591352859, 0.031053781509399414]
['BV', 43, 'UV', 17, 'lua', 'addr2line', 'V0', 'V2', 0.05829513071490522, 2.0450751781463623]
['BV', 44, 'CV', 120, 'make', 'sync', 'V0', 'V3', 0.1233696814197135, 0.16800808906555176]
['UV', 18, 'CV', 35, 'ar', 'sum', 'V2', 'V2', 0.1437705055943468, 1.0270464420318604]
['CV', 251, 'UV', 8, 'nl', 'strip', 'V0', 'V2', 0.1282906407436316, 1.287651538848877]
['UV', 58, 'CV', 51, 'objcopy', 'printf', 'V1', 'V2', 0.13157894736842102, 1.2750825881958008]
['CV', 114, 'UV', 8, 'expr', 'strip', 'V3', 'V2', 0.13368206916594016, 1.2215399742126465]
['BV', 65, 'UV', 38, 'ssh', 'xargs', 'V1', 'V3', 0.10819104828441772, 4.34573221206665]
['BV', 4, 'CV', 215, 'geany', 'nice', 'V3', 'V0', 0.18300345585925226, 24.341015815734863]
['CV', 51, 'UV', 11, 'printf', 'ranlib', 'V2', 'V2', 0.14215522984676876, 1.0589208602905273]
['CV', 36, 'UV', 42, 'chroot', 'diff', 'V2', 'V3', 0.12708333333333333, 0.09152579307556152]
['BV', 7, 'CV', 48, 'libSDL2-2.0.so', 'df', 'V0', 'V2', 0.20353629353895242, 3.2049827575683594]
['BV', 66, 'CV', 234, 'lua', 'hostid', 'V1', 'V0', 0.14305926741078445, 0.28063297271728516]
['BV', 51, 'CV', 107, 'cp', 'tee', 'V0', 'V3', 0.06785137318255252, 0.04623675346374512]
['BV', 67, 'CV', 314, 'cluster', 'tty', 'V0', 'V1', 0.1533786199499464, 0.08623099327087402]
['BV', 66, 'CV', 153, 'lua', 'link', 'V1', 'V3', 0.13260672116257943, 0.30396318435668945]
['BV', 70, 'CV', 46, 'ssh', 'cut', 'V0', 'V2', 0.11571639687940338, 3.4516971111297607]
['CV', 269, 'UV', 23, 'du', 'strip', 'V1', 'V3', 0.12645095763203718, 1.3308844566345215]
['UV', 26, 'CV', 329, 'ranlib', 'cat', 'V3', 'V1', 0.1500260461885744, 0.9778652191162109]
['UV', 65, 'CV', 181, 'objdump', 'dir', 'V1', 'V0', 0.12083155520331645, 1.8024063110351562]
['UV', 33, 'BV', 60, 'ar', 'codeblocks', 'V3', 'V1', 0.11220002512878502, 18.980804443359375]
['UV', 54, 'CV', 66, 'as', 'link', 'V1', 'V2', 0.13196429613208094, 1.5947494506835938]
['UV', 10, 'BV', 13, 'as', 'cp', 'V2', 'V2', 0.11337193571080684, 2.091294527053833]
['BV', 3, 'CV', 175, 'diff', 'stat', 'V1', 'V0', 0.11636513157894735, 0.07259535789489746]
['UV', 26, 'CV', 132, 'ranlib', 'cp', 'V3', 'V3', 0.11205652206943706, 1.382490634918213]
['BV', 75, 'CV', 344, 'cmp', 'tac', 'V2', 'V1', 0.0453857791225416, 0.04799795150756836]
['CV', 4, 'UV', 71, 'basename', 'xargs', 'V2', 'V0', 0.06460418562329395, 0.021190643310546875]
['CV', 242, 'BV', 13, 'cat', 'cp', 'V0', 'V2', 0.13430725730442972, 0.05736970901489258]
['CV', 262, 'BV', 21, 'stat', 'cp', 'V1', 'V1', 0.09608323133414931, 0.042668819427490234]
['CV', 27, 'UV', 69, 'expr', 'sdiff', 'V2', 'V0', 0.028416213957375702, 0.059427499771118164]
['CV', 230, 'BV', 75, 'yes', 'cmp', 'V0', 'V2', 0.1186594202898551, 0.021755456924438477]
['CV', 232, 'BV', 34, 'readlink', 'svn', 'V0', 'V0', 0.22260000000000002, 0.3154597282409668]
['CV', 117, 'UV', 80, 'pinky', 'objcopy', 'V3', 'V0', 0.12957566280474797, 1.2581963539123535]
['CV', 229, 'BV', 27, 'nohup', 'libSDL2-2.0.so', 'V0', 'V1', 0.19587112570252074, 3.706256151199341]
['CV', 50, 'UV', 38, 'cksum', 'xargs', 'V2', 'V3', 0.14977728285077951, 0.056229591369628906]
['BV', 73, 'CV', 73, 'geany', 'shred', 'V0', 'V2', 0.18195394868822867, 15.693530559539795]
['CV', 254, 'UV', 65, 'uniq', 'objdump', 'V0', 'V1', 0.13632292732855678, 1.5025701522827148]
['UV', 73, 'BV', 12, 'nm', 'sort', 'V0', 'V2', 0.11875313387932473, 1.1017498970031738]
['CV', 237, 'UV', 27, 'mv', 'c++filt', 'V0', 'V3', 0.12842849749870622, 1.1043851375579834]
['BV', 18, 'CV', 307, 'sort', 'cut', 'V3', 'V1', 0.133535660091047, 0.08112239837646484]
['CV', 186, 'BV', 63, 'stty', 'ruby', 'V0', 'V0', 0.11628139697788453, 9.780722379684448]
['UV', 85, 'CV', 0, 'elfedit', 'touch', 'V0', 'V2', 0.04775481111903068, 0.0334162712097168]
['CV', 338, 'UV', 78, 'nl', 'c++filt', 'V1', 'V0', 0.13048509123275476, 0.9277925491333008]
['UV', 73, 'CV', 23, 'nm', 'wc', 'V0', 'V2', 0.14081447963800908, 0.8924074172973633]
