['CO', 92, 'UO', 67, 'sha512sum', 'strip', 'O3', 'O0', 0.14437757994728206, 2.83066987991333]
['BO', 54, 'CO', 345, 'lua', 'chown', 'O3', 'O0', 0.08414872798434447, 0.4918239116668701]
['BO', 17, 'UO', 25, 'codeblocks', 'sdiff', 'O2', 'O2', 0.184919673018902, 11.483136892318726]
['UO', 62, 'CO', 391, 'diff3', 'link', 'O3', 'O0', 0.052472858866103755, 0.04729866981506348]
['CO', 204, 'UO', 58, 'tac', 'objdump', 'O1', 'O3', 0.12275034610059987, 1.6986210346221924]
['CO', 120, 'UO', 75, 'dirname', 'gprof', 'O1', 'O0', 0.15081521739130432, 2.369866371154785]
['UO', 59, 'CO', 323, 'locate', 'groups', 'O3', 'O0', 0.10985915492957743, 0.1267104148864746]
['UO', 50, 'CO', 44, 'strings', 'seq', 'O3', 'O3', 0.1349788952101303, 0.8253247737884521]
['CO', 107, 'UO', 70, 'unlink', 'ranlib', 'O1', 'O0', 0.153387133439418, 2.401357412338257]
['BO', 4, 'CO', 173, 'libgeany.so.0.0.0', 'who', 'O2', 'O1', 0.17666571437640854, 28.588205099105835]
['BO', 0, 'CO', 171, 'codeblocks', 'nohup', 'O1', 'O1', 0.18566138118088882, 10.764483451843262]
['CO', 84, 'BO', 80, 'vdir', 'ssh', 'O3', 'O3', 0.11272347341537037, 1.8557543754577637]
['CO', 12, 'BO', 82, 'ptx', 'cp', 'O3', 'O3', 0.07399380804953559, 0.11269521713256836]
['BO', 45, 'CO', 278, 'diff', 'b2sum', 'O2', 'O2', 0.11246612466124661, 0.11224222183227539]
['CO', 43, 'UO', 19, 'chroot', 'cmp', 'O3', 'O1', 0.04669260700389111, 0.038938283920288086]
['CO', 71, 'BO', 15, 'readlink', 'diff', 'O3', 'O0', 0.14503159103963237, 0.16251754760742188]
['CO', 348, 'UO', 7, 'pinky', 'ranlib', 'O0', 'O1', 0.13954983922829578, 1.2986516952514648]
['UO', 38, 'CO', 248, 'elfedit', 'sync', 'O2', 'O2', 0.07189014539579963, 0.0293123722076416]
['UO', 21, 'CO', 292, 'sdiff', 'vdir', 'O1', 'O2', 0.09109380291229263, 0.12339162826538086]
['BO', 23, 'CO', 288, 'git', 'uname', 'O2', 'O2', 0.09378870996283839, 6.477998971939087]
['BO', 32, 'CO', 362, 'ruby', 'dircolors', 'O2', 'O0', 0.12420587735688804, 15.52710771560669]
['UO', 1, 'CO', 391, 'xargs', 'link', 'O1', 'O0', 0.10647915620291315, 0.08082723617553711]
['UO', 56, 'CO', 24, 'elfedit', 'tee', 'O3', 'O3', 0.045112781954887216, 0.032964229583740234]
['CO', 40, 'BO', 64, 'sync', 'dot', 'O3', 'O0', 0.15222482435597184, 0.01442575454711914]
['BO', 5, 'CO', 86, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O3', 0.17372376427969938, 29.088757276535034]
['CO', 152, 'UO', 29, 'ls', 'as', 'O1', 'O2', 0.10574419469684893, 2.3436946868896484]
['CO', 182, 'BO', 75, 'chcon', 'gvmap', 'O1', 'O1', 0.08526011560693636, 0.18710017204284668]
['BO', 39, 'CO', 415, 'codeblocks', 'ln', 'O3', 'O0', 0.17572781480182398, 12.320101261138916]
