['CV', 318, 'UV', 76, 'who', 'as', 'V1', 'V0', 0.13035584604212058, 1.5590176582336426]
['CV', 122, 'UV', 76, 'sum', 'as', 'V3', 'V0', 0.1274052826580614, 1.5873076915740967]
['CV', 122, 'BV', 73, 'sum', 'geany', 'V3', 'V0', 0.18355661917648902, 15.258393049240112]
['BV', 57, 'CV', 3, 'svn', 'test', 'V2', 'V2', 0.21507720254314266, 0.37094712257385254]
['UV', 66, 'CV', 97, 'diff3', 'ptx', 'V0', 'V3', 0.029439252336448618, 0.05482077598571777]
['UV', 49, 'CV', 246, 'xargs', 'id', 'V1', 'V0', 0.0714285714285714, 0.02465677261352539]
['UV', 25, 'CV', 236, 'as', 'unexpand', 'V3', 'V0', 0.1349113805970149, 1.6049916744232178]
['UV', 59, 'CV', 317, 'ld', 'yes', 'V1', 'V1', 0.13784336826440136, 1.4478590488433838]
['BV', 59, 'CV', 97, 'make', 'ptx', 'V1', 'V3', 0.1018834080717489, 0.24636459350585938]
['CV', 3, 'BV', 29, 'test', 'perl', 'V2', 'V3', 0.10365269248517983, 2.4645395278930664]
['CV', 11, 'BV', 48, 'printenv', 'gvmap', 'V2', 'V3', 0.14434214434214432, 0.11026573181152344]
['CV', 84, 'UV', 56, 'rmdir', 'c++filt', 'V2', 'V1', 0.14352224908228128, 0.9041032791137695]
['CV', 205, 'UV', 81, 'sha1sum', 'ld', 'V0', 'V0', 0.13546958447310153, 1.4055023193359375]
['BV', 78, 'CV', 172, 'make', 'mknod', 'V2', 'V3', 0.1281455671699574, 0.2030336856842041]
['CV', 237, 'UV', 69, 'mv', 'sdiff', 'V0', 'V0', 0.06136560069144337, 0.07003474235534668]
['CV', 88, 'BV', 29, 'stat', 'perl', 'V3', 'V3', 0.09661433967494892, 2.8715741634368896]
['BV', 39, 'CV', 197, 'svn', 'wc', 'V1', 'V0', 0.22375536080551928, 0.35524845123291016]
['CV', 175, 'UV', 32, 'stat', 'addr2line', 'V0', 'V3', 0.14880029194416566, 0.9311809539794922]
['BV', 66, 'CV', 288, 'lua', 'expr', 'V1', 'V1', 0.1114018176810796, 0.35415196418762207]
['CV', 321, 'UV', 61, 'hostid', 'addr2line', 'V1', 'V1', 0.15047446904654316, 0.867070198059082]
['CV', 240, 'UV', 82, 'link', 'gprof', 'V0', 'V0', 0.1468604956651196, 0.8641636371612549]
['CV', 35, 'UV', 54, 'sum', 'as', 'V2', 'V1', 0.12858630263766768, 1.6365721225738525]
['CV', 90, 'BV', 68, 'test', 'dot', 'V3', 'V0', 0.15082644628099173, 0.016538619995117188]
['UV', 38, 'BV', 19, 'xargs', 'cp', 'V3', 'V3', 0.04261615862681267, 0.15389633178710938]
['UV', 1, 'CV', 245, 'xargs', '[', 'V2', 'V0', 0.11243611584327085, 0.04201841354370117]
['CV', 90, 'UV', 58, 'test', 'objcopy', 'V3', 'V1', 0.13139990378668132, 1.2766048908233643]
['BV', 46, 'CV', 175, 'cluster', 'stat', 'V3', 'V0', 0.13725490196078427, 0.11746335029602051]
['BV', 58, 'CV', 333, 'ruby', 'id', 'V3', 'V1', 0.25226860254083483, 0.007504701614379883]
['BV', 30, 'CV', 259, 'bash', 'mknod', 'V0', 'V0', 0.1316761505440751, 1.9714746475219727]
['BV', 16, 'CV', 263, 'libvlc.so', 'unlink', 'V3', 'V1', 0.2032923443078144, 0.3008232116699219]
['BV', 14, 'CV', 267, 'openssl', 'fmt', 'V3', 'V1', 0.291749659293427, 5.465081453323364]
['BV', 7, 'CV', 100, 'libSDL2-2.0.so', 'join', 'V0', 'V3', 0.2079860177467061, 3.1264243125915527]
['UV', 56, 'BV', 35, 'c++filt', 'libvlccore.so', 'V1', 'V2', 0.06191186968654683, 7.876745223999023]
['CV', 310, 'UV', 56, 'tsort', 'c++filt', 'V1', 'V1', 0.14785532533624135, 0.8700799942016602]
['UV', 65, 'CV', 204, 'objdump', 'pinky', 'V1', 'V0', 0.1358001022494888, 1.4932448863983154]
['CV', 286, 'UV', 86, 'expand', 'size', 'V1', 'V0', 0.12795515476480623, 0.8185503482818604]
['BV', 25, 'CV', 289, 'git', 'chown', 'V3', 'V1', 0.0862985748291959, 9.203801155090332]
['UV', 64, 'CV', 218, 'size', 'true', 'V1', 'V0', 0.1513205499276411, 0.8512842655181885]
['UV', 11, 'CV', 306, 'ranlib', 'cp', 'V2', 'V1', 0.1308735669304053, 1.1433980464935303]
['CV', 160, 'BV', 47, 'shred', 'dot', 'V3', 'V3', 0.1889934829833454, 0.029961824417114258]
['UV', 64, 'CV', 64, 'size', 'md5sum', 'V1', 'V2', 0.1429076134958488, 0.9084358215332031]
['BV', 57, 'CV', 9, 'svn', 'users', 'V2', 'V2', 0.2167640613586559, 0.3644871711730957]
['CV', 275, 'UV', 55, 'dirname', 'ranlib', 'V1', 'V1', 0.14873498594428824, 0.9646890163421631]
