['CV', 274, 'BV', 52, 'join', 'libSDL2-2.0.so', 'V1', 'V2', 0.1916313230578256, 3.9015653133392334]
['UV', 77, 'CV', 277, 'ranlib', 'dd', 'V0', 'V1', 0.13707111531516036, 0.919072151184082]
['CV', 292, 'BV', 13, 'sha1sum', 'cp', 'V1', 'V2', 0.12312585188550662, 0.05993342399597168]
['CV', 334, 'UV', 36, 'shred', 'objdump', 'V1', 'V3', 0.13027744270205066, 1.8045592308044434]
['UV', 53, 'CV', 255, 'readelf', 'sleep', 'V1', 'V0', 0.11127508854781576, 0.07591032981872559]
['BV', 65, 'CV', 98, 'ssh', 'printenv', 'V1', 'V3', 0.11799163179916317, 3.3812386989593506]
['BV', 56, 'CV', 230, 'ssh', 'yes', 'V3', 'V0', 0.15199042998604373, 1.1593701839447021]
['CV', 70, 'UV', 81, 'vdir', 'ld', 'V2', 'V0', 0.11441758775658939, 1.6898634433746338]
['CV', 247, 'BV', 79, 'shred', 'bash', 'V0', 'V3', 0.12337939269873766, 2.525087356567383]
['BV', 46, 'CV', 283, 'cluster', 'kill', 'V3', 'V1', 0.14546025761859882, 0.10245585441589355]
['BV', 32, 'CV', 330, 'perl', 'csplit', 'V0', 'V1', 0.10090629551707397, 2.058391571044922]
['UV', 72, 'CV', 98, 'find', 'printenv', 'V0', 'V3', 0.14606041731547803, 0.11328315734863281]
['CV', 345, 'BV', 46, 'rmdir', 'cluster', 'V1', 'V3', 0.15337816202369514, 0.09803295135498047]
['BV', 49, 'CV', 174, 'make', 'touch', 'V3', 'V0', 0.12808065720687078, 0.21601247787475586]
['BV', 67, 'CV', 253, 'cluster', 'fold', 'V0', 'V0', 0.14717246224095537, 0.08472275733947754]
['UV', 2, 'BV', 43, 'find', 'lua', 'V2', 'V0', 0.04490751058613773, 0.6298308372497559]
['BV', 79, 'CV', 60, 'bash', 'hostid', 'V3', 'V2', 0.1285541961054627, 2.334696054458618]
['UV', 13, 'CV', 204, 'strings', 'pinky', 'V2', 'V0', 0.14678899082568808, 0.8690528869628906]
['CV', 158, 'UV', 62, '[', 'ar', 'V3', 'V1', 0.1385160174586182, 0.9822168350219727]
['CV', 46, 'UV', 85, 'cut', 'elfedit', 'V2', 'V0', 0.03879941434846268, 0.029531478881835938]
['CV', 305, 'BV', 47, 'true', 'dot', 'V1', 'V3', 0.11490125673249552, 0.008654594421386719]
['CV', 40, 'UV', 39, 'ls', 'find', 'V2', 'V3', 0.09776621787025708, 0.42783617973327637]
['CV', 264, 'UV', 81, 'test', 'ld', 'V1', 'V0', 0.13675827403877538, 1.3027973175048828]
['CV', 249, 'UV', 14, 'tr', 'objcopy', 'V0', 'V2', 0.13964901844140387, 1.091494083404541]
['CV', 266, 'UV', 87, 'mkdir', 'objdump', 'V1', 'V0', 0.1346255274261603, 1.319202184677124]
['CV', 317, 'BV', 59, 'yes', 'make', 'V1', 'V1', 0.146694648478489, 0.16695261001586914]
['CV', 100, 'BV', 78, 'join', 'make', 'V3', 'V2', 0.11365300146412882, 0.22119951248168945]
['CV', 302, 'UV', 5, 'nice', 'diff', 'V1', 'V2', 0.1491628614916286, 0.07247400283813477]
