['BV', 64, 'CV', 14, 'openssl', 'dirname', 'V2', 'V2', 0.2888977772698703, 4.618014097213745]
['CV', 128, 'UV', 68, 'nice', 'diff', 'V3', 'V0', 0.11243543901469999, 0.07169270515441895]
['CV', 322, 'BV', 58, 'ginstall', 'ruby', 'V1', 'V3', 0.25257731958762886, 0.027620315551757812]
['CV', 244, 'UV', 17, 'vdir', 'addr2line', 'V0', 'V2', 0.1256917658896528, 1.1999270915985107]
['UV', 63, 'CV', 82, 'elfedit', 'sort', 'V1', 'V2', 0.1030383091149274, 0.06644272804260254]
['UV', 81, 'CV', 45, 'ld', 'cp', 'V0', 'V2', 0.11425639787542252, 1.7522623538970947]
['BV', 50, 'UV', 48, 'sort', 'locate', 'V0', 'V1', 0.07858687815428977, 0.08901476860046387]
['CV', 17, 'BV', 34, 'mkfifo', 'svn', 'V2', 'V0', 0.2177165354330709, 0.31639862060546875]
['BV', 27, 'CV', 113, 'libSDL2-2.0.so', 'date', 'V1', 'V3', 0.18338062858060722, 3.9509923458099365]
['CV', 4, 'BV', 36, 'basename', 'libvlc.so', 'V2', 'V2', 0.19554263565891472, 0.3244307041168213]
['CV', 113, 'BV', 27, 'date', 'libSDL2-2.0.so', 'V3', 'V1', 0.18338062858060722, 4.004592657089233]
['UV', 22, 'CV', 246, 'nm', 'id', 'V3', 'V0', 0.1515916674181621, 0.936821460723877]
['CV', 320, 'UV', 87, 'head', 'objdump', 'V1', 'V0', 0.13576005813569403, 1.3847622871398926]
['UV', 22, 'BV', 62, 'nm', 'diff', 'V3', 'V0', 0.12903225806451613, 1.1407344341278076]
['BV', 18, 'CV', 8, 'sort', 'du', 'V3', 'V2', 0.04692470837751861, 0.1543881893157959]
['CV', 213, 'UV', 42, 'whoami', 'diff', 'V0', 'V3', 0.15458015267175573, 0.07524752616882324]
['CV', 312, 'UV', 76, 'printf', 'as', 'V1', 'V0', 0.1317707068253583, 1.5133979320526123]
['BV', 13, 'CV', 219, 'cp', 'cp', 'V2', 'V0', 0.04605030109812258, 0.09741067886352539]
['CV', 121, 'UV', 16, 'echo', 'gprof', 'V3', 'V2', 0.14314214463840402, 1.0158436298370361]
['CV', 243, 'BV', 10, 'csplit', 'gvmap', 'V0', 'V2', 0.08514074757729584, 0.174238920211792]
['CV', 179, 'UV', 34, 'mkdir', 'elfedit', 'V0', 'V3', 0.07003891050583655, 0.029635190963745117]
['CV', 339, 'UV', 3, 'rm', 'diff3', 'V1', 'V2', 0.05047672462142461, 0.045880794525146484]
['CV', 104, 'BV', 3, 'mkfifo', 'diff', 'V3', 'V1', 0.11225296442687749, 0.07051253318786621]
['BV', 14, 'CV', 159, 'openssl', 'id', 'V3', 'V3', 0.2847050330033003, 5.711660861968994]
['UV', 51, 'CV', 77, 'nm', 'nl', 'V1', 'V2', 0.12868610747051112, 1.0511105060577393]
['UV', 50, 'CV', 61, 'find', 'ginstall', 'V1', 'V2', 0.07265290222049081, 0.27911949157714844]
['BV', 53, 'UV', 16, 'ssh', 'gprof', 'V2', 'V2', 0.0470289164283445, 8.964865446090698]
['CV', 50, 'BV', 17, 'cksum', 'codeblocks', 'V2', 'V2', 0.18723223076718376, 10.447331666946411]
['CV', 171, 'UV', 52, 'rmdir', 'strip', 'V3', 'V1', 0.13176211150161943, 1.317131519317627]
['CV', 111, 'UV', 3, 'factor', 'diff3', 'V3', 'V2', 0.019890601690701115, 0.04992866516113281]
['CV', 126, 'BV', 77, 'whoami', 'perl', 'V3', 'V2', 0.09103600532450251, 2.3696320056915283]
['CV', 346, 'UV', 54, 'mknod', 'as', 'V1', 'V1', 0.13222124670763824, 1.6653509140014648]
['UV', 3, 'CV', 1, 'diff3', 'stat', 'V2', 'V2', 0.07307932542161155, 0.039278507232666016]
['CV', 69, 'UV', 0, 'csplit', 'locate', 'V2', 'V2', 0.03140265177948365, 0.09890246391296387]
['BV', 45, 'CV', 306, 'svn', 'cp', 'V3', 'V1', 0.19418741040010423, 0.7375400066375732]
['CV', 162, 'UV', 49, 'tr', 'xargs', 'V3', 'V1', 0.024777636594663255, 0.03519105911254883]
['BV', 19, 'CV', 12, 'cp', 'stty', 'V3', 'V2', 0.1062166962699822, 0.0944819450378418]
['CV', 83, 'BV', 69, 'tac', 'gvmap', 'V2', 'V0', 0.08280092001022232, 0.15260577201843262]
['UV', 13, 'BV', 60, 'strings', 'codeblocks', 'V2', 'V1', 0.11500338868180282, 18.563359260559082]
['UV', 20, 'CV', 236, 'size', 'unexpand', 'V2', 'V0', 0.1516056083220263, 0.9169387817382812]
['UV', 2, 'CV', 140, 'find', 'tty', 'V2', 'V3', 0.14409937888198754, 0.15888404846191406]
['UV', 20, 'CV', 252, 'size', 'rm', 'V2', 'V0', 0.14095371669004209, 0.9707458019256592]
['UV', 41, 'CV', 115, 'cmp', 'chown', 'V3', 'V3', 0.05778894472361806, 0.052488088607788086]
['CV', 141, 'UV', 62, 'false', 'ar', 'V3', 'V1', 0.14444164355936473, 1.0101890563964844]
['CV', 13, 'UV', 67, 'join', 'cmp', 'V2', 'V0', 0.03639973527465257, 0.03357100486755371]
['UV', 20, 'CV', 81, 'size', 'sleep', 'V2', 'V2', 0.14860875011183683, 0.9225749969482422]
['CV', 307, 'UV', 12, 'cut', 'c++filt', 'V1', 'V2', 0.14854280510018214, 0.9143383502960205]
['CV', 22, 'UV', 62, 'kill', 'ar', 'V2', 'V1', 0.14451450189155102, 1.0205409526824951]
['CV', 297, 'BV', 37, 'chroot', 'geany', 'V1', 'V1', 0.18579932808110178, 19.890185356140137]
['UV', 27, 'CV', 296, 'c++filt', 'sum', 'V3', 'V1', 0.14866617265653947, 0.9048120975494385]
['CV', 2, 'BV', 19, 'unlink', 'cp', 'V2', 'V3', 0.13908589440504338, 0.08121514320373535]
['CV', 265, 'BV', 34, 'basename', 'svn', 'V1', 'V0', 0.22454728370221333, 0.31232643127441406]
['CV', 298, 'BV', 29, 'seq', 'perl', 'V1', 'V3', 0.10483669462787792, 2.452582597732544]
