['UV', 30, 'BV', 49, 'ld', 'make', 'V3', 'V3', 0.08458475267475896, 3.174694061279297]
['CV', 4, 'BV', 23, 'basename', 'diff', 'V2', 'V3', 0.14093226511289147, 0.08335661888122559]
['BV', 49, 'CV', 309, 'make', 'df', 'V3', 'V1', 0.12349287541103393, 0.25481700897216797]
['UV', 34, 'CV', 266, 'elfedit', 'mkdir', 'V3', 'V1', 0.06278366111951583, 0.03139209747314453]
['CV', 134, 'UV', 14, 'od', 'objcopy', 'V3', 'V2', 0.12895150908310682, 1.2779057025909424]
['CV', 248, 'BV', 28, 'pathchk', 'openssl', 'V0', 'V1', 0.10444761989818696, 6.388074159622192]
['CV', 50, 'BV', 80, 'cksum', 'cluster', 'V2', 'V1', 0.14525139664804465, 0.10778021812438965]
['CV', 250, 'BV', 9, 'comm', 'dot', 'V0', 'V2', 0.14264705882352935, 0.011806249618530273]
['CV', 149, 'BV', 22, 'unexpand', 'cmp', 'V3', 'V3', 0.04839809134287665, 0.03365588188171387]
['UV', 87, 'BV', 74, 'objdump', 'git', 'V0', 'V1', 0.03608746982432032, 12.042181015014648]
['CV', 289, 'UV', 53, 'chown', 'readelf', 'V1', 'V1', 0.07945635128071094, 0.11289453506469727]
['CV', 323, 'BV', 47, 'unexpand', 'dot', 'V1', 'V3', 0.13931888544891646, 0.011243581771850586]
['UV', 63, 'CV', 12, 'elfedit', 'stty', 'V1', 'V2', 0.039381153305203975, 0.03165698051452637]
['UV', 77, 'CV', 47, 'ranlib', 'od', 'V0', 'V2', 0.13612297181895816, 0.974123477935791]
['UV', 22, 'CV', 129, 'nm', 'dircolors', 'V3', 'V3', 0.14337201125175802, 0.9773557186126709]
['UV', 14, 'CV', 187, 'objcopy', 'join', 'V2', 'V0', 0.13788507109004744, 1.1722586154937744]
['UV', 78, 'CV', 85, 'c++filt', 'mknod', 'V0', 'V2', 0.1459791863765374, 0.7902007102966309]
['CV', 298, 'BV', 3, 'seq', 'diff', 'V1', 'V1', 0.13216424294268603, 0.06397128105163574]
['CV', 311, 'BV', 32, 'cksum', 'perl', 'V1', 'V0', 0.1117212249208025, 1.981945276260376]
['UV', 22, 'CV', 146, 'nm', 'head', 'V3', 'V3', 0.14247030048916842, 0.9656617641448975]
['BV', 50, 'UV', 47, 'sort', 'sdiff', 'V0', 'V1', 0.0347150259067357, 0.05200934410095215]
['BV', 45, 'CV', 343, 'svn', 'sort', 'V3', 'V1', 0.1950646298472385, 0.7053360939025879]
['BV', 8, 'CV', 292, 'cluster', 'sha1sum', 'V2', 'V1', 0.1412639405204461, 0.11446595191955566]
['CV', 298, 'BV', 48, 'seq', 'gvmap', 'V1', 'V3', 0.14439461883408078, 0.11460566520690918]
['BV', 70, 'CV', 155, 'ssh', 'cat', 'V0', 'V3', 0.11585784987627168, 3.352726697921753]
['CV', 174, 'BV', 63, 'touch', 'ruby', 'V0', 'V0', 0.11562762426520579, 9.736842632293701]
['BV', 69, 'UV', 26, 'gvmap', 'ranlib', 'V0', 'V3', 0.10290353250932494, 1.5333302021026611]
['CV', 284, 'UV', 56, 'wc', 'c++filt', 'V1', 'V1', 0.14495893131149018, 0.9129846096038818]
['CV', 14, 'BV', 17, 'dirname', 'codeblocks', 'V2', 'V2', 0.18721230343506368, 10.438070058822632]
['CV', 118, 'BV', 48, 'sha1sum', 'gvmap', 'V3', 'V3', 0.11981441048034935, 0.13550281524658203]
['UV', 21, 'CV', 308, 'objdump', 'od', 'V2', 'V1', 0.1370384969123637, 1.4644310474395752]
['BV', 10, 'UV', 46, 'gvmap', 'diff', 'V2', 'V1', 0.03821196827685647, 0.27336692810058594]
['BV', 50, 'UV', 80, 'sort', 'objcopy', 'V0', 'V0', 0.12652428279410732, 1.2904400825500488]
['BV', 56, 'CV', 279, 'ssh', 'pwd', 'V3', 'V1', 0.1486709319965701, 1.2947440147399902]
['BV', 66, 'CV', 67, 'lua', 'uname', 'V1', 'V2', 0.13757510399014017, 0.29084205627441406]
['CV', 330, 'UV', 71, 'csplit', 'xargs', 'V1', 'V0', 0.07086614173228345, 0.049216270446777344]
['CV', 239, 'BV', 74, 'env', 'git', 'V0', 'V1', 0.09510255927738054, 4.567770481109619]
['CV', 41, 'UV', 18, 'nice', 'ar', 'V2', 'V2', 0.14801290760869568, 1.011120319366455]
['BV', 21, 'CV', 143, 'cp', 'yes', 'V1', 'V3', 0.0929281122150789, 0.04117298126220703]
['CV', 274, 'BV', 35, 'join', 'libvlccore.so', 'V1', 'V2', 0.16427134233975282, 3.424022912979126]
['BV', 20, 'UV', 70, 'sort', 'locate', 'V1', 'V0', 0.054728220402084915, 0.09246706962585449]
['CV', 34, 'UV', 82, 'echo', 'gprof', 'V2', 'V0', 0.1441097317475475, 0.8932061195373535]
