['BO', 43, 'UO', 69, 'diff', 'as', 'O1', 'O0', 0.11983702762307036, 4.6501758098602295]
['UO', 11, 'CO', 116, 'ld', 'ptx', 'O1', 'O1', 0.13644870413429366, 2.19889760017395]
['CO', 309, 'BO', 83, 'rmdir', 'lua', 'O2', 'O2', 0.13076614520657848, 0.3725454807281494]
['BO', 51, 'CO', 144, 'lua', 'sync', 'O1', 'O1', 0.13026382546930493, 0.4069366455078125]
['UO', 84, 'CO', 374, 'sdiff', 'printf', 'O0', 'O0', 0.06024691358024692, 0.07327723503112793]
['CO', 237, 'BO', 72, 'nproc', 'make', 'O2', 'O2', 0.13419257012888552, 0.21413922309875488]
['UO', 42, 'CO', 229, 'xargs', 'mktemp', 'O2', 'O2', 0.09296606000983765, 0.07547163963317871]
['BO', 37, 'CO', 122, 'gvmap', 'uptime', 'O2', 'O1', 0.10917030567685593, 0.14520597457885742]
['BO', 38, 'CO', 127, 'acyclic', 'pr', 'O2', 'O1', 0.19081779053084647, 0.03353238105773926]
['CO', 270, 'UO', 6, 'printf', 'as', 'O2', 'O1', 0.13229356783363755, 1.856978178024292]
['CO', 356, 'UO', 80, 'seq', 'objdump', 'O0', 'O0', 0.13855184368105888, 4.007681369781494]
['BO', 22, 'CO', 351, 'perl', 'paste', 'O0', 'O0', 0.10984919009495442, 3.704519033432007]
['CO', 406, 'UO', 28, 'rm', 'readelf', 'O0', 'O2', 0.06968737088555299, 0.39571714401245117]
['CO', 16, 'BO', 29, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O2', 0.225382932166302, 0.3833191394805908]
['CO', 310, 'UO', 29, 'mknod', 'as', 'O2', 'O2', 0.1315576143601621, 1.635854721069336]
['CO', 338, 'BO', 55, 'kill', 'make', 'O0', 'O1', 0.12027945619335345, 0.2431626319885254]
['BO', 63, 'CO', 201, 'cluster', 'uniq', 'O0', 'O1', 0.11675852214737703, 0.21425294876098633]
['CO', 234, 'BO', 71, 'kill', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.20207671116762027, 6.409149408340454]
['CO', 340, 'BO', 1, 'factor', 'ssh', 'O0', 'O2', 0.12967986977753665, 1.7642254829406738]
['BO', 52, 'CO', 386, 'svn', 'unexpand', 'O3', 'O0', 0.19711985134716636, 0.48027992248535156]
['CO', 121, 'BO', 54, 'stdbuf', 'lua', 'O1', 'O3', 0.11051645705111057, 0.3392457962036133]
['CO', 394, 'UO', 35, 'shuf', 'gprof', 'O0', 'O2', 0.11848266010634079, 1.2612724304199219]
['UO', 80, 'CO', 332, 'objdump', 'mkfifo', 'O0', 'O0', 0.12830015664998284, 4.5081610679626465]
['CO', 392, 'BO', 55, 'uname', 'make', 'O0', 'O1', 0.12784419591207097, 0.23486638069152832]
['CO', 3, 'UO', 12, 'unlink', 'gprof', 'O3', 'O1', 0.14840759143113136, 1.0704758167266846]
['CO', 170, 'BO', 73, 'runcon', 'cluster', 'O1', 'O1', 0.13648854961832058, 0.11532187461853027]
['BO', 34, 'CO', 59, 'cp', 'tsort', 'O2', 'O3', 0.11610486891385774, 0.08544397354125977]
['CO', 29, 'UO', 72, 'nproc', 'strings', 'O3', 'O0', 0.15333570328237944, 2.0625979900360107]
['UO', 4, 'BO', 48, 'strip', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.09316290640816671, 21.166623830795288]
