['UV', 73, 'CV', 158, 'nm', '[', 'V0', 'V3', 0.13939937247870904, 0.8979606628417969]
['CV', 61, 'BV', 20, 'ginstall', 'sort', 'V2', 'V1', 0.07013738250180768, 0.10147428512573242]
['CV', 277, 'UV', 84, 'dd', 'ar', 'V1', 'V0', 0.13707111531516036, 0.9850342273712158]
['CV', 143, 'BV', 48, 'yes', 'gvmap', 'V3', 'V3', 0.13356164383561642, 0.11879253387451172]
['UV', 84, 'CV', 184, 'ar', 'ptx', 'V0', 'V0', 0.12885662431941924, 1.0012290477752686]
['UV', 39, 'CV', 137, 'find', 'cksum', 'V3', 'V3', 0.15352771778257734, 0.28954219818115234]
['CV', 168, 'BV', 5, 'sleep', 'libvlccore.so', 'V3', 'V0', 0.1693416311824435, 2.7900686264038086]
['CV', 55, 'UV', 39, 'nohup', 'find', 'V2', 'V3', 0.15722353798506106, 0.31080174446105957]
['BV', 44, 'CV', 254, 'make', 'uniq', 'V0', 'V0', 0.12884238064094178, 0.16945576667785645]
['UV', 26, 'BV', 28, 'ranlib', 'openssl', 'V3', 'V1', 0.054122225425194626, 13.091071367263794]
['CV', 186, 'UV', 56, 'stty', 'c++filt', 'V0', 'V1', 0.14411579609817493, 0.9015393257141113]
['UV', 36, 'BV', 82, 'objdump', 'gvmap', 'V3', 'V1', 0.10206174992306905, 2.4649994373321533]
['CV', 77, 'UV', 68, 'nl', 'diff', 'V2', 'V0', 0.05829457364341084, 0.09931731224060059]
['CV', 190, 'UV', 59, 'dd', 'ld', 'V0', 'V1', 0.12949422925856546, 1.6551027297973633]
['CV', 50, 'BV', 72, 'cksum', 'perl', 'V2', 'V1', 0.09302092720536703, 2.198399782180786]
['BV', 72, 'CV', 245, 'perl', '[', 'V1', 'V0', 0.09270197216938636, 2.163879156112671]
['CV', 317, 'UV', 39, 'yes', 'find', 'V1', 'V3', 0.17121212121212115, 0.2663121223449707]
['BV', 59, 'UV', 32, 'make', 'addr2line', 'V1', 'V3', 0.07186637031050047, 1.7407069206237793]
['CV', 257, 'BV', 13, 'tac', 'cp', 'V0', 'V2', 0.06307534947153082, 0.09134745597839355]
['UV', 34, 'CV', 26, 'elfedit', 'date', 'V3', 'V2', 0.04180714767363458, 0.036108970642089844]
['CV', 319, 'BV', 51, 'readlink', 'cp', 'V1', 'V0', 0.10807291666666663, 0.034372806549072266]
['BV', 36, 'CV', 45, 'libvlc.so', 'cp', 'V2', 'V2', 0.13243581715716968, 0.49312472343444824]
['CV', 96, 'BV', 43, 'users', 'lua', 'V3', 'V0', 0.13272052894694397, 0.28980064392089844]
['BV', 61, 'CV', 109, 'cmp', 'kill', 'V0', 'V3', 0.087512291052114, 0.019045352935791016]
