['BO', 55, 'CO', 147, 'make', 'chroot', 'O1', 'O1', 0.12341951311568222, 0.24197626113891602]
['CO', 214, 'BO', 80, 'mkdir', 'ssh', 'O2', 'O3', 0.13645826761718505, 1.3708133697509766]
['BO', 4, 'CO', 350, 'libgeany.so.0.0.0', 'sha1sum', 'O2', 'O0', 0.1761731135066582, 27.24695920944214]
['BO', 54, 'CO', 124, 'lua', 'mkfifo', 'O3', 'O1', 0.11732531108984001, 0.31388020515441895]
['BO', 73, 'UO', 81, 'cluster', 'diff3', 'O1', 'O0', 0.08129064532266139, 0.18692708015441895]
['BO', 9, 'CO', 236, 'git', 'factor', 'O0', 'O2', 0.09148658391628828, 6.339420795440674]
['CO', 287, 'UO', 47, 'link', 'as', 'O2', 'O3', 0.12549718017215794, 1.4062671661376953]
['CO', 347, 'BO', 43, 'base32', 'diff', 'O0', 'O1', 0.10709677419354835, 0.13272762298583984]
['BO', 52, 'CO', 233, 'svn', 'chgrp', 'O3', 'O2', 0.18486279138388906, 0.5124130249023438]
['BO', 10, 'CO', 307, 'openssl', 'sort', 'O3', 'O2', 0.25450028508593303, 8.361492395401001]
['BO', 61, 'CO', 345, 'git', 'chown', 'O1', 'O0', 0.08807470432752595, 7.237213373184204]
['CO', 333, 'UO', 78, 'mktemp', 'elfedit', 'O0', 'O0', 0.07098239636570125, 0.06109476089477539]
['CO', 115, 'UO', 19, 'groups', 'cmp', 'O1', 'O1', 0.04761904761904767, 0.03603768348693848]
['CO', 72, 'UO', 59, 'head', 'locate', 'O3', 'O3', 0.11936704506363949, 0.10432124137878418]
['BO', 83, 'CO', 168, 'lua', 'tty', 'O2', 'O1', 0.13022508038585212, 0.37290143966674805]
['BO', 56, 'CO', 201, 'libvlc.so.12.0.0', 'uniq', 'O3', 'O1', 0.1942867606665446, 0.42312097549438477]
['UO', 82, 'BO', 47, 'cmp', 'libvlc.so.12.0.0', 'O0', 'O0', 0.208780487804878, 0.6526279449462891]
['BO', 33, 'CO', 87, 'sort', 'id', 'O2', 'O3', 0.12167727442905285, 0.09366416931152344]
['CO', 355, 'UO', 67, 'chroot', 'strip', 'O0', 'O0', 0.14026231130908196, 2.8054356575012207]
['CO', 294, 'BO', 11, 'timeout', 'ssh', 'O2', 'O1', 0.1449594365134268, 1.500171184539795]
['BO', 7, 'CO', 269, 'sort', 'cksum', 'O0', 'O2', 0.17198468410976386, 0.1375565528869629]
['CO', 248, 'BO', 67, 'sync', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.20805532557346706, 5.115914344787598]
['UO', 3, 'CO', 16, 'nm', 'dirname', 'O1', 'O3', 0.1527515858049031, 1.024629831314087]
['BO', 47, 'UO', 16, 'libvlc.so.12.0.0', 'size', 'O0', 'O1', 0.047041346868036626, 2.8523736000061035]
['CO', 251, 'BO', 26, 'chroot', 'gvmap', 'O2', 'O3', 0.12165242165242163, 0.12328076362609863]
['UO', 51, 'CO', 84, 'objcopy', 'vdir', 'O3', 'O3', 0.10094507601698399, 1.3383336067199707]
['UO', 53, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O3', 'O3', 0.12469164094199481, 38.472230434417725]
['BO', 37, 'CO', 185, 'gvmap', 'cat', 'O2', 'O1', 0.12615207373271886, 0.13007903099060059]
['CO', 304, 'UO', 61, 'fold', 'find', 'O2', 'O3', 0.15404317599707285, 0.2934103012084961]
['CO', 381, 'BO', 19, 'who', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.15741218495733278, 5.000150442123413]
['UO', 35, 'CO', 410, 'gprof', 'sleep', 'O2', 'O0', 0.13789641034223077, 1.0239505767822266]
['CO', 288, 'BO', 68, 'uname', 'git', 'O2', 'O3', 0.09378870996283839, 6.3142173290252686]
['CO', 155, 'BO', 49, 'realpath', 'svn', 'O1', 'O0', 0.19884809215262778, 0.5743165016174316]
['CO', 382, 'UO', 81, 'b2sum', 'diff3', 'O0', 'O0', 0.0371009490940466, 0.09457206726074219]
['BO', 21, 'CO', 404, 'cp', 'sha512sum', 'O1', 'O0', 0.09087803211479328, 0.12616991996765137]
['BO', 51, 'UO', 7, 'lua', 'ranlib', 'O1', 'O1', 0.048027989821882944, 2.6802608966827393]
['CO', 189, 'BO', 83, '[', 'lua', 'O1', 'O2', 0.12135733713249575, 0.41486477851867676]
['BO', 37, 'CO', 60, 'gvmap', 'base64', 'O2', 'O3', 0.12609062763861523, 0.1198575496673584]
