['CO', 203, 'BO', 3, 'sort', 'openssl', 'O1', 'O1', 0.2534616477849514, 9.477934122085571]
['CO', 247, 'UO', 75, 'paste', 'gprof', 'O2', 'O0', 0.15191523118767003, 2.325700521469116]
['UO', 13, 'CO', 38, 'addr2line', 'sha1sum', 'O1', 'O3', 0.1478969957081545, 1.0696284770965576]
['CO', 349, 'UO', 66, 'truncate', 'nm', 'O0', 'O0', 0.14792762587432806, 2.3779287338256836]
['CO', 262, 'UO', 79, 'true', 'size', 'O2', 'O0', 0.15685221645486547, 2.201200008392334]
['CO', 353, 'UO', 19, 'echo', 'cmp', 'O0', 'O1', 0.04366812227074235, 0.04037046432495117]
['BO', 78, 'CO', 55, 'ssh', 'cp', 'O0', 'O3', 0.12116202172886159, 2.6313185691833496]
['BO', 74, 'CO', 81, 'dot', 'cat', 'O1', 'O3', 0.15587266739846317, 0.016236543655395508]
['BO', 1, 'UO', 3, 'ssh', 'nm', 'O2', 'O1', 0.023466666666666636, 4.950405120849609]
['CO', 135, 'UO', 43, 'date', 'find', 'O1', 'O2', 0.13025210084033612, 0.46942830085754395]
['CO', 402, 'BO', 75, 'tr', 'gvmap', 'O0', 'O1', 0.09470181725108784, 0.16988420486450195]
['CO', 38, 'UO', 31, 'sha1sum', 'c++filt', 'O3', 'O2', 0.14296061566319596, 0.9536421298980713]
['CO', 413, 'BO', 33, 'rmdir', 'sort', 'O0', 'O2', 0.11276190476190473, 0.11412787437438965]
['CO', 253, 'BO', 72, 'split', 'make', 'O2', 'O2', 0.11054030115146152, 0.2727382183074951]
['CO', 45, 'BO', 65, 'split', 'gvmap', 'O3', 'O0', 0.11075104841784222, 0.23574614524841309]
['BO', 36, 'CO', 68, 'cluster', 'yes', 'O2', 'O3', 0.14014106102422574, 0.11084866523742676]
['CO', 298, 'UO', 86, 'tr', 'xargs', 'O2', 'O0', 0.13370835136304626, 0.09770488739013672]
['BO', 50, 'CO', 83, 'perl', 'csplit', 'O2', 'O3', 0.08436746719042942, 2.5652103424072266]
['BO', 57, 'CO', 237, 'libvlccore.so.9.0.0', 'nproc', 'O3', 'O2', 0.15611476198108676, 4.387094974517822]
['CO', 384, 'UO', 32, 'head', 'strings', 'O0', 'O2', 0.13437307251740238, 1.0637943744659424]
['UO', 85, 'CO', 235, 'locate', 'wc', 'O0', 'O2', 0.13960264900662245, 0.2128298282623291]
['CO', 368, 'BO', 46, 'cut', 'ruby', 'O0', 'O3', 0.10291613452532988, 13.70222520828247]
['UO', 87, 'CO', 26, 'find', 'kill', 'O0', 'O3', 0.17089791555318012, 0.6076514720916748]
['CO', 112, 'UO', 1, 'dir', 'xargs', 'O1', 'O1', 0.053058857639895596, 0.1894855499267578]
['UO', 27, 'CO', 101, 'strip', 'rmdir', 'O2', 'O3', 0.13764002987303958, 1.1880321502685547]
['UO', 28, 'CO', 194, 'readelf', 'tr', 'O2', 'O1', 0.10292758089368259, 0.26898789405822754]
