['BO', 23, 'UO', 55, 'git', 'ar', 'O2', 'O3', 0.05330633176005617, 11.708190202713013]
['UO', 68, 'CO', 295, 'readelf', 'id', 'O0', 'O2', 0.12553825770122562, 0.5231812000274658]
['UO', 14, 'CO', 225, 'ar', 'stdbuf', 'O1', 'O2', 0.1477691363078183, 1.1113841533660889]
['UO', 77, 'BO', 30, 'ar', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.03430544155279802, 13.508070707321167]
['UO', 7, 'CO', 410, 'ranlib', 'sleep', 'O1', 'O0', 0.1454842664487127, 1.1566979885101318]
['UO', 59, 'CO', 397, 'locate', '[', 'O3', 'O0', 0.09145327569005657, 0.13153505325317383]
['UO', 21, 'CO', 307, 'sdiff', 'sort', 'O1', 'O2', 0.08719533127360113, 0.11725115776062012]
['UO', 16, 'CO', 154, 'size', 'dircolors', 'O1', 'O1', 0.145856638843473, 1.0523760318756104]
['BO', 16, 'UO', 60, 'make', 'xargs', 'O0', 'O3', 0.08668010544270432, 0.3515136241912842]
['UO', 8, 'CO', 358, 'c++filt', 'whoami', 'O1', 'O0', 0.1479300342796871, 1.0153067111968994]
['CO', 291, 'UO', 72, 'csplit', 'strings', 'O2', 'O0', 0.14815680317812707, 2.1837852001190186]
['UO', 53, 'BO', 20, 'gprof', 'sort', 'O3', 'O1', 0.09946319018404903, 1.2113847732543945]
['CO', 309, 'BO', 69, 'rmdir', 'cmp', 'O2', 'O3', 0.05828917486752461, 0.030911684036254883]
['CO', 162, 'BO', 22, 'df', 'perl', 'O1', 'O0', 0.10430398201864954, 4.249410152435303]
['UO', 50, 'CO', 400, 'strings', 'shred', 'O3', 'O0', 0.11483002709079781, 1.008836030960083]
['CO', 47, 'UO', 21, 'numfmt', 'sdiff', 'O3', 'O1', 0.05966968566862019, 0.047293663024902344]
['UO', 67, 'CO', 75, 'strip', 'mv', 'O0', 'O3', 0.12290734676935844, 3.2258036136627197]
['CO', 94, 'BO', 33, 'rm', 'sort', 'O3', 'O2', 0.08040201005025127, 0.12093949317932129]
['CO', 29, 'UO', 63, 'nproc', 'cmp', 'O3', 'O3', 0.053879310344827624, 0.03006434440612793]
['UO', 39, 'CO', 277, 'size', 'who', 'O2', 'O2', 0.14196316824602184, 0.9276418685913086]
['UO', 81, 'BO', 47, 'diff3', 'libvlc.so.12.0.0', 'O0', 'O0', 0.18854856087424965, 0.740962028503418]
['CO', 104, 'BO', 15, 'sha384sum', 'diff', 'O1', 'O0', 0.14277338024039876, 0.16933178901672363]
