['CO', 19, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.17960304802410065, 5.4972310066223145]
['BO', 81, 'CO', 10, 'sort', 'users', 'O3', 'O3', 0.11582323592302213, 0.08884668350219727]
['BO', 17, 'CO', 277, 'codeblocks', 'who', 'O2', 'O2', 0.18700833398239736, 11.06774091720581]
['BO', 55, 'UO', 72, 'make', 'strings', 'O1', 'O0', 0.0967586803885736, 3.53311824798584]
['UO', 87, 'CO', 150, 'find', 'whoami', 'O0', 'O1', 0.1726287262872629, 0.6828796863555908]
['CO', 359, 'BO', 55, 'numfmt', 'make', 'O0', 'O1', 0.10172171468728042, 0.30614256858825684]
['CO', 204, 'UO', 33, 'tac', 'objcopy', 'O1', 'O2', 0.1343961856514937, 1.2852332592010498]
['UO', 15, 'CO', 153, 'elfedit', 'nice', 'O1', 'O1', 0.04988830975428149, 0.03558063507080078]
['BO', 51, 'UO', 69, 'lua', 'as', 'O1', 'O0', 0.08118313404657018, 6.831894636154175]
['CO', 317, 'BO', 79, 'basename', 'bash', 'O0', 'O3', 0.1124015748031496, 2.6424381732940674]
['BO', 80, 'CO', 113, 'ssh', 'du', 'O3', 'O1', 0.1152846680841011, 1.7426252365112305]
['BO', 55, 'CO', 383, 'make', 'readlink', 'O1', 'O0', 0.10726706937580088, 0.2960073947906494]
['UO', 15, 'CO', 68, 'elfedit', 'yes', 'O1', 'O3', 0.07132243684992567, 0.02876114845275879]
['CO', 168, 'BO', 28, 'tty', 'ruby', 'O1', 'O0', 0.10508402467560096, 13.54262113571167]
['CO', 157, 'UO', 5, 'chmod', 'readelf', 'O1', 'O1', 0.09685641461342398, 0.368333101272583]
['BO', 53, 'CO', 34, 'bash', 'tail', 'O0', 'O3', 0.12095900464823683, 3.9240634441375732]
['UO', 40, 'CO', 387, 'objdump', 'mv', 'O2', 'O0', 0.09369951534733445, 2.8277435302734375]
['UO', 75, 'BO', 73, 'gprof', 'cluster', 'O0', 'O1', 0.11757893146684117, 3.1316046714782715]
['CO', 40, 'UO', 59, 'sync', 'locate', 'O3', 'O3', 0.1355311355311355, 0.1017770767211914]
['CO', 353, 'UO', 37, 'echo', 'ar', 'O0', 'O2', 0.14279613972158167, 1.0858311653137207]
['CO', 315, 'UO', 49, 'unlink', 'c++filt', 'O0', 'O3', 0.13538836315937408, 0.8457701206207275]
['CO', 280, 'BO', 55, 'head', 'make', 'O2', 'O1', 0.12984533129654385, 0.2352759838104248]
['CO', 43, 'UO', 67, 'chroot', 'strip', 'O3', 'O0', 0.14449028281723741, 2.8218019008636475]
['UO', 36, 'CO', 278, 'addr2line', 'b2sum', 'O2', 'O2', 0.14061244531738237, 1.0034005641937256]
['BO', 11, 'UO', 45, 'ssh', 'strip', 'O1', 'O3', 0.025708706971362405, 4.807855606079102]
['CO', 151, 'UO', 70, 'numfmt', 'ranlib', 'O1', 'O0', 0.14797429449566923, 2.5551369190216064]
['CO', 312, 'UO', 60, 'sha384sum', 'xargs', 'O0', 'O3', 0.06399278954484, 0.0964508056640625]
['CO', 319, 'BO', 1, 'fmt', 'ssh', 'O0', 'O2', 0.14008391258062503, 1.61924147605896]
['CO', 79, 'BO', 70, 'link', 'diff', 'O3', 'O3', 0.12863652295828953, 0.08647584915161133]
['BO', 40, 'CO', 174, 'lua', 'b2sum', 'O0', 'O1', 0.1318791274764859, 0.7631025314331055]
['CO', 259, 'BO', 82, 'realpath', 'cp', 'O2', 'O3', 0.09777138749101366, 0.09852337837219238]
['CO', 42, 'UO', 33, 'sum', 'objcopy', 'O3', 'O2', 0.1354120267260579, 1.2784435749053955]
['CO', 338, 'BO', 17, 'kill', 'codeblocks', 'O0', 'O2', 0.18591256972369963, 11.609103441238403]
['CO', 136, 'UO', 17, 'expr', 'objdump', 'O1', 'O1', 0.13460370063518368, 2.178954839706421]
['CO', 146, 'UO', 26, 'sum', 'nm', 'O1', 'O2', 0.14043264157580015, 1.039259910583496]
['CO', 145, 'BO', 52, 'echo', 'svn', 'O1', 'O3', 0.21358441976500886, 0.4767336845397949]
['UO', 26, 'CO', 271, 'nm', 'logname', 'O2', 'O2', 0.15019371114514823, 0.9397883415222168]
['BO', 70, 'CO', 127, 'diff', 'pr', 'O3', 'O1', 0.06123049749779219, 0.13938236236572266]
['CO', 390, 'UO', 43, 'chcon', 'find', 'O0', 'O2', 0.10494011976047901, 0.5574588775634766]
['CO', 156, 'UO', 29, 'sha256sum', 'as', 'O1', 'O2', 0.12725399278722305, 1.8201193809509277]
['CO', 411, 'UO', 44, 'sort', 'nm', 'O0', 'O3', 0.08618173438820187, 1.4634177684783936]
['UO', 85, 'CO', 33, 'locate', 'chown', 'O0', 'O3', 0.11649122807017542, 0.2334306240081787]
