['CO', 381, 'BO', 24, 'who', 'cluster', 'O0', 'O3', 0.09402654867256632, 0.14537882804870605]
['UO', 45, 'BO', 11, 'strip', 'ssh', 'O3', 'O1', 0.025708706971362405, 4.655794858932495]
['BO', 23, 'CO', 155, 'git', 'realpath', 'O2', 'O1', 0.09176139692956753, 6.337765455245972]
['BO', 68, 'CO', 398, 'git', 'timeout', 'O3', 'O0', 0.09061331047381549, 6.84836220741272]
['BO', 58, 'CO', 237, 'svn', 'nproc', 'O1', 'O2', 0.22629416598192276, 0.46366190910339355]
['BO', 72, 'UO', 59, 'make', 'locate', 'O2', 'O3', 0.06013720624726315, 0.4076991081237793]
['CO', 245, 'BO', 44, 'truncate', 'cmp', 'O2', 'O2', 0.05790297339593109, 0.03007984161376953]
['UO', 7, 'CO', 221, 'ranlib', 'printenv', 'O1', 'O2', 0.15368596418159097, 1.0616860389709473]
['CO', 351, 'UO', 74, 'paste', 'ld', 'O0', 'O0', 0.14747634069400628, 4.034362554550171]
['CO', 267, 'UO', 11, 'tsort', 'ld', 'O2', 'O1', 0.14610484483665476, 2.0212819576263428]
['UO', 40, 'CO', 305, 'objdump', 'uniq', 'O2', 'O2', 0.13308292401040167, 1.7568144798278809]
['CO', 2, 'UO', 32, 'stat', 'strings', 'O3', 'O2', 0.1286449399656947, 1.0587544441223145]
['BO', 13, 'CO', 200, 'ruby', 'fold', 'O1', 'O1', 0.10421370598645263, 12.53874945640564]
['UO', 8, 'CO', 369, 'c++filt', 'od', 'O1', 'O0', 0.13419658622719244, 1.188838005065918]
['CO', 161, 'BO', 10, 'od', 'openssl', 'O1', 'O3', 0.27079017460787214, 7.70032000541687]
['UO', 52, 'CO', 43, 'ld', 'chroot', 'O3', 'O3', 0.1319585171057337, 1.5911099910736084]
['CO', 180, 'UO', 59, 'md5sum', 'locate', 'O1', 'O3', 0.11517952364024175, 0.11312723159790039]
['BO', 71, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O0', 'O2', 0.19572107765451663, 6.443702459335327]
['CO', 109, 'BO', 24, 'basename', 'cluster', 'O1', 'O3', 0.12893275755706357, 0.11307930946350098]
['BO', 59, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O3', 'O0', 0.16718542269492453, 24.84487533569336]
['CO', 87, 'UO', 21, 'id', 'sdiff', 'O3', 'O1', 0.07426303854875282, 0.04528355598449707]
['UO', 5, 'CO', 89, 'readelf', 'pathchk', 'O1', 'O3', 0.11926605504587151, 0.2721827030181885]
['BO', 34, 'CO', 206, 'cp', 'mknod', 'O2', 'O1', 0.11466458658346335, 0.08743596076965332]
['BO', 0, 'CO', 47, 'codeblocks', 'numfmt', 'O1', 'O3', 0.18451408870570551, 10.154157161712646]
['UO', 17, 'CO', 119, 'objdump', 'join', 'O1', 'O1', 0.13455471301267508, 2.018954277038574]
