['CO', 332, 'UO', 19, 'mkfifo', 'cmp', 'O0', 'O1', 0.11935892028679884, 0.09268784523010254]
['UO', 37, 'CO', 390, 'ar', 'chcon', 'O2', 'O0', 0.11662862988903755, 1.292433500289917]
['BO', 48, 'CO', 191, 'libvlccore.so.9.0.0', 'id', 'O0', 'O1', 0.18083895262282157, 10.582892179489136]
['CO', 255, 'UO', 58, 'numfmt', 'objdump', 'O2', 'O3', 0.12340131351538197, 1.5828838348388672]
['UO', 64, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.09269391696169937, 0.10811614990234375]
['UO', 84, 'CO', 69, 'sdiff', 'who', 'O0', 'O3', 0.08885616102110949, 0.06169462203979492]
['CO', 252, 'UO', 52, 'seq', 'ld', 'O2', 'O3', 0.13287679461764879, 1.6224002838134766]
['UO', 6, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O1', 'O1', 0.10880718255664812, 47.43494892120361]
['BO', 33, 'CO', 2, 'sort', 'stat', 'O2', 'O3', 0.07452830188679249, 0.13633346557617188]
['CO', 345, 'UO', 36, 'chown', 'addr2line', 'O0', 'O2', 0.11920195302634906, 1.2057061195373535]
['CO', 184, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19260817893116688, 27.983754634857178]
['UO', 29, 'CO', 358, 'as', 'whoami', 'O2', 'O0', 0.1286627137182661, 1.6960077285766602]
['BO', 29, 'CO', 309, 'libvlc.so.12.0.0', 'rmdir', 'O2', 'O2', 0.22290836653386448, 0.38190269470214844]
['CO', 336, 'BO', 68, 'tee', 'git', 'O0', 'O3', 0.09159484864474021, 6.582408428192139]
['CO', 168, 'BO', 10, 'tty', 'openssl', 'O1', 'O3', 0.2792722883255734, 7.3380959033966064]
['UO', 3, 'CO', 111, 'nm', 'fmt', 'O1', 'O1', 0.14678432038011202, 1.0861563682556152]
['UO', 64, 'CO', 94, 'diff', 'rm', 'O3', 'O3', 0.07274271157656387, 0.11731362342834473]
['CO', 390, 'UO', 3, 'chcon', 'nm', 'O0', 'O1', 0.12166312308055749, 1.4152700901031494]
['CO', 299, 'UO', 85, 'comm', 'locate', 'O2', 'O0', 0.1558477129553547, 0.18566489219665527]
['UO', 39, 'CO', 274, 'size', 'runcon', 'O2', 'O2', 0.1507150715071507, 0.8433630466461182]
