['BO', 45, 'CO', 185, 'diff', 'cat', 'O2', 'O1', 0.12255772646536411, 0.10126042366027832]
['UO', 66, 'CO', 136, 'nm', 'expr', 'O0', 'O1', 0.1474968495818536, 2.2191596031188965]
['UO', 54, 'CO', 412, 'addr2line', 'tac', 'O3', 'O0', 0.12725306416726745, 0.8660686016082764]
['UO', 43, 'CO', 162, 'find', 'df', 'O2', 'O1', 0.11389486627728251, 0.47406721115112305]
['UO', 63, 'CO', 332, 'cmp', 'mkfifo', 'O3', 'O0', 0.12330508474576274, 0.0901179313659668]
['UO', 67, 'CO', 286, 'strip', 'chcon', 'O0', 'O2', 0.13783995304245744, 2.739457845687866]
['BO', 20, 'CO', 331, 'sort', 'dd', 'O1', 'O0', 0.05773136060342332, 0.1825275421142578]
['CO', 211, 'BO', 34, 'unlink', 'cp', 'O2', 'O2', 0.1415487094088259, 0.07620596885681152]
['BO', 16, 'CO', 98, 'make', 'sleep', 'O0', 'O3', 0.13194081810269798, 0.22699570655822754]
['BO', 22, 'CO', 29, 'perl', 'nproc', 'O0', 'O3', 0.11183391434262946, 3.521117925643921]
['UO', 74, 'CO', 198, 'ld', 'rm', 'O0', 'O1', 0.1411067835118468, 4.274545192718506]
['UO', 15, 'CO', 203, 'elfedit', 'sort', 'O1', 'O1', 0.1322580645161291, 0.11162519454956055]
['UO', 72, 'CO', 149, 'strings', 'split', 'O0', 'O1', 0.14551263433052575, 2.220001697540283]
['BO', 67, 'CO', 202, 'libSDL2-2.0.so.0.16.0', 'sleep', 'O1', 'O1', 0.2060121212121212, 5.123568058013916]
['BO', 50, 'CO', 60, 'perl', 'base64', 'O2', 'O3', 0.08676717924074961, 2.330059051513672]
['BO', 61, 'CO', 35, 'git', 'base32', 'O1', 'O3', 0.09282345343170828, 6.317193031311035]
['UO', 18, 'CO', 251, 'diff3', 'chroot', 'O1', 'O2', 0.07387706855791965, 0.04974699020385742]
['CO', 238, 'BO', 70, 'expand', 'diff', 'O2', 'O3', 0.12165021156558531, 0.08985233306884766]
