['BO', 81, 'UO', 18, 'sort', 'diff3', 'O3', 'O1', 0.073301737756714, 0.1131899356842041]
['UO', 64, 'CO', 361, 'diff', 'nice', 'O3', 'O0', 0.10603477667916805, 0.10289597511291504]
['CO', 90, 'UO', 57, 'tr', 'size', 'O3', 'O3', 0.13433242506811993, 0.8062567710876465]
['UO', 35, 'BO', 1, 'gprof', 'ssh', 'O2', 'O2', 0.026247116221020383, 4.524144172668457]
['BO', 81, 'UO', 47, 'sort', 'as', 'O3', 'O3', 0.10080449219804544, 1.890618085861206]
['UO', 85, 'CO', 1, 'locate', 'touch', 'O0', 'O3', 0.12170579779587931, 0.2150716781616211]
['CO', 167, 'BO', 44, 'logname', 'cmp', 'O1', 'O2', 0.05363984674329503, 0.031099557876586914]
['CO', 146, 'UO', 56, 'sum', 'elfedit', 'O1', 'O3', 0.05536332179930792, 0.03748464584350586]
['UO', 59, 'CO', 4, 'locate', 'test', 'O3', 'O3', 0.12486809708054869, 0.09853124618530273]
['CO', 286, 'UO', 85, 'chcon', 'locate', 'O2', 'O0', 0.11784593093455686, 0.22648239135742188]
['UO', 85, 'CO', 67, 'locate', 'nohup', 'O0', 'O3', 0.15347464448618187, 0.18012452125549316]
['CO', 243, 'BO', 49, 'base32', 'svn', 'O2', 'O0', 0.2132856717307119, 0.5098881721496582]
['CO', 67, 'BO', 3, 'nohup', 'openssl', 'O3', 'O1', 0.27937639580828044, 7.435767889022827]
['UO', 85, 'BO', 80, 'locate', 'ssh', 'O0', 'O3', 0.09396195202646818, 2.15649151802063]
['CO', 175, 'UO', 73, 'readlink', 'objcopy', 'O1', 'O0', 0.14258725265983896, 2.723996877670288]
['BO', 50, 'CO', 368, 'perl', 'cut', 'O2', 'O0', 0.08379904963987928, 2.5217363834381104]
['CO', 113, 'UO', 31, 'du', 'c++filt', 'O1', 'O2', 0.11125762320751609, 1.2244172096252441]
['CO', 389, 'BO', 63, 'env', 'cluster', 'O0', 'O0', 0.11563080735081566, 0.2202587127685547]
['CO', 317, 'UO', 16, 'basename', 'size', 'O0', 'O1', 0.14684528954191878, 1.067051887512207]
['BO', 35, 'UO', 8, 'make', 'c++filt', 'O3', 'O1', 0.07258532808568297, 1.8786969184875488]
['UO', 46, 'BO', 41, 'readelf', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.14310884886452624, 7.129660606384277]
['CO', 73, 'BO', 50, 'hostid', 'perl', 'O3', 'O2', 0.0878388565570063, 2.3791587352752686]
['BO', 21, 'CO', 141, 'cp', 'truncate', 'O1', 'O1', 0.12244124336618656, 0.10228633880615234]
['BO', 30, 'UO', 77, 'libvlccore.so.9.0.0', 'ar', 'O2', 'O0', 0.03430544155279802, 13.399534463882446]
['UO', 10, 'BO', 30, 'objcopy', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.05670240571824825, 10.859053611755371]
['UO', 84, 'CO', 285, 'sdiff', 'env', 'O0', 'O2', 0.1254396248534584, 0.05191397666931152]
['CO', 88, 'UO', 45, 'shred', 'strip', 'O3', 'O3', 0.11822985468956404, 1.12764573097229]
['CO', 371, 'UO', 3, 'tsort', 'nm', 'O0', 'O1', 0.1435192988370133, 1.1370806694030762]
['CO', 408, 'UO', 5, 'fold', 'readelf', 'O0', 'O1', 0.10813226094727435, 0.3196272850036621]
['BO', 81, 'CO', 246, 'sort', 'sha1sum', 'O3', 'O2', 0.10945454545454547, 0.08690977096557617]
['CO', 65, 'BO', 80, 'false', 'ssh', 'O3', 'O3', 0.1422909741754027, 1.2114243507385254]
['CO', 243, 'BO', 4, 'base32', 'libgeany.so.0.0.0', 'O2', 'O2', 0.17820962089837522, 27.31490397453308]
['CO', 320, 'BO', 44, 'dir', 'cmp', 'O0', 'O2', 0.1547116736990155, 0.1876225471496582]
['UO', 26, 'BO', 61, 'nm', 'git', 'O2', 'O1', 0.05220212347620923, 12.485170125961304]
['CO', 402, 'BO', 8, 'tr', 'cp', 'O0', 'O0', 0.11899589669321742, 0.23675298690795898]
['UO', 21, 'CO', 366, 'sdiff', 'true', 'O1', 'O0', 0.07730986800754247, 0.04684185981750488]
['UO', 29, 'CO', 131, 'as', 'wc', 'O2', 'O1', 0.125, 1.754471778869629]
['CO', 134, 'BO', 74, 'expand', 'dot', 'O1', 'O1', 0.18262806236080176, 0.018851280212402344]
['BO', 63, 'CO', 371, 'cluster', 'tsort', 'O0', 'O0', 0.11367380560131801, 0.2289125919342041]
['UO', 15, 'CO', 336, 'elfedit', 'tee', 'O1', 'O0', 0.06107862248213125, 0.045015811920166016]
['CO', 155, 'BO', 13, 'realpath', 'ruby', 'O1', 'O1', 0.10341941472767946, 13.21713900566101]
['CO', 324, 'BO', 78, 'ptx', 'ssh', 'O0', 'O0', 0.12856235029574226, 2.49495792388916]
['BO', 83, 'CO', 399, 'lua', 'id', 'O2', 'O0', 0.11537969010116533, 0.4342517852783203]
['UO', 36, 'CO', 282, 'addr2line', 'unexpand', 'O2', 'O2', 0.14653608995284728, 0.890284538269043]
['CO', 40, 'BO', 20, 'sync', 'sort', 'O3', 'O1', 0.14355505449079287, 0.0954580307006836]
['UO', 81, 'BO', 69, 'diff3', 'cmp', 'O0', 'O3', 0.08163265306122447, 0.06557750701904297]
['UO', 63, 'CO', 368, 'cmp', 'cut', 'O3', 'O0', 0.07138461538461538, 0.049285888671875]
['CO', 29, 'BO', 6, 'nproc', 'codeblocks', 'O3', 'O0', 0.20656657623843322, 27.187012434005737]
['UO', 31, 'BO', 44, 'c++filt', 'cmp', 'O2', 'O2', 0.1415128483532393, 0.9126417636871338]
['UO', 74, 'CO', 176, 'ld', 'head', 'O0', 'O1', 0.14792409049473765, 3.850971221923828]
['CO', 282, 'UO', 4, 'unexpand', 'strip', 'O2', 'O1', 0.143701649394249, 1.3229124546051025]
['UO', 53, 'BO', 61, 'gprof', 'git', 'O3', 'O1', 0.053143322475570076, 11.891900777816772]
['CO', 262, 'BO', 3, 'true', 'openssl', 'O2', 'O1', 0.2837720441317001, 7.308094263076782]
['BO', 11, 'CO', 254, 'ssh', 'whoami', 'O1', 'O2', 0.15039611551239462, 1.3664019107818604]
['BO', 37, 'CO', 221, 'gvmap', 'printenv', 'O2', 'O2', 0.14459665144596645, 0.10716843605041504]
['BO', 63, 'CO', 203, 'cluster', 'sort', 'O0', 'O1', 0.06281694748895794, 0.36457133293151855]
['UO', 32, 'CO', 251, 'strings', 'chroot', 'O2', 'O2', 0.14435695538057747, 0.8998339176177979]
['CO', 240, 'UO', 32, 'expr', 'strings', 'O2', 'O2', 0.14161746287350152, 0.9273478984832764]
['CO', 70, 'BO', 0, 'b2sum', 'codeblocks', 'O3', 'O1', 0.1842173417590387, 10.351007223129272]
['CO', 287, 'BO', 48, 'link', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.18409820140708255, 10.428345441818237]
['UO', 50, 'CO', 283, 'strings', 'mv', 'O3', 'O2', 0.0972725078445571, 1.1592354774475098]
['BO', 64, 'CO', 169, 'dot', 'false', 'O0', 'O1', 0.17158176943699732, 0.014498233795166016]
['CO', 139, 'BO', 53, 'base32', 'bash', 'O1', 'O0', 0.12497775246502685, 3.650731086730957]
['BO', 42, 'UO', 12, 'cmp', 'gprof', 'O1', 'O1', 0.14184738955823295, 1.1671967506408691]
['BO', 2, 'CO', 16, 'perl', 'dirname', 'O1', 'O3', 0.07750112454687375, 2.3465499877929688]
['BO', 62, 'CO', 110, 'bash', 'mkdir', 'O1', 'O1', 0.12290386850406776, 2.761540651321411]
['CO', 233, 'BO', 80, 'chgrp', 'ssh', 'O2', 'O3', 0.13009133547272278, 1.4379634857177734]
['UO', 85, 'CO', 340, 'locate', 'factor', 'O0', 'O0', 0.09064458370635631, 0.2874112129211426]
['UO', 65, 'CO', 394, 'sdiff', 'shuf', 'O3', 'O0', 0.08762886597938147, 0.09157109260559082]
['CO', 365, 'UO', 79, 'chmod', 'size', 'O0', 'O0', 0.1363893604980193, 2.5697414875030518]
['BO', 51, 'CO', 276, 'lua', 'yes', 'O1', 'O2', 0.1365627415614532, 0.39608168601989746]
['UO', 36, 'CO', 195, 'addr2line', 'comm', 'O2', 'O1', 0.14151197202044663, 0.9444329738616943]
['BO', 19, 'CO', 267, 'libvlccore.so.9.0.0', 'tsort', 'O1', 'O2', 0.16332528180354267, 4.52414608001709]
['CO', 242, 'BO', 56, 'tail', 'libvlc.so.12.0.0', 'O2', 'O3', 0.18113668061366806, 0.4767303466796875]
['UO', 2, 'CO', 267, 'find', 'tsort', 'O1', 'O2', 0.16358391311725773, 0.362682580947876]
['UO', 27, 'BO', 58, 'strip', 'svn', 'O2', 'O1', 0.06264043404395248, 2.80603289604187]
['CO', 317, 'UO', 78, 'basename', 'elfedit', 'O0', 'O0', 0.033333333333333326, 0.04343223571777344]
['UO', 52, 'CO', 133, 'ld', 'nproc', 'O3', 'O1', 0.13253519432077976, 1.6149406433105469]
['CO', 389, 'BO', 35, 'env', 'make', 'O0', 'O3', 0.11647314949201737, 0.24724698066711426]
['CO', 5, 'UO', 76, 'basename', 'addr2line', 'O3', 'O0', 0.1546771130104463, 2.1037163734436035]
['BO', 55, 'CO', 239, 'make', 'date', 'O1', 'O2', 0.10987632192149133, 0.2606978416442871]
