['UO', 3, 'CO', 351, 'nm', 'paste', 'O1', 'O0', 0.14533310787960774, 1.0997979640960693]
['CO', 14, 'UO', 20, 'stty', 'diff', 'O3', 'O1', 0.1164556962025316, 0.1169281005859375]
['UO', 8, 'CO', 400, 'c++filt', 'shred', 'O1', 'O0', 0.12788381742738586, 1.2476921081542969]
['UO', 49, 'CO', 306, 'c++filt', 'sleep', 'O3', 'O2', 0.14146202711671563, 0.7428493499755859]
['BO', 58, 'CO', 365, 'svn', 'chmod', 'O1', 'O0', 0.1744742567077593, 0.6294741630554199]
['BO', 55, 'CO', 340, 'make', 'factor', 'O1', 'O0', 0.09075714524486045, 0.33990979194641113]
['CO', 259, 'BO', 45, 'realpath', 'diff', 'O2', 'O2', 0.11584737023031966, 0.10576391220092773]
['CO', 68, 'BO', 32, 'yes', 'ruby', 'O3', 'O2', 0.1261397917270295, 14.616702318191528]
['UO', 13, 'BO', 7, 'addr2line', 'sort', 'O1', 'O0', 0.09900332225913622, 1.6591999530792236]
['BO', 61, 'UO', 44, 'git', 'nm', 'O1', 'O3', 0.05443654555028965, 11.598860740661621]
['CO', 172, 'UO', 47, 'yes', 'as', 'O1', 'O3', 0.12320037762567859, 1.4567229747772217]
['BO', 55, 'CO', 77, 'make', 'env', 'O1', 'O3', 0.13335895465026903, 0.21079349517822266]
['CO', 328, 'UO', 59, 'dirname', 'locate', 'O0', 'O3', 0.12096774193548387, 0.11253499984741211]
['CO', 81, 'BO', 42, 'cat', 'cmp', 'O3', 'O1', 0.053066850447966885, 0.03315544128417969]
['CO', 237, 'BO', 19, 'nproc', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.16388148865746344, 4.614498853683472]
['CO', 203, 'BO', 22, 'sort', 'perl', 'O1', 'O0', 0.09874407088094028, 4.506415605545044]
['BO', 40, 'CO', 18, 'lua', 'uptime', 'O0', 'O3', 0.1347503509123722, 0.7130022048950195]
['BO', 32, 'CO', 77, 'ruby', 'env', 'O2', 'O3', 0.1257320893489513, 14.334217071533203]
['CO', 48, 'BO', 16, 'ls', 'make', 'O3', 'O0', 0.06868547832071581, 0.4219844341278076]
['BO', 72, 'CO', 389, 'make', 'env', 'O2', 'O0', 0.11647314949201737, 0.24330925941467285]
['BO', 48, 'UO', 5, 'libvlccore.so.9.0.0', 'readelf', 'O0', 'O1', 0.13965207262414214, 13.937366008758545]
['UO', 36, 'CO', 206, 'addr2line', 'mknod', 'O2', 'O1', 0.14412296564195293, 0.9073858261108398]
['CO', 220, 'UO', 14, 'ptx', 'ar', 'O2', 'O1', 0.13851646172153909, 1.2183473110198975]
['CO', 69, 'UO', 78, 'who', 'elfedit', 'O3', 'O0', 0.048134777376654614, 0.0414118766784668]
