['BV', 6, 'CV', 143, 'libvlc.so', 'yes', 'V0', 'V3', 0.18656892882478127, 0.23614978790283203]
['BV', 41, 'CV', 22, 'libvlccore.so', 'kill', 'V1', 'V2', 0.16407636461414365, 2.669663906097412]
['CV', 174, 'BV', 5, 'touch', 'libvlccore.so', 'V0', 'V0', 0.1680956801922342, 2.972338914871216]
['UV', 52, 'CV', 59, 'strip', 'head', 'V1', 'V2', 0.1332365346055452, 1.2440295219421387]
['CV', 31, 'BV', 51, 'sha1sum', 'cp', 'V2', 'V0', 0.08229721728833628, 0.042131662368774414]
['CV', 120, 'BV', 76, 'sync', 'diff', 'V3', 'V2', 0.12381951731374607, 0.08880090713500977]
['CV', 140, 'UV', 14, 'tty', 'objcopy', 'V3', 'V2', 0.13947446555819476, 1.169935941696167]
['UV', 34, 'CV', 179, 'elfedit', 'mkdir', 'V3', 'V0', 0.07003891050583655, 0.029198408126831055]
['CV', 168, 'BV', 19, 'sleep', 'cp', 'V3', 'V3', 0.11925233644859812, 0.08016824722290039]
['UV', 76, 'CV', 261, 'as', 'touch', 'V0', 'V1', 0.12932231005974293, 1.549849271774292]
['BV', 51, 'UV', 7, 'cp', 'nm', 'V0', 'V2', 0.13258370395233698, 1.111624002456665]
['BV', 0, 'CV', 165, 'bash', 'rm', 'V2', 'V3', 0.1190507067825185, 2.6002514362335205]
['CV', 285, 'UV', 25, 'factor', 'as', 'V1', 'V3', 0.1344283301298852, 1.6599044799804688]
['CV', 325, 'BV', 76, 'md5sum', 'diff', 'V1', 'V2', 0.13343162550681908, 0.08634662628173828]
['CV', 20, 'UV', 63, 'tee', 'elfedit', 'V2', 'V1', 0.06322795341098164, 0.02524709701538086]
['BV', 42, 'CV', 106, 'libvlc.so', 'pr', 'V1', 'V3', 0.14247466054694968, 0.32219958305358887]
['BV', 28, 'CV', 126, 'openssl', 'whoami', 'V1', 'V3', 0.1032030051790438, 6.479618310928345]
['UV', 72, 'CV', 28, 'find', 'chown', 'V0', 'V2', 0.10257801899592944, 0.1591031551361084]
['UV', 30, 'CV', 8, 'ld', 'du', 'V3', 'V2', 0.12468982630272951, 2.1945464611053467]
['CV', 9, 'BV', 8, 'users', 'cluster', 'V2', 'V2', 0.13830755232029124, 0.11534309387207031]
['UV', 51, 'BV', 83, 'nm', 'git', 'V1', 'V2', 0.05201668984700969, 13.08191704750061]
['BV', 2, 'UV', 27, 'cmp', 'c++filt', 'V1', 'V3', 0.14200380124898182, 0.9551641941070557]
['CV', 109, 'BV', 9, 'kill', 'dot', 'V3', 'V2', 0.1576576576576576, 0.015750408172607422]
['BV', 41, 'CV', 96, 'libvlccore.so', 'users', 'V1', 'V3', 0.16211886580872537, 2.690889835357666]
['CV', 206, 'UV', 19, 'paste', 'elfedit', 'V0', 'V2', 0.08920187793427226, 0.020606279373168945]
['BV', 79, 'CV', 137, 'bash', 'cksum', 'V3', 'V3', 0.1261446298673513, 2.5446643829345703]
['BV', 47, 'CV', 95, 'dot', 'du', 'V3', 'V3', 0.18882466281310206, 0.05402064323425293]
['UV', 44, 'CV', 333, 'diff3', 'id', 'V1', 'V1', 0.09592822636300902, 0.03238081932067871]
['CV', 89, 'UV', 9, 'unlink', 'readelf', 'V3', 'V2', 0.09744947064485077, 0.10820484161376953]
['BV', 21, 'CV', 279, 'cp', 'pwd', 'V1', 'V1', 0.10353535353535359, 0.03882098197937012]
['BV', 18, 'CV', 98, 'sort', 'printenv', 'V3', 'V3', 0.12741456166419018, 0.08079314231872559]
['BV', 1, 'CV', 146, 'libSDL2-2.0.so', 'head', 'V3', 'V3', 0.1895157667774683, 5.293585777282715]
['CV', 332, 'BV', 13, '[', 'cp', 'V1', 'V2', 0.12398557258791709, 0.06227231025695801]
['CV', 91, 'UV', 50, 'basename', 'find', 'V3', 'V1', 0.14215686274509798, 0.1616528034210205]
['UV', 47, 'BV', 3, 'sdiff', 'diff', 'V1', 'V1', 0.0592668722165125, 0.09781670570373535]
['BV', 76, 'UV', 12, 'diff', 'c++filt', 'V2', 'V2', 0.10846123573396305, 1.3570175170898438]
['CV', 235, 'UV', 74, 'ginstall', 'strip', 'V0', 'V0', 0.11967405565913958, 1.4322609901428223]
['UV', 58, 'CV', 307, 'objcopy', 'cut', 'V1', 'V1', 0.135830072666294, 1.2255210876464844]
['UV', 42, 'CV', 161, 'diff', 'pathchk', 'V3', 'V3', 0.12175989085948158, 0.08892536163330078]
['BV', 48, 'CV', 279, 'gvmap', 'pwd', 'V3', 'V1', 0.14302635475273906, 0.11519718170166016]
['CV', 331, 'UV', 73, 'vdir', 'nm', 'V1', 'V0', 0.12226775956284153, 1.1183156967163086]
['BV', 18, 'CV', 93, 'sort', 'fmt', 'V3', 'V3', 0.10889355742296924, 0.09046316146850586]
['BV', 83, 'UV', 29, 'git', 'objcopy', 'V2', 'V3', 0.04722694685974982, 14.298085451126099]
['CV', 177, 'UV', 80, 'test', 'objcopy', 'V0', 'V0', 0.13765949690120305, 1.1592116355895996]
['BV', 83, 'UV', 22, 'git', 'nm', 'V2', 'V3', 0.05213348011106911, 13.00675344467163]
['UV', 20, 'CV', 298, 'size', 'seq', 'V2', 'V1', 0.15036575453806555, 0.9158909320831299]
