['UV', 48, 'CV', 176, 'locate', 'unlink', 'V1', 'V0', 0.14577656675749318, 0.05162334442138672]
['BV', 22, 'CV', 281, 'cmp', 'tee', 'V3', 'V1', 0.09006734006734007, 0.0245511531829834]
['CV', 33, 'UV', 30, 'sync', 'ld', 'V2', 'V3', 0.14613803940529435, 1.6846647262573242]
['BV', 15, 'CV', 299, 'libvlccore.so', 'split', 'V3', 'V1', 0.16527617951668583, 3.1928176879882812]
['CV', 118, 'BV', 45, 'sha1sum', 'svn', 'V3', 'V3', 0.21244517543859653, 0.6001346111297607]
['CV', 263, 'BV', 24, 'unlink', 'git', 'V1', 'V0', 0.09646583274157428, 3.304396629333496]
['CV', 12, 'UV', 41, 'stty', 'cmp', 'V2', 'V3', 0.04116865869853914, 0.033052682876586914]
['UV', 20, 'CV', 344, 'size', 'tac', 'V2', 'V1', 0.13150800336983992, 0.9789252281188965]
['BV', 54, 'CV', 323, 'lua', 'unexpand', 'V3', 'V1', 0.13750171022027635, 0.33913302421569824]
['CV', 210, 'UV', 47, 'chroot', 'sdiff', 'V0', 'V1', 0.12572674418604657, 0.028394699096679688]
['CV', 28, 'BV', 35, 'chown', 'libvlccore.so', 'V2', 'V2', 0.15856236786469347, 3.4272093772888184]
['CV', 299, 'BV', 78, 'split', 'make', 'V1', 'V2', 0.13484939158188713, 0.19033241271972656]
['BV', 74, 'CV', 198, 'git', 'factor', 'V1', 'V0', 0.09472250275970595, 4.30512809753418]
['CV', 297, 'UV', 5, 'chroot', 'diff', 'V1', 'V2', 0.15228231683927884, 0.0715489387512207]
['BV', 40, 'CV', 30, 'lua', 'pinky', 'V2', 'V2', 0.12788230301315606, 0.33847880363464355]
['BV', 45, 'CV', 317, 'svn', 'yes', 'V3', 'V1', 0.2324066029539531, 0.5199375152587891]
['UV', 16, 'CV', 231, 'gprof', 'who', 'V2', 'V0', 0.1423937453214672, 0.9656796455383301]
['UV', 30, 'CV', 258, 'ld', 'rmdir', 'V3', 'V0', 0.14769548826462364, 1.6453359127044678]
['CV', 339, 'UV', 9, 'rm', 'readelf', 'V1', 'V2', 0.08543867707854846, 0.11949586868286133]
['BV', 62, 'CV', 30, 'diff', 'pinky', 'V0', 'V2', 0.08574434508153606, 0.04904818534851074]
['CV', 150, 'UV', 84, 'mv', 'ar', 'V3', 'V0', 0.10401639966593268, 1.2558033466339111]
['CV', 194, 'BV', 77, 'tee', 'perl', 'V0', 'V2', 0.09223538627239791, 2.135263442993164]
['UV', 48, 'CV', 160, 'locate', 'shred', 'V1', 'V3', 0.05616483881688272, 0.09800601005554199]
['CV', 79, 'BV', 50, 'fold', 'sort', 'V2', 'V0', 0.07544581618655688, 0.029403209686279297]
['CV', 202, 'BV', 22, 'chown', 'cmp', 'V0', 'V3', 0.036553524804177506, 0.0356450080871582]
['CV', 249, 'UV', 51, 'tr', 'nm', 'V0', 'V1', 0.14510352057307596, 0.8859341144561768]
['BV', 4, 'CV', 324, 'geany', 'mv', 'V3', 'V1', 0.1776238916764039, 25.06373620033264]
['UV', 20, 'CV', 64, 'size', 'md5sum', 'V2', 'V2', 0.145744301994302, 0.8888347148895264]
['BV', 18, 'CV', 23, 'sort', 'wc', 'V3', 'V2', 0.11004614838480653, 0.08803582191467285]
['UV', 53, 'CV', 105, 'readelf', 'pwd', 'V1', 'V3', 0.08948787061994612, 0.0944209098815918]
['UV', 78, 'CV', 338, 'c++filt', 'nl', 'V0', 'V1', 0.13048509123275476, 0.8494572639465332]
['CV', 2, 'BV', 41, 'unlink', 'libvlccore.so', 'V2', 'V1', 0.1658031088082902, 2.4489505290985107]
['CV', 213, 'BV', 46, 'whoami', 'cluster', 'V0', 'V3', 0.15533354817918144, 0.09693598747253418]
['CV', 283, 'UV', 56, 'kill', 'c++filt', 'V1', 'V1', 0.14743822674418605, 0.8182413578033447]
['CV', 8, 'UV', 86, 'du', 'size', 'V2', 'V0', 0.10162601626016254, 1.014859676361084]
['BV', 83, 'CV', 78, 'git', 'rm', 'V2', 'V2', 0.09138264041984512, 6.431725025177002]
['CV', 74, 'BV', 59, 'pathchk', 'make', 'V2', 'V1', 0.13751017087062656, 0.17716002464294434]
['BV', 31, 'CV', 50, 'codeblocks', 'cksum', 'V0', 'V2', 0.18810209279149592, 8.851309776306152]
['BV', 7, 'CV', 331, 'libSDL2-2.0.so', 'vdir', 'V0', 'V1', 0.19619547392587733, 3.3394455909729004]
['BV', 20, 'CV', 180, 'sort', 'fmt', 'V1', 'V0', 0.10866752910737387, 0.03469228744506836]
['BV', 76, 'CV', 256, 'diff', 'sort', 'V2', 'V0', 0.09047619047619049, 0.10442161560058594]
['CV', 200, 'UV', 24, 'date', 'readelf', 'V0', 'V3', 0.10915934755332501, 0.24688243865966797]
['BV', 29, 'CV', 120, 'perl', 'sync', 'V3', 'V3', 0.10316475883332743, 2.3250510692596436]
['BV', 76, 'CV', 151, 'diff', 'md5sum', 'V2', 'V3', 0.10954773869346734, 0.0924675464630127]
['CV', 157, 'UV', 15, 'vdir', 'ld', 'V3', 'V2', 0.10890040684389457, 2.0516371726989746]
['BV', 74, 'UV', 52, 'git', 'strip', 'V1', 'V1', 0.03850345727098925, 10.634441375732422]
['UV', 75, 'CV', 146, 'readelf', 'head', 'V0', 'V3', 0.08609816287359473, 0.0916130542755127]
['UV', 48, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V1', 'V3', 0.17440363823579885, 5.9773664474487305]
['UV', 79, 'CV', 220, 'strings', 'cut', 'V0', 'V0', 0.14646084337349397, 0.7706105709075928]
['BV', 16, 'UV', 73, 'libvlc.so', 'nm', 'V3', 'V0', 0.05967967036618593, 1.9852321147918701]
['BV', 10, 'CV', 177, 'gvmap', 'test', 'V2', 'V0', 0.14417360285374548, 0.10407567024230957]
['BV', 39, 'CV', 276, 'svn', 'uptime', 'V1', 'V1', 0.22068072512023673, 0.3465392589569092]
['UV', 65, 'CV', 291, 'objdump', 'pinky', 'V1', 'V1', 0.13544926240500677, 1.4314515590667725]
['CV', 78, 'UV', 51, 'rm', 'nm', 'V2', 'V1', 0.1323775989268947, 1.008885145187378]
['UV', 59, 'CV', 291, 'ld', 'pinky', 'V1', 'V1', 0.13319458896982317, 1.488572359085083]
['CV', 65, 'UV', 9, 'env', 'readelf', 'V2', 'V2', 0.1042960019865905, 0.09552693367004395]
['CV', 343, 'BV', 3, 'sort', 'diff', 'V1', 'V1', 0.0612582781456954, 0.10028791427612305]
