['UO', 48, 'CO', 15, 'ranlib', 'join', 'O3', 'O3', 0.12912506346251484, 0.86553955078125]
['CO', 387, 'UO', 56, 'mv', 'elfedit', 'O0', 'O3', 0.15892358466615897, 0.19158935546875]
['CO', 104, 'BO', 43, 'sha384sum', 'diff', 'O1', 'O1', 0.11778445111778446, 0.12255263328552246]
['BO', 20, 'UO', 15, 'sort', 'elfedit', 'O1', 'O1', 0.1322580645161291, 0.10846090316772461]
['BO', 15, 'CO', 310, 'diff', 'mknod', 'O0', 'O2', 0.16687422166874222, 0.14152050018310547]
['CO', 279, 'BO', 57, 'readlink', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.15440063719633612, 4.264567852020264]
['BO', 36, 'CO', 19, 'cluster', 'dd', 'O2', 'O3', 0.09059146493636139, 0.1558222770690918]
['BO', 11, 'CO', 186, 'ssh', 'shuf', 'O1', 'O1', 0.13667425968109337, 1.610718011856079]
['BO', 47, 'CO', 90, 'libvlc.so.12.0.0', 'tr', 'O0', 'O3', 0.2233090185676393, 0.558640718460083]
['UO', 79, 'BO', 21, 'size', 'cp', 'O0', 'O1', 0.12762133013780708, 2.72298526763916]
['UO', 74, 'CO', 308, 'ld', 'tac', 'O0', 'O2', 0.14947508748541916, 3.8435609340667725]
['BO', 50, 'CO', 219, 'perl', 'groups', 'O2', 'O2', 0.08717298814157692, 2.345663070678711]
['BO', 80, 'CO', 362, 'ssh', 'dircolors', 'O3', 'O0', 0.1346977329974811, 1.3447787761688232]
['BO', 32, 'CO', 255, 'ruby', 'numfmt', 'O2', 'O2', 0.12500849704302897, 14.432449102401733]
['UO', 42, 'CO', 125, 'xargs', 'mktemp', 'O2', 'O1', 0.07732201791607729, 0.0859222412109375]
['CO', 144, 'UO', 42, 'sync', 'xargs', 'O1', 'O2', 0.11299734748010615, 0.0669400691986084]
['CO', 221, 'UO', 35, 'printenv', 'gprof', 'O2', 'O2', 0.1461479395955977, 0.955622673034668]
['BO', 42, 'CO', 375, 'cmp', 'logname', 'O1', 'O0', 0.04112554112554112, 0.03859758377075195]
