['BO', 80, 'CO', 152, 'ssh', 'ls', 'O3', 'O1', 0.11098817911838355, 1.7250158786773682]
['CO', 231, 'UO', 2, 'pr', 'find', 'O2', 'O1', 0.13629185091598228, 0.4302639961242676]
['CO', 392, 'UO', 56, 'uname', 'elfedit', 'O0', 'O3', 0.045319465081723576, 0.03559756278991699]
['CO', 143, 'BO', 51, 'paste', 'lua', 'O1', 'O1', 0.1291298865069357, 0.4241368770599365]
['CO', 17, 'UO', 19, 'stdbuf', 'cmp', 'O3', 'O1', 0.04322200392927311, 0.035175323486328125]
['UO', 68, 'BO', 69, 'readelf', 'cmp', 'O0', 'O3', 0.12251583315134307, 0.524033784866333]
['UO', 78, 'CO', 374, 'elfedit', 'printf', 'O0', 'O0', 0.045454545454545414, 0.05027937889099121]
['CO', 404, 'UO', 41, 'sha512sum', 'locate', 'O0', 'O2', 0.10070108349267048, 0.14558005332946777]
['BO', 68, 'CO', 104, 'git', 'sha384sum', 'O3', 'O1', 0.09210062991509838, 6.340400218963623]
['CO', 406, 'UO', 70, 'rm', 'ranlib', 'O0', 'O0', 0.1334445820100124, 2.804795742034912]
['CO', 241, 'UO', 85, 'chown', 'locate', 'O2', 'O0', 0.11522830504422665, 0.2392408847808838]
['UO', 44, 'CO', 126, 'nm', 'pwd', 'O3', 'O1', 0.13463105477591664, 0.8375895023345947]
['BO', 59, 'CO', 376, 'libgeany.so.0.0.0', 'tty', 'O3', 'O0', 0.16788664399128517, 24.61153507232666]
['BO', 65, 'CO', 232, 'gvmap', 'tee', 'O0', 'O2', 0.13194444444444442, 0.1945040225982666]
['UO', 85, 'BO', 2, 'locate', 'perl', 'O0', 'O1', 0.059839038203586825, 3.5447511672973633]
['BO', 69, 'CO', 331, 'cmp', 'dd', 'O3', 'O0', 0.09999999999999998, 0.07539772987365723]
['CO', 295, 'BO', 59, 'id', 'libgeany.so.0.0.0', 'O2', 'O3', 0.16814200886772057, 25.212899923324585]
['BO', 53, 'UO', 18, 'bash', 'diff3', 'O0', 'O1', 0.12114498716460953, 3.737825393676758]
['CO', 368, 'BO', 10, 'cut', 'openssl', 'O0', 'O3', 0.2725494365298746, 7.748922824859619]
['BO', 1, 'CO', 138, 'ssh', 'tail', 'O2', 'O1', 0.1339045287637699, 1.5900638103485107]
['BO', 18, 'CO', 105, 'libvlc.so.12.0.0', 'touch', 'O1', 'O1', 0.18686599038974905, 0.504162073135376]
['BO', 13, 'CO', 199, 'ruby', 'sha224sum', 'O1', 'O1', 0.1037587798820715, 12.797945022583008]
['CO', 245, 'BO', 58, 'truncate', 'svn', 'O2', 'O1', 0.22616699539776464, 0.46649932861328125]
['UO', 64, 'CO', 389, 'diff', 'env', 'O3', 'O0', 0.09900662251655623, 0.10588431358337402]
['CO', 75, 'UO', 46, 'mv', 'readelf', 'O3', 'O3', 0.05457209131974117, 0.3972635269165039]
['BO', 61, 'CO', 246, 'git', 'sha1sum', 'O1', 'O2', 0.09292477798035637, 6.370824575424194]
['BO', 15, 'CO', 348, 'diff', 'pinky', 'O0', 'O0', 0.1186393027832443, 0.19860315322875977]
['CO', 37, 'BO', 34, 'truncate', 'cp', 'O3', 'O2', 0.12220508866615265, 0.08299565315246582]
['CO', 226, 'UO', 34, 'uptime', 'ld', 'O2', 'O2', 0.13918782329508295, 1.8759634494781494]
['BO', 65, 'CO', 208, 'gvmap', 'sha384sum', 'O0', 'O2', 0.12839248434237993, 0.1967775821685791]
['CO', 317, 'UO', 6, 'basename', 'as', 'O0', 'O1', 0.13136343514829574, 1.8974785804748535]
['UO', 2, 'CO', 236, 'find', 'factor', 'O1', 'O2', 0.14638844301765652, 0.39438509941101074]
['UO', 47, 'CO', 353, 'as', 'echo', 'O3', 'O0', 0.12119072832097899, 1.4439313411712646]
['CO', 179, 'BO', 0, 'mv', 'codeblocks', 'O1', 'O1', 0.17146136380648214, 12.19714879989624]
['UO', 54, 'CO', 184, 'addr2line', 'uname', 'O3', 'O1', 0.13880624767571592, 0.8127717971801758]
['CO', 59, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O3', 'O1', 0.17445135827617486, 28.04795002937317]
['BO', 48, 'CO', 244, 'libvlccore.so.9.0.0', 'pinky', 'O0', 'O2', 0.1817915776535659, 10.561414241790771]
['CO', 13, 'BO', 32, 'printenv', 'ruby', 'O3', 'O2', 0.12624901954097467, 14.465949773788452]
['CO', 84, 'UO', 45, 'vdir', 'strip', 'O3', 'O3', 0.10094507601698399, 1.388719081878662]
['BO', 46, 'CO', 20, 'ruby', 'mkfifo', 'O3', 'O3', 0.10472978129149435, 12.402833461761475]
['CO', 211, 'UO', 4, 'unlink', 'strip', 'O2', 'O1', 0.14669908635425877, 1.2431621551513672]
['CO', 32, 'BO', 6, 'expr', 'codeblocks', 'O3', 'O0', 0.2052728954671601, 27.670323848724365]
['BO', 68, 'CO', 133, 'git', 'nproc', 'O3', 'O1', 0.09262526464361331, 6.272231817245483]
['CO', 12, 'BO', 34, 'ptx', 'cp', 'O3', 'O2', 0.08135048231511255, 0.11674666404724121]
['CO', 73, 'BO', 62, 'hostid', 'bash', 'O3', 'O1', 0.12800167926112516, 2.6586711406707764]
['BO', 33, 'CO', 44, 'sort', 'seq', 'O2', 'O3', 0.12185976752905892, 0.09529495239257812]
['CO', 314, 'UO', 63, 'stat', 'cmp', 'O0', 'O3', 0.12819420783645652, 0.09090304374694824]
['UO', 40, 'CO', 256, 'objdump', 'ls', 'O2', 'O2', 0.11298764366265579, 2.2147140502929688]
['BO', 18, 'CO', 231, 'libvlc.so.12.0.0', 'pr', 'O1', 'O2', 0.1941695159258593, 0.4695746898651123]
