['CO', 58, 'BO', 71, 'df', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.18970864278135968, 7.502755165100098]
['CO', 175, 'UO', 78, 'readlink', 'elfedit', 'O1', 'O0', 0.034047919293820894, 0.048100948333740234]
['CO', 221, 'BO', 58, 'printenv', 'svn', 'O2', 'O1', 0.23257752584194735, 0.4722578525543213]
['CO', 189, 'BO', 66, '[', 'svn', 'O1', 'O2', 0.2088548185231539, 0.5280089378356934]
['CO', 284, 'BO', 46, 'md5sum', 'ruby', 'O2', 'O3', 0.10441564784712365, 13.577695846557617]
['UO', 73, 'CO', 319, 'objcopy', 'fmt', 'O0', 'O0', 0.14077308589291915, 2.969567060470581]
['CO', 173, 'BO', 18, 'who', 'libvlc.so.12.0.0', 'O1', 'O1', 0.20510414711953462, 0.49019575119018555]
['BO', 55, 'CO', 231, 'make', 'pr', 'O1', 'O2', 0.10977793696275073, 0.27294921875]
['CO', 178, 'UO', 21, 'unexpand', 'sdiff', 'O1', 'O1', 0.06398104265402837, 0.04969668388366699]
['CO', 399, 'BO', 47, 'id', 'libvlc.so.12.0.0', 'O0', 'O0', 0.20866590649942984, 0.6946828365325928]
['CO', 95, 'BO', 28, 'sha224sum', 'ruby', 'O3', 'O0', 0.1045336807186028, 13.705260276794434]
['CO', 14, 'BO', 53, 'stty', 'bash', 'O3', 'O0', 0.12401922669117127, 3.8388290405273438]
['BO', 61, 'UO', 29, 'git', 'as', 'O1', 'O2', 0.038297111703633036, 15.698675394058228]
['UO', 65, 'CO', 60, 'sdiff', 'base64', 'O3', 'O3', 0.06585081585081587, 0.04328155517578125]
['BO', 56, 'CO', 12, 'libvlc.so.12.0.0', 'ptx', 'O3', 'O3', 0.18086387885045607, 0.4776489734649658]
['CO', 205, 'UO', 48, 'rmdir', 'ranlib', 'O1', 'O3', 0.1341972516959471, 1.0070884227752686]
['BO', 50, 'CO', 391, 'perl', 'link', 'O2', 'O0', 0.08600078292029267, 2.524601459503174]
['BO', 17, 'CO', 69, 'codeblocks', 'who', 'O2', 'O3', 0.18630824558226178, 11.115957260131836]
['CO', 46, 'BO', 71, 'whoami', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.2023613050653802, 6.7123191356658936]
['BO', 30, 'CO', 164, 'libvlccore.so.9.0.0', 'base64', 'O2', 'O1', 0.15935380933386512, 4.780016660690308]
['CO', 395, 'UO', 14, 'csplit', 'ar', 'O0', 'O1', 0.1321713303110833, 1.4060184955596924]
['CO', 185, 'BO', 70, 'cat', 'diff', 'O1', 'O3', 0.11165048543689315, 0.09949994087219238]
['CO', 225, 'BO', 37, 'stdbuf', 'gvmap', 'O2', 'O2', 0.1261802575107296, 0.13148927688598633]
['CO', 210, 'UO', 87, 'stat', 'find', 'O2', 'O0', 0.13951753295200198, 0.7770819664001465]
['CO', 18, 'BO', 54, 'uptime', 'lua', 'O3', 'O3', 0.1088847877669391, 0.34800219535827637]
['CO', 6, 'UO', 55, 'mkdir', 'ar', 'O3', 'O3', 0.12998636208660075, 0.9350137710571289]
['CO', 237, 'UO', 45, 'nproc', 'strip', 'O2', 'O3', 0.13166602539438244, 1.0407958030700684]
['CO', 183, 'UO', 13, 'link', 'addr2line', 'O1', 'O1', 0.15150192106182325, 1.0710139274597168]
['UO', 20, 'CO', 379, 'diff', 'nohup', 'O1', 'O0', 0.11672240802675582, 0.1309216022491455]
['UO', 71, 'BO', 30, 'c++filt', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.03820901416794198, 13.803688526153564]
['CO', 303, 'UO', 26, 'sha224sum', 'nm', 'O2', 'O2', 0.1444148936170213, 1.0161688327789307]
['BO', 74, 'CO', 171, 'dot', 'nohup', 'O1', 'O1', 0.18706697459584298, 0.019063234329223633]
['BO', 72, 'CO', 322, 'make', 'users', 'O2', 'O0', 0.12013939838591337, 0.25546693801879883]
['BO', 70, 'CO', 295, 'diff', 'id', 'O3', 'O2', 0.1160714285714286, 0.09771227836608887]
['CO', 260, 'UO', 8, 'sha256sum', 'c++filt', 'O2', 'O1', 0.14911741459559147, 1.0692391395568848]
['BO', 16, 'CO', 148, 'make', 'seq', 'O0', 'O1', 0.1218014329580348, 0.2629508972167969]
['CO', 45, 'UO', 72, 'split', 'strings', 'O3', 'O0', 0.14560138448226134, 2.3480348587036133]
['UO', 20, 'BO', 26, 'diff', 'gvmap', 'O1', 'O3', 0.03436828744385867, 0.2815415859222412]
['CO', 395, 'BO', 69, 'csplit', 'cmp', 'O0', 'O3', 0.08278647147905094, 0.06398677825927734]
['UO', 64, 'CO', 93, 'diff', 'nl', 'O3', 'O3', 0.11051574012056264, 0.09501266479492188]
['CO', 407, 'UO', 87, 'sha224sum', 'find', 'O0', 'O0', 0.1526411185914034, 0.7039408683776855]
['BO', 46, 'CO', 150, 'ruby', 'whoami', 'O3', 'O1', 0.10462878093492212, 13.10859990119934]
['BO', 25, 'UO', 53, 'dot', 'gprof', 'O3', 'O3', 0.14740964927897449, 0.833134651184082]
['CO', 412, 'BO', 29, 'tac', 'libvlc.so.12.0.0', 'O0', 'O2', 0.19368696301830401, 0.4852759838104248]
['CO', 341, 'BO', 71, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.1980714977472735, 7.008833885192871]
['UO', 1, 'CO', 232, 'xargs', 'tee', 'O1', 'O2', 0.1180942726811961, 0.07411956787109375]
['CO', 69, 'UO', 54, 'who', 'addr2line', 'O3', 'O3', 0.132753780675541, 0.8848311901092529]
['BO', 66, 'CO', 306, 'svn', 'sleep', 'O2', 'O2', 0.228439763001975, 0.4729936122894287]
['UO', 67, 'CO', 344, 'strip', 'expr', 'O0', 'O0', 0.13804779898905628, 3.0807061195373535]
['CO', 80, 'UO', 20, 'uname', 'diff', 'O3', 'O1', 0.14560728036401827, 0.10518383979797363]
