['CV', 290, 'BV', 79, 'tail', 'bash', 'V1', 'V3', 0.12410125505211655, 2.550473213195801]
['CV', 203, 'BV', 4, 'tail', 'geany', 'V0', 'V3', 0.18095849528039976, 23.888478755950928]
['BV', 54, 'CV', 125, 'lua', 'split', 'V3', 'V3', 0.11537016159338598, 0.42653536796569824]
['UV', 16, 'CV', 214, 'gprof', 'ls', 'V2', 'V0', 0.12331663012840588, 1.188443899154663]
['BV', 17, 'UV', 23, 'codeblocks', 'strip', 'V2', 'V3', 0.10665648977624231, 18.36703586578369]
['CV', 344, 'UV', 37, 'tac', 'locate', 'V1', 'V3', 0.08601503759398499, 0.12784194946289062]
['CV', 232, 'UV', 32, 'readlink', 'addr2line', 'V0', 'V3', 0.15254237288135597, 0.8578441143035889]
['CV', 337, 'UV', 51, 'comm', 'nm', 'V1', 'V1', 0.14664202094886014, 0.8915767669677734]
['CV', 207, 'BV', 32, 'sync', 'perl', 'V0', 'V0', 0.11219223284541835, 1.8404674530029297]
['CV', 265, 'BV', 56, 'basename', 'ssh', 'V1', 'V3', 0.15071580063626722, 1.2144410610198975]
['UV', 56, 'CV', 126, 'c++filt', 'whoami', 'V1', 'V3', 0.14409971305595404, 0.8252682685852051]
['CV', 154, 'BV', 18, 'uname', 'sort', 'V3', 'V3', 0.12431040823832296, 0.07815933227539062]
['UV', 66, 'CV', 123, 'diff3', 'chroot', 'V0', 'V3', 0.0485714285714286, 0.03958940505981445]
