['BO', 30, 'UO', 4, 'libvlccore.so.9.0.0', 'strip', 'O2', 'O1', 0.311516509308156, 12.853760719299316]
['CO', 126, 'BO', 83, 'pwd', 'lua', 'O1', 'O2', 0.8237467018469657, 0.581458568572998]
['CO', 230, 'BO', 68, 'pwd', 'git', 'O2', 'O3', 0.9772419611151439, 9.494569301605225]
['UO', 56, 'CO', 62, 'elfedit', 'printf', 'O3', 'O3', 0.15359261700725113, 0.03854203224182129]
['BO', 2, 'CO', 381, 'perl', 'who', 'O1', 'O0', 0.9504257827852745, 3.376275062561035]
['CO', 108, 'BO', 82, 'test', 'cp', 'O1', 'O3', 0.4627923458540042, 0.11720752716064453]
['CO', 7, 'BO', 80, 'fmt', 'ssh', 'O3', 'O3', 0.9085967130214918, 1.9425101280212402]
['UO', 32, 'CO', 277, 'strings', 'who', 'O2', 'O2', 0.8713976945244957, 1.2011239528656006]
['CO', 29, 'BO', 62, 'nproc', 'bash', 'O3', 'O1', 0.9465773498011304, 3.899430274963379]
['CO', 31, 'UO', 32, 'date', 'strings', 'O3', 'O2', 0.8019595942079251, 1.4546167850494385]
['CO', 101, 'UO', 12, 'rmdir', 'gprof', 'O3', 'O1', 0.8865030674846626, 1.6030621528625488]
['BO', 5, 'CO', 248, 'libgeany.so.0.0.0', 'sync', 'O1', 'O2', 0.9792345537026388, 36.89164209365845]
['CO', 413, 'UO', 73, 'rmdir', 'objcopy', 'O0', 'O0', 0.9287031958917086, 3.9802205562591553]
['CO', 81, 'UO', 2, 'cat', 'find', 'O3', 'O1', 0.7742150968603875, 0.530886173248291]
['CO', 63, 'BO', 39, 'logname', 'codeblocks', 'O3', 'O3', 0.9703242728932548, 15.736231088638306]
['CO', 119, 'UO', 16, 'join', 'size', 'O1', 'O1', 0.8550182714370698, 1.617018699645996]
['BO', 32, 'CO', 86, 'ruby', 'timeout', 'O2', 'O3', 0.971857761181363, 19.874496459960938]
['BO', 64, 'CO', 142, 'dot', 'sha1sum', 'O0', 'O1', 0.5392781316348195, 0.024174928665161133]
['CO', 118, 'BO', 35, 'stty', 'make', 'O1', 'O3', 0.6931575196008554, 0.3534665107727051]
['BO', 47, 'UO', 69, 'libvlc.so.12.0.0', 'as', 'O0', 'O0', 0.6473002523128679, 13.389850378036499]
['CO', 24, 'BO', 79, 'tee', 'bash', 'O3', 'O3', 0.9412387714274507, 3.617426633834839]
['UO', 15, 'CO', 166, 'elfedit', 'printf', 'O1', 'O1', 0.12326961107448908, 0.04569363594055176]
['UO', 67, 'CO', 308, 'strip', 'tac', 'O0', 'O2', 0.9351675837918959, 3.4224863052368164]
['CO', 153, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9763932752735509, 40.6230993270874]
['UO', 15, 'BO', 68, 'elfedit', 'git', 'O1', 'O3', 0.9703225806451613, 9.679689168930054]
['CO', 15, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8906733147804576, 40.69340968132019]
['BO', 80, 'UO', 32, 'ssh', 'strings', 'O3', 'O2', 0.18873106803735384, 4.583400249481201]
