['CO', 50, 'BO', 65, 'dircolors', 'gvmap', 'O3', 'O0', 0.7020057306590258, 0.2747538089752197]
['CO', 107, 'UO', 64, 'unlink', 'diff', 'O1', 'O3', 0.6089743589743589, 0.11958551406860352]
['UO', 41, 'CO', 186, 'locate', 'shuf', 'O2', 'O1', 0.36208991494532206, 0.1913585662841797]
['UO', 41, 'CO', 111, 'locate', 'fmt', 'O2', 'O1', 0.5281666097644248, 0.1512603759765625]
['BO', 71, 'CO', 247, 'libSDL2-2.0.so.0.16.0', 'paste', 'O0', 'O2', 0.9548731868691153, 8.791707277297974]
['CO', 60, 'UO', 86, 'base64', 'xargs', 'O3', 'O0', 0.41201533873029406, 0.11829352378845215]
['BO', 4, 'CO', 35, 'libgeany.so.0.0.0', 'base32', 'O2', 'O3', 0.9775552376410745, 38.25259327888489]
['CO', 55, 'BO', 14, 'cp', 'cmp', 'O3', 'O0', 0.38875799394143384, 0.13240385055541992]
['CO', 413, 'BO', 36, 'rmdir', 'cluster', 'O0', 'O2', 0.5804071997639422, 0.1865372657775879]
['CO', 156, 'BO', 74, 'sha256sum', 'dot', 'O1', 'O1', 0.542016806722689, 0.025258302688598633]
['CO', 99, 'UO', 35, 'sort', 'gprof', 'O3', 'O2', 0.6860231084606784, 2.1131157875061035]
['BO', 33, 'CO', 102, 'sort', 'mknod', 'O2', 'O3', 0.4864864864864865, 0.1092076301574707]
['CO', 355, 'UO', 50, 'chroot', 'strings', 'O0', 'O3', 0.8431479462013813, 1.3716766834259033]
['CO', 393, 'BO', 25, 'cat', 'dot', 'O0', 'O3', 0.5626880641925778, 0.029598236083984375]
['BO', 57, 'CO', 54, 'libvlccore.so.9.0.0', 'true', 'O3', 'O3', 0.9565234797229673, 5.842347145080566]
['CO', 58, 'BO', 62, 'df', 'bash', 'O3', 'O1', 0.8818148702796779, 5.153129816055298]
['CO', 219, 'UO', 2, 'groups', 'find', 'O2', 'O1', 0.8117204852212541, 0.5562276840209961]
['UO', 59, 'CO', 249, 'locate', 'echo', 'O3', 'O2', 0.6497840596780526, 0.11750483512878418]
['CO', 154, 'BO', 13, 'dircolors', 'ruby', 'O1', 'O1', 0.9784493926508466, 20.796943426132202]
['CO', 154, 'UO', 17, 'dircolors', 'objdump', 'O1', 'O1', 0.9210981530048546, 3.2401654720306396]
['UO', 34, 'CO', 98, 'ld', 'sleep', 'O2', 'O3', 0.9267241379310345, 2.4744467735290527]
['BO', 45, 'CO', 185, 'diff', 'cat', 'O2', 'O1', 0.5559502664298401, 0.12930727005004883]
['UO', 66, 'CO', 136, 'nm', 'expr', 'O0', 'O1', 0.8980410127162333, 3.079437017440796]
['UO', 54, 'CO', 412, 'addr2line', 'tac', 'O3', 'O0', 0.8375991348233598, 1.1794488430023193]
['UO', 43, 'CO', 162, 'find', 'df', 'O2', 'O1', 0.5659391331079004, 0.6245639324188232]
['UO', 63, 'CO', 332, 'cmp', 'mkfifo', 'O3', 'O0', 0.37033898305084745, 0.12061929702758789]
['UO', 67, 'CO', 286, 'strip', 'chcon', 'O0', 'O2', 0.8921933085501859, 3.8503103256225586]
['BO', 20, 'CO', 331, 'sort', 'dd', 'O1', 'O0', 0.1876994487960546, 0.21335768699645996]
['CO', 211, 'BO', 34, 'unlink', 'cp', 'O2', 'O2', 0.6178184845961698, 0.10544490814208984]
['BO', 16, 'CO', 98, 'make', 'sleep', 'O0', 'O3', 0.7879895561357703, 0.30228090286254883]
['BO', 22, 'CO', 29, 'perl', 'nproc', 'O0', 'O3', 0.9602838645418327, 4.9888014793396]
['UO', 74, 'CO', 198, 'ld', 'rm', 'O0', 'O1', 0.8951639078221356, 5.962316036224365]
['UO', 15, 'CO', 203, 'elfedit', 'sort', 'O1', 'O1', 0.4580645161290322, 0.1443619728088379]
['UO', 72, 'CO', 149, 'strings', 'split', 'O0', 'O1', 0.8867266918385129, 3.061551332473755]
['BO', 67, 'CO', 202, 'libSDL2-2.0.so.0.16.0', 'sleep', 'O1', 'O1', 0.9431757575757576, 7.152721881866455]
['BO', 50, 'CO', 60, 'perl', 'base64', 'O2', 'O3', 0.9575925036040365, 3.2767746448516846]
['BO', 61, 'CO', 35, 'git', 'base32', 'O1', 'O3', 0.9723662837348572, 8.7483549118042]
['UO', 18, 'CO', 251, 'diff3', 'chroot', 'O1', 'O2', 0.22104018912529555, 0.056536197662353516]
['CO', 238, 'BO', 70, 'expand', 'diff', 'O2', 'O3', 0.5930888575458392, 0.1221780776977539]
['BO', 4, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O2', 'O0', 0.9691353139492553, 41.75980496406555]
['UO', 20, 'CO', 383, 'diff', 'readlink', 'O1', 'O0', 0.42812205095942124, 0.18396854400634766]
['UO', 81, 'CO', 240, 'diff3', 'expr', 'O0', 'O2', 0.2354380812530592, 0.07860493659973145]
['UO', 46, 'CO', 365, 'readelf', 'chmod', 'O3', 'O0', 0.6283924843423799, 0.41961002349853516]
['CO', 65, 'BO', 59, 'false', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9828002887542764, 38.10517644882202]
['CO', 297, 'UO', 61, 'pathchk', 'find', 'O2', 'O3', 0.819323849990763, 0.41440677642822266]
['CO', 198, 'BO', 18, 'rm', 'libvlc.so.12.0.0', 'O1', 'O1', 0.5707166179755971, 0.7913162708282471]
['CO', 307, 'BO', 50, 'sort', 'perl', 'O2', 'O2', 0.8892753623188406, 5.756308555603027]
['CO', 183, 'BO', 37, 'link', 'gvmap', 'O1', 'O2', 0.6790341578327445, 0.17454242706298828]
['CO', 362, 'UO', 72, 'dircolors', 'strings', 'O0', 'O0', 0.9078947368421053, 3.435805320739746]
['UO', 3, 'CO', 177, 'nm', 'hostid', 'O1', 'O1', 0.9060056705902569, 1.4389386177062988]
['UO', 59, 'CO', 268, 'locate', 'base64', 'O3', 'O2', 0.5710014947683109, 0.12754535675048828]
['CO', 123, 'UO', 53, 'dd', 'gprof', 'O1', 'O3', 0.8026854429343376, 1.5652923583984375]
['BO', 64, 'CO', 259, 'dot', 'realpath', 'O0', 'O2', 0.5355249204665959, 0.022586345672607422]
