['BO', 63, 'CO', 76, 'cluster', 'md5sum', 'O0', 'O3', 0.6903679206283588, 0.24279046058654785]
['BO', 65, 'CO', 40, 'gvmap', 'sync', 'O0', 'O3', 0.739385065885798, 0.23239970207214355]
['CO', 178, 'BO', 61, 'unexpand', 'git', 'O1', 'O1', 0.9731772260944475, 9.599467277526855]
['BO', 27, 'CO', 146, 'perl', 'sum', 'O3', 'O1', 0.9571688052967715, 3.0710296630859375]
['BO', 2, 'UO', 33, 'perl', 'objcopy', 'O1', 'O2', 0.49156414058429854, 7.677734851837158]
['UO', 55, 'CO', 121, 'ar', 'stdbuf', 'O3', 'O1', 0.8725168422870963, 1.1493198871612549]
['BO', 10, 'CO', 263, 'openssl', 'cp', 'O3', 'O2', 0.8420303412372392, 11.127760887145996]
['CO', 395, 'BO', 76, 'csplit', 'openssl', 'O0', 'O2', 0.8973779952327186, 13.388006210327148]
['CO', 64, 'BO', 41, 'tty', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9429642786658773, 7.231430292129517]
['CO', 396, 'BO', 1, 'vdir', 'ssh', 'O0', 'O2', 0.6880672643242942, 3.9752397537231445]
['CO', 56, 'UO', 20, 'cut', 'diff', 'O3', 'O1', 0.500990099009901, 0.14114093780517578]
['CO', 20, 'UO', 72, 'mkfifo', 'strings', 'O3', 'O0', 0.9264531435349941, 3.014047861099243]
['UO', 86, 'CO', 344, 'xargs', 'expr', 'O0', 'O0', 0.2339312406576981, 0.15799760818481445]
['CO', 100, 'BO', 2, 'tac', 'perl', 'O3', 'O1', 0.9577612960917363, 3.831651449203491]
['UO', 17, 'CO', 346, 'objdump', 'tail', 'O1', 'O0', 0.8299138939087913, 3.003406047821045]
['CO', 130, 'UO', 59, 'kill', 'locate', 'O1', 'O3', 0.5389112166605773, 0.13351750373840332]
['UO', 33, 'CO', 326, 'objcopy', 'stty', 'O2', 'O0', 0.856996487119438, 1.604741096496582]
['BO', 66, 'CO', 216, 'svn', 'dir', 'O2', 'O2', 0.4902429311031462, 0.9123091697692871]
['UO', 65, 'CO', 25, 'sdiff', 'chgrp', 'O3', 'O3', 0.13872571170356984, 0.0677337646484375]
['UO', 81, 'CO', 133, 'diff3', 'nproc', 'O0', 'O1', 0.337953091684435, 0.07359027862548828]
['UO', 14, 'CO', 87, 'ar', 'id', 'O1', 'O3', 0.8765412070084361, 1.458606481552124]
['BO', 63, 'CO', 304, 'cluster', 'fold', 'O0', 'O2', 0.7651891891891892, 0.23123669624328613]
['CO', 149, 'UO', 82, 'split', 'cmp', 'O1', 'O0', 0.08231545406266594, 0.07211947441101074]
['CO', 280, 'BO', 39, 'head', 'codeblocks', 'O2', 'O3', 0.9649680711922652, 16.384207487106323]
['UO', 31, 'CO', 200, 'c++filt', 'fold', 'O2', 'O1', 0.8826325411334552, 1.1486666202545166]
['UO', 8, 'CO', 317, 'c++filt', 'basename', 'O1', 'O0', 0.8849526481936163, 1.316462755203247]
