['UO', 7, 'CO', 221, 'ranlib', 'printenv', 'O1', 'O2', 0.927030403998334, 1.4268279075622559]
['CO', 351, 'UO', 74, 'paste', 'ld', 'O0', 'O0', 0.9389008799601527, 5.955772161483765]
['CO', 267, 'UO', 11, 'tsort', 'ld', 'O2', 'O1', 0.9309216293612296, 2.9299464225769043]
['UO', 40, 'CO', 305, 'objdump', 'uniq', 'O2', 'O2', 0.9165559086969084, 2.299215793609619]
['CO', 2, 'UO', 32, 'stat', 'strings', 'O3', 'O2', 0.7823327615780445, 1.594559669494629]
['BO', 13, 'CO', 200, 'ruby', 'fold', 'O1', 'O1', 0.9804113016415451, 17.01565408706665]
['UO', 8, 'CO', 369, 'c++filt', 'od', 'O1', 'O0', 0.8074497603632389, 1.5219242572784424]
['CO', 161, 'BO', 10, 'od', 'openssl', 'O1', 'O3', 0.9146831268760833, 12.861662864685059]
['UO', 52, 'CO', 43, 'ld', 'chroot', 'O3', 'O3', 0.9074979139349147, 2.118987560272217]
['CO', 180, 'UO', 59, 'md5sum', 'locate', 'O1', 'O3', 0.4980447920369713, 0.14330530166625977]
['BO', 71, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O0', 'O2', 0.9222620735674368, 8.860840797424316]
['CO', 109, 'BO', 24, 'basename', 'cluster', 'O1', 'O3', 0.64898210980876, 0.1520519256591797]
['BO', 59, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O3', 'O0', 0.9761945726128098, 33.858028173446655]
['CO', 87, 'UO', 21, 'id', 'sdiff', 'O3', 'O1', 0.1950113378684808, 0.05199003219604492]
['UO', 5, 'CO', 89, 'readelf', 'pathchk', 'O1', 'O3', 0.7990675289517221, 0.34467601776123047]
['BO', 34, 'CO', 206, 'cp', 'mknod', 'O2', 'O1', 0.5179407176287052, 0.1075749397277832]
['BO', 0, 'CO', 47, 'codeblocks', 'numfmt', 'O1', 'O3', 0.954688026544314, 13.796477317810059]
['UO', 17, 'CO', 119, 'objdump', 'join', 'O1', 'O1', 0.9055736979022527, 2.665588855743408]
['CO', 37, 'BO', 45, 'truncate', 'diff', 'O3', 'O2', 0.5438225976768744, 0.12328529357910156]
['UO', 7, 'CO', 393, 'ranlib', 'cat', 'O1', 'O0', 0.87486830375233, 1.5237491130828857]
['BO', 70, 'CO', 364, 'diff', 'sha256sum', 'O3', 'O0', 0.4301075268817205, 0.13955163955688477]
['CO', 171, 'BO', 64, 'nohup', 'dot', 'O1', 'O0', 0.5028901734104047, 0.021023035049438477]
['CO', 25, 'UO', 67, 'chgrp', 'strip', 'O3', 'O0', 0.8828912144073984, 4.201393127441406]
['CO', 331, 'UO', 87, 'dd', 'find', 'O0', 'O0', 0.6561855044312249, 1.1832695007324219]
['CO', 399, 'BO', 74, 'id', 'dot', 'O0', 'O1', 0.6078431372549019, 0.03386688232421875]
['UO', 34, 'CO', 310, 'ld', 'mknod', 'O2', 'O2', 0.9364620938628159, 2.3233861923217773]
['UO', 55, 'CO', 102, 'ar', 'mknod', 'O3', 'O3', 0.8821180555555556, 1.0908622741699219]
['BO', 3, 'CO', 117, 'openssl', 'printenv', 'O1', 'O1', 0.9538261997405967, 9.904072761535645]
['BO', 40, 'CO', 295, 'lua', 'id', 'O0', 'O2', 0.8682622481333743, 0.8837788105010986]
['BO', 30, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O2', 'O1', 0.934621335343357, 6.157219648361206]
['BO', 28, 'UO', 4, 'ruby', 'strip', 'O0', 'O1', 0.6654800637958532, 27.923248529434204]
['CO', 30, 'UO', 22, 'expand', 'diff3', 'O3', 'O2', 0.18895705521472395, 0.04290008544921875]
['UO', 64, 'BO', 13, 'diff', 'ruby', 'O3', 'O1', 0.9327328221543959, 25.164684295654297]
['CO', 128, 'BO', 66, 'tee', 'svn', 'O1', 'O2', 0.7797609561752988, 0.7510948181152344]
['UO', 8, 'CO', 163, 'c++filt', 'tsort', 'O1', 'O1', 0.8806649168853893, 1.3229598999023438]
['CO', 415, 'BO', 10, 'ln', 'openssl', 'O0', 'O3', 0.8677004289013527, 14.587892293930054]
['BO', 12, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O2', 0.9002933120957246, 37.02056932449341]
['BO', 76, 'CO', 226, 'openssl', 'uptime', 'O2', 'O2', 0.9378977491137402, 10.119880199432373]
['CO', 414, 'UO', 37, 'mknod', 'ar', 'O0', 'O2', 0.7400846527668914, 2.071343421936035]
['UO', 1, 'BO', 41, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.8697179755009021, 9.223413228988647]
['CO', 152, 'UO', 19, 'ls', 'cmp', 'O1', 'O1', 0.4616467276565799, 0.13870978355407715]
['BO', 49, 'CO', 145, 'svn', 'echo', 'O0', 'O1', 0.8377488399940128, 0.6674337387084961]
['CO', 195, 'UO', 82, 'comm', 'cmp', 'O1', 'O0', 0.13827160493827162, 0.058217763900756836]
['UO', 33, 'CO', 348, 'objcopy', 'pinky', 'O2', 'O0', 0.8712389380530974, 1.6115198135375977]
['UO', 51, 'CO', 152, 'objcopy', 'ls', 'O3', 'O1', 0.7156802089777962, 1.7461354732513428]
['BO', 50, 'CO', 118, 'perl', 'stty', 'O2', 'O1', 0.94852171833428, 3.243364095687866]
['UO', 68, 'BO', 46, 'readelf', 'ruby', 'O0', 'O3', 0.770711411227065, 48.78582715988159]
['CO', 305, 'UO', 4, 'uniq', 'strip', 'O2', 'O1', 0.8956270328876039, 1.9382092952728271]
['CO', 118, 'UO', 16, 'stty', 'size', 'O1', 'O1', 0.8537579617834395, 1.6425247192382812]
['BO', 50, 'CO', 156, 'perl', 'sha256sum', 'O2', 'O1', 0.9563586157217037, 3.234827756881714]
['UO', 51, 'CO', 331, 'objcopy', 'dd', 'O3', 'O0', 0.7960535791444621, 1.5647921562194824]
['BO', 33, 'CO', 409, 'sort', 'uniq', 'O2', 'O0', 0.34885361552028216, 0.1458604335784912]
['CO', 103, 'BO', 44, 'ln', 'cmp', 'O3', 'O2', 0.3220338983050848, 0.07327127456665039]
['UO', 59, 'CO', 107, 'locate', 'unlink', 'O3', 'O1', 0.5900339750849377, 0.12195396423339844]
['CO', 91, 'BO', 10, 'comm', 'openssl', 'O3', 'O3', 0.9351392924286447, 11.483391046524048]
['BO', 70, 'UO', 52, 'diff', 'ld', 'O3', 'O3', 0.7531215772179628, 3.318232297897339]
['BO', 77, 'UO', 0, 'libSDL2-2.0.so.0.16.0', 'locate', 'O3', 'O1', 0.804782737968823, 7.809688091278076]
['BO', 1, 'CO', 48, 'ssh', 'ls', 'O2', 'O3', 0.7537304800462695, 2.309292793273926]
['UO', 0, 'CO', 109, 'locate', 'basename', 'O1', 'O1', 0.6029207232267038, 0.14817047119140625]
['UO', 36, 'CO', 334, 'addr2line', 'pwd', 'O2', 'O0', 0.8616139099420419, 1.2545490264892578]
['CO', 54, 'BO', 41, 'true', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9458444510327108, 7.276468276977539]
['BO', 56, 'CO', 261, 'libvlc.so.12.0.0', 'chmod', 'O3', 'O2', 0.6556737588652483, 0.563265323638916]
['CO', 359, 'UO', 1, 'numfmt', 'xargs', 'O0', 'O1', 0.13386454183266938, 0.12895870208740234]
['BO', 25, 'CO', 200, 'dot', 'fold', 'O3', 'O1', 0.5086505190311419, 0.02158045768737793]
['CO', 74, 'BO', 79, 'unexpand', 'bash', 'O3', 'O3', 0.9439839729740347, 3.726423740386963]
['CO', 123, 'BO', 43, 'dd', 'diff', 'O1', 'O1', 0.31683453237410064, 0.19596099853515625]
['UO', 41, 'CO', 381, 'locate', 'who', 'O2', 'O0', 0.4115058157812008, 0.1814255714416504]
['CO', 199, 'BO', 26, 'sha224sum', 'gvmap', 'O1', 'O3', 0.5953046394633874, 0.1747264862060547]
['UO', 42, 'CO', 27, 'xargs', 'wc', 'O2', 'O3', 0.22702205882352944, 0.09393072128295898]
['UO', 13, 'CO', 5, 'addr2line', 'basename', 'O1', 'O3', 0.8953498478922207, 1.3263278007507324]
['CO', 401, 'BO', 73, 'pathchk', 'cluster', 'O0', 'O1', 0.6054938632378726, 0.1756575107574463]
['BO', 82, 'CO', 397, 'cp', '[', 'O3', 'O0', 0.38922558922558925, 0.13268184661865234]
['CO', 222, 'BO', 66, 'stty', 'svn', 'O2', 'O2', 0.760958688111006, 0.7585785388946533]
['CO', 128, 'UO', 49, 'tee', 'c++filt', 'O1', 'O3', 0.8712078913083938, 1.1692159175872803]
['UO', 41, 'CO', 267, 'locate', 'tsort', 'O2', 'O2', 0.5817409766454352, 0.14006423950195312]
['UO', 3, 'CO', 353, 'nm', 'echo', 'O1', 'O0', 0.8959063327920691, 1.4181065559387207]
['BO', 55, 'CO', 45, 'make', 'split', 'O1', 'O3', 0.6140909895556735, 0.3228113651275635]
['UO', 28, 'CO', 370, 'readelf', 'df', 'O2', 'O0', 0.5331728196896737, 0.5041928291320801]
['BO', 18, 'UO', 74, 'libvlc.so.12.0.0', 'ld', 'O1', 'O0', 0.6752860165692357, 13.397157669067383]
