['BO', 59, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O3', 'O0', 0.9768438839690835, 34.34796380996704]
['UO', 46, 'BO', 69, 'readelf', 'cmp', 'O3', 'O3', 0.7716535433070866, 0.30133771896362305]
['CO', 282, 'UO', 3, 'unexpand', 'nm', 'O2', 'O1', 0.8991524698227892, 1.569627046585083]
['BO', 59, 'CO', 354, 'libgeany.so.0.0.0', 'sum', 'O3', 'O0', 0.9730776438253482, 34.73273205757141]
['CO', 222, 'UO', 67, 'stty', 'strip', 'O2', 'O0', 0.9244813690861151, 4.109393835067749]
['CO', 395, 'BO', 0, 'csplit', 'codeblocks', 'O0', 'O1', 0.936963781145646, 19.70630979537964]
['UO', 77, 'BO', 42, 'ar', 'cmp', 'O0', 'O1', 0.9140739076715714, 3.0773024559020996]
['CO', 336, 'UO', 77, 'tee', 'ar', 'O0', 'O0', 0.9124628247573088, 3.541830539703369]
['BO', 11, 'UO', 48, 'ssh', 'ranlib', 'O1', 'O3', 0.17943594866671786, 4.948715686798096]
['CO', 220, 'BO', 2, 'ptx', 'perl', 'O2', 'O1', 0.9457354209687117, 4.232294797897339]
['BO', 12, 'CO', 371, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O0', 0.8981179666278618, 38.6487934589386]
['CO', 407, 'BO', 31, 'sha224sum', 'bash', 'O0', 'O2', 0.9266241417137285, 4.533544540405273]
['CO', 12, 'UO', 2, 'ptx', 'find', 'O3', 'O1', 0.645385685577369, 0.6142072677612305]
['BO', 12, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O0', 'O0', 0.8985968521357734, 39.16963839530945]
['CO', 396, 'UO', 3, 'vdir', 'nm', 'O0', 'O1', 0.5967753544950695, 2.8748295307159424]
['CO', 332, 'BO', 3, 'mkfifo', 'openssl', 'O0', 'O1', 0.8672836955623502, 15.379805326461792]
['CO', 311, 'BO', 53, 'ln', 'bash', 'O2', 'O0', 0.9112180493078077, 6.68336820602417]
['CO', 338, 'BO', 59, 'kill', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9767820264096627, 39.62859916687012]
['BO', 0, 'CO', 65, 'codeblocks', 'false', 'O1', 'O3', 0.9713471543227628, 13.959948539733887]
['CO', 357, 'UO', 24, 'split', 'diff', 'O0', 'O2', 0.28471411901983656, 0.18944883346557617]
['BO', 7, 'CO', 339, 'sort', 'wc', 'O0', 'O0', 0.4641968482167542, 0.25557994842529297]
['CO', 52, 'BO', 48, 'sha256sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9561715786402101, 16.13120436668396]
['CO', 211, 'UO', 77, 'unlink', 'ar', 'O2', 'O0', 0.9475428571428571, 3.329238176345825]
['CO', 36, 'BO', 10, 'pinky', 'openssl', 'O3', 'O3', 0.9315050966008445, 11.975577592849731]
['BO', 62, 'CO', 307, 'bash', 'sort', 'O1', 'O2', 0.8481535954207576, 4.346574068069458]
['BO', 78, 'CO', 370, 'ssh', 'df', 'O0', 'O0', 0.8326299635526568, 3.371966600418091]
['UO', 54, 'CO', 37, 'addr2line', 'truncate', 'O3', 'O3', 0.8801401438318274, 1.050706148147583]
['UO', 47, 'CO', 46, 'as', 'whoami', 'O3', 'O3', 0.9310710498409331, 1.8696410655975342]
['CO', 161, 'UO', 70, 'od', 'ranlib', 'O1', 'O0', 0.8882365972529906, 3.6591291427612305]
['CO', 275, 'BO', 73, 'nohup', 'cluster', 'O2', 'O1', 0.6655538694992412, 0.1605081558227539]
['UO', 12, 'CO', 172, 'gprof', 'yes', 'O1', 'O1', 0.9086899705978438, 1.4603121280670166]
['UO', 43, 'CO', 99, 'find', 'sort', 'O2', 'O3', 0.4317834836918806, 0.6720840930938721]
['CO', 208, 'UO', 0, 'sha384sum', 'locate', 'O2', 'O1', 0.5657492354740061, 0.1638956069946289]
['CO', 64, 'UO', 6, 'tty', 'as', 'O3', 'O1', 0.9357563632321885, 2.762951612472534]
['UO', 74, 'CO', 108, 'ld', 'test', 'O0', 'O1', 0.9370516276176654, 5.417382717132568]
['CO', 263, 'BO', 82, 'cp', 'cp', 'O2', 'O3', 0.05941088367448821, 0.21239948272705078]
['UO', 55, 'CO', 187, 'ar', 'csplit', 'O3', 'O1', 0.8355770044873423, 1.2276196479797363]
['CO', 211, 'BO', 14, 'unlink', 'cmp', 'O2', 'O0', 0.33430870519385514, 0.04232478141784668]
['CO', 164, 'UO', 33, 'base64', 'objcopy', 'O1', 'O2', 0.8969796650717703, 1.758488655090332]
['CO', 387, 'BO', 34, 'mv', 'cp', 'O0', 'O2', 0.2538699690402477, 0.39987730979919434]
['CO', 265, 'UO', 25, 'od', 'sdiff', 'O2', 'O2', 0.11040676175382991, 0.06195068359375]
['BO', 62, 'UO', 56, 'bash', 'elfedit', 'O1', 'O3', 0.9404031551270815, 3.555021047592163]
['CO', 160, 'BO', 76, 'cut', 'openssl', 'O1', 'O2', 0.9382288863257722, 12.526568412780762]
['UO', 3, 'BO', 65, 'nm', 'gvmap', 'O1', 'O0', 0.4564062192481795, 2.3568551540374756]
['UO', 67, 'CO', 181, 'strip', 'env', 'O0', 'O1', 0.9391448192891875, 3.5906848907470703]
['CO', 169, 'UO', 48, 'false', 'ranlib', 'O1', 'O3', 0.9081147685266678, 1.2241647243499756]
['BO', 67, 'CO', 101, 'libSDL2-2.0.so.0.16.0', 'rmdir', 'O1', 'O3', 0.9323112525310964, 7.000483989715576]
['CO', 294, 'UO', 10, 'timeout', 'objcopy', 'O2', 'O1', 0.8965866358113972, 1.9374990463256836]
