['CO', 16, 'UO', 14, 'dirname', 'ar', 'O3', 'O1', 0.9054443620789062, 1.6005859375]
['CO', 20, 'BO', 78, 'mkfifo', 'ssh', 'O3', 'O0', 0.9373447559182846, 3.0914692878723145]
['BO', 33, 'CO', 132, 'sort', 'factor', 'O2', 'O1', 0.31048663468128856, 0.14083409309387207]
['UO', 12, 'CO', 32, 'gprof', 'expr', 'O1', 'O3', 0.8614097968936678, 1.5054643154144287]
['CO', 339, 'BO', 83, 'wc', 'lua', 'O0', 'O2', 0.7527577025484975, 0.7106096744537354]
['UO', 24, 'CO', 396, 'diff', 'vdir', 'O2', 'O0', 0.15888599479062315, 0.42031264305114746]
['CO', 145, 'UO', 54, 'echo', 'addr2line', 'O1', 'O3', 0.8988638480163904, 1.1814219951629639]
['BO', 39, 'CO', 207, 'codeblocks', 'ln', 'O3', 'O1', 0.9318726204583848, 15.86880087852478]
['CO', 138, 'UO', 53, 'tail', 'gprof', 'O1', 'O3', 0.8078910671807071, 1.5909862518310547]
['CO', 64, 'UO', 16, 'tty', 'size', 'O3', 'O1', 0.8994082840236687, 1.5131704807281494]
['UO', 84, 'CO', 238, 'sdiff', 'expand', 'O0', 'O2', 0.3510758776896943, 0.06554293632507324]
['UO', 26, 'CO', 122, 'nm', 'uptime', 'O2', 'O1', 0.8573922150462558, 1.3421032428741455]
['CO', 202, 'BO', 34, 'sleep', 'cp', 'O1', 'O2', 0.538948200869909, 0.12081360816955566]
['UO', 36, 'BO', 6, 'addr2line', 'codeblocks', 'O2', 'O0', 0.6714503528820006, 135.63438034057617]
['UO', 33, 'CO', 196, 'objcopy', 'sha512sum', 'O2', 'O1', 0.8916057850007455, 1.6169114112854004]
['CO', 68, 'UO', 29, 'yes', 'as', 'O3', 'O2', 0.9322522938426915, 2.567323684692383]
['CO', 223, 'UO', 18, 'join', 'diff3', 'O2', 'O1', 0.16154276131917267, 0.062445878982543945]
['UO', 56, 'CO', 335, 'elfedit', 'pr', 'O3', 'O0', 0.34043583535108957, 0.09255242347717285]
['CO', 283, 'BO', 77, 'mv', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.808220342585115, 10.45656681060791]
['BO', 26, 'CO', 90, 'gvmap', 'tr', 'O3', 'O3', 0.569349079923098, 0.15701532363891602]
['CO', 401, 'BO', 1, 'pathchk', 'ssh', 'O0', 'O2', 0.91425143650944, 2.285411834716797]
['UO', 29, 'CO', 235, 'as', 'wc', 'O2', 'O2', 0.9157798375100126, 2.245530366897583]
['UO', 17, 'CO', 399, 'objdump', 'id', 'O1', 'O0', 0.9009441775716416, 2.7293882369995117]
['BO', 26, 'CO', 366, 'gvmap', 'true', 'O3', 'O0', 0.6597848211689444, 0.15363383293151855]
['UO', 87, 'BO', 26, 'find', 'gvmap', 'O0', 'O3', 0.4177005789909016, 1.1471118927001953]
['CO', 349, 'BO', 68, 'truncate', 'git', 'O0', 'O3', 0.9713631829118009, 9.963721513748169]
['BO', 21, 'CO', 57, 'cp', 'od', 'O1', 'O3', 0.31748071979434445, 0.1385200023651123]
['BO', 47, 'CO', 145, 'libvlc.so.12.0.0', 'echo', 'O0', 'O1', 0.8129645635263613, 0.7333700656890869]
['BO', 75, 'CO', 91, 'gvmap', 'comm', 'O1', 'O3', 0.5899809420092568, 0.15697407722473145]
['CO', 58, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.8879147194005639, 7.70814061164856]
['CO', 16, 'UO', 79, 'dirname', 'size', 'O3', 'O0', 0.9321071618664617, 3.0837385654449463]
['CO', 48, 'UO', 80, 'ls', 'objdump', 'O3', 'O0', 0.8410427356829844, 7.779747724533081]
['UO', 31, 'CO', 271, 'c++filt', 'logname', 'O2', 'O2', 0.9148382298252138, 1.1310064792633057]
['BO', 70, 'UO', 27, 'diff', 'strip', 'O3', 'O2', 0.6982470226147465, 2.442225933074951]
['BO', 12, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O0', 'O0', 0.8739033827529403, 40.23936700820923]
['CO', 310, 'BO', 72, 'mknod', 'make', 'O2', 'O2', 0.7999621140367494, 0.3102405071258545]
['BO', 63, 'CO', 197, 'cluster', 'nl', 'O0', 'O1', 0.71069709022399, 0.2555086612701416]
['UO', 0, 'CO', 113, 'locate', 'du', 'O1', 'O1', 0.1236714975845411, 0.2886958122253418]
['CO', 270, 'BO', 23, 'printf', 'git', 'O2', 'O2', 0.9739501723597618, 9.512594223022461]
['CO', 344, 'UO', 27, 'expr', 'strip', 'O0', 'O2', 0.8491473546130301, 2.0111608505249023]
['CO', 258, 'BO', 82, 'dircolors', 'cp', 'O2', 'O3', 0.5395522388059701, 0.11277294158935547]
['CO', 54, 'UO', 67, 'true', 'strip', 'O3', 'O0', 0.9448969331322272, 3.7545151710510254]
['UO', 74, 'CO', 48, 'ld', 'ls', 'O0', 'O3', 0.8327840552416823, 6.00229024887085]
['UO', 78, 'CO', 300, 'elfedit', 'sha512sum', 'O0', 'O2', 0.16448726772195454, 0.046204328536987305]
['UO', 30, 'CO', 316, 'ranlib', 'test', 'O2', 'O0', 0.8543267624457066, 1.4189558029174805]
['BO', 52, 'CO', 345, 'svn', 'chown', 'O3', 'O0', 0.6014064697609002, 0.8078744411468506]
['CO', 37, 'BO', 74, 'truncate', 'dot', 'O3', 'O1', 0.49543378995433796, 0.017192602157592773]
['BO', 26, 'CO', 168, 'gvmap', 'tty', 'O3', 'O1', 0.677343520423156, 0.14800047874450684]
