['CO', 148, 'UO', 0, 'seq', 'locate', 'O1', 'O1', 0.5199472469502143, 0.17326569557189941]
['CO', 386, 'UO', 78, 'unexpand', 'elfedit', 'O0', 'O0', 0.11610486891385774, 0.056113243103027344]
['CO', 58, 'UO', 81, 'df', 'diff3', 'O3', 'O0', 0.09760589318600366, 0.12043571472167969]
['UO', 35, 'BO', 6, 'gprof', 'codeblocks', 'O2', 'O0', 0.6495664179451779, 137.69028306007385]
['CO', 387, 'BO', 68, 'mv', 'git', 'O0', 'O3', 0.8797000895255148, 15.55385971069336]
['UO', 87, 'CO', 299, 'find', 'comm', 'O0', 'O2', 0.8353289385174223, 0.7969872951507568]
['UO', 80, 'CO', 315, 'objdump', 'unlink', 'O0', 'O0', 0.9508457079329786, 5.407792091369629]
['UO', 8, 'CO', 382, 'c++filt', 'b2sum', 'O1', 'O0', 0.81999830666328, 1.6109685897827148]
['CO', 16, 'UO', 38, 'dirname', 'elfedit', 'O3', 'O2', 0.20637329286798178, 0.03341174125671387]
['BO', 52, 'CO', 378, 'svn', 'runcon', 'O3', 'O0', 0.7682831748011851, 0.688971996307373]
['UO', 34, 'CO', 317, 'ld', 'basename', 'O2', 'O0', 0.9216622880343922, 2.5370049476623535]
['UO', 60, 'CO', 275, 'xargs', 'nohup', 'O3', 'O2', 0.41113490364025695, 0.07848167419433594]
['CO', 395, 'BO', 46, 'csplit', 'ruby', 'O0', 'O3', 0.9628901524316477, 22.86357593536377]
['CO', 140, 'UO', 26, 'pinky', 'nm', 'O1', 'O2', 0.8684811237928007, 1.517115831375122]
['CO', 15, 'UO', 3, 'join', 'nm', 'O3', 'O1', 0.8382767191383595, 1.659120798110962]
['BO', 78, 'CO', 103, 'ssh', 'ln', 'O0', 'O3', 0.8611219322165953, 3.200129508972168]
['CO', 195, 'BO', 73, 'comm', 'cluster', 'O1', 'O1', 0.5901591895803184, 0.18274593353271484]
['CO', 181, 'UO', 18, 'env', 'diff3', 'O1', 'O1', 0.2597560975609756, 0.05517697334289551]
['BO', 80, 'CO', 302, 'ssh', 'rm', 'O3', 'O2', 0.8526109099834326, 1.9400441646575928]
['BO', 12, 'CO', 381, 'libgeany.so.0.0.0', 'who', 'O0', 'O0', 0.8918046101485149, 39.48968267440796]
['BO', 37, 'UO', 72, 'gvmap', 'strings', 'O2', 'O0', 0.7017865562948604, 5.0760979652404785]
['CO', 390, 'UO', 47, 'chcon', 'as', 'O0', 'O3', 0.8214047566125806, 2.961639165878296]
['CO', 386, 'BO', 9, 'unexpand', 'git', 'O0', 'O0', 0.9692061196975322, 10.25398588180542]
['CO', 183, 'UO', 68, 'link', 'readelf', 'O1', 'O0', 0.8773595442868313, 0.76706862449646]
['BO', 4, 'CO', 37, 'libgeany.so.0.0.0', 'truncate', 'O2', 'O3', 0.9792856574655954, 38.12758207321167]
['BO', 29, 'CO', 352, 'libvlc.so.12.0.0', 'sync', 'O2', 'O0', 0.7412546413914403, 0.6261444091796875]
['UO', 0, 'CO', 164, 'locate', 'base64', 'O1', 'O1', 0.5402606080855329, 0.16109776496887207]
['CO', 171, 'UO', 38, 'nohup', 'elfedit', 'O1', 'O2', 0.13935018050541514, 0.04069828987121582]
['CO', 352, 'BO', 48, 'sync', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.9611457327598818, 16.887023210525513]
['CO', 267, 'BO', 6, 'tsort', 'codeblocks', 'O2', 'O0', 0.9775343586691712, 44.69791913032532]
['CO', 397, 'BO', 40, '[', 'lua', 'O0', 'O0', 0.8191606021333865, 1.1769468784332275]
['CO', 249, 'UO', 76, 'echo', 'addr2line', 'O2', 'O0', 0.9464446175043432, 3.109057903289795]
['CO', 338, 'BO', 44, 'kill', 'cmp', 'O0', 'O2', 0.10026737967914434, 0.0501093864440918]
['CO', 366, 'BO', 64, 'true', 'dot', 'O0', 'O0', 0.47536945812807874, 0.021676301956176758]
['CO', 169, 'BO', 43, 'false', 'diff', 'O1', 'O1', 0.6260744985673352, 0.14255881309509277]
['CO', 209, 'BO', 25, 'touch', 'dot', 'O2', 'O3', 0.6362166531932094, 0.03363299369812012]
['CO', 193, 'UO', 20, 'pathchk', 'diff', 'O1', 'O1', 0.5969046781568765, 0.1471240520477295]
['CO', 161, 'BO', 62, 'od', 'bash', 'O1', 'O1', 0.9168040897097626, 4.590086936950684]
['CO', 408, 'UO', 34, 'fold', 'ld', 'O0', 'O2', 0.9122994652406418, 2.8418784141540527]
['CO', 17, 'BO', 61, 'stdbuf', 'git', 'O3', 'O1', 0.9702070259808809, 10.046185731887817]
['BO', 36, 'CO', 316, 'cluster', 'test', 'O2', 'O0', 0.5104342921601804, 0.1833641529083252]
['UO', 2, 'CO', 20, 'find', 'mkfifo', 'O1', 'O3', 0.7936507936507936, 0.46332788467407227]
['CO', 359, 'UO', 65, 'numfmt', 'sdiff', 'O0', 'O3', 0.13221601489757917, 0.0832374095916748]
['BO', 3, 'CO', 383, 'openssl', 'readlink', 'O1', 'O0', 0.9226547543075941, 11.178162336349487]
['UO', 86, 'CO', 355, 'xargs', 'chroot', 'O0', 'O0', 0.31230031948881787, 0.1477670669555664]
['UO', 80, 'BO', 73, 'objdump', 'cluster', 'O0', 'O1', 0.7991212010252655, 6.418302536010742]
['UO', 25, 'BO', 41, 'sdiff', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.90602922674925, 8.132164716720581]
['BO', 65, 'CO', 396, 'gvmap', 'vdir', 'O0', 'O0', 0.2085730724971231, 0.6066627502441406]
['CO', 187, 'BO', 9, 'csplit', 'git', 'O1', 'O0', 0.9621899458743819, 10.442850351333618]
['UO', 62, 'CO', 67, 'diff3', 'nohup', 'O3', 'O3', 0.20555877243775333, 0.04520702362060547]
['BO', 65, 'CO', 407, 'gvmap', 'sha224sum', 'O0', 'O0', 0.6442421844083894, 0.2930278778076172]
['UO', 8, 'CO', 170, 'c++filt', 'runcon', 'O1', 'O1', 0.9056737588652483, 1.3333508968353271]
['CO', 106, 'BO', 26, 'stat', 'gvmap', 'O1', 'O3', 0.37807822308063743, 0.23101210594177246]
['CO', 221, 'BO', 39, 'printenv', 'codeblocks', 'O2', 'O3', 0.9773923815422731, 16.377857208251953]
['CO', 80, 'UO', 46, 'uname', 'readelf', 'O3', 'O3', 0.8182383097716327, 0.3108808994293213]
['CO', 146, 'BO', 65, 'sum', 'gvmap', 'O1', 'O0', 0.7021712412945514, 0.30300474166870117]
['UO', 85, 'BO', 3, 'locate', 'openssl', 'O0', 'O1', 0.7629022820362785, 20.581671476364136]
['BO', 51, 'CO', 150, 'lua', 'whoami', 'O1', 'O1', 0.8576883910386965, 0.5606896877288818]
['CO', 31, 'UO', 80, 'date', 'objdump', 'O3', 'O0', 0.9110851808634772, 6.405550479888916]
['CO', 243, 'BO', 8, 'base32', 'cp', 'O2', 'O0', 0.690738255033557, 0.25512075424194336]
['CO', 68, 'BO', 28, 'yes', 'ruby', 'O3', 'O0', 0.982171331379368, 19.375929355621338]
['CO', 128, 'UO', 34, 'tee', 'ld', 'O1', 'O2', 0.9175405147759771, 2.8034582138061523]
['UO', 51, 'CO', 16, 'objcopy', 'dirname', 'O3', 'O3', 0.9121435142594296, 1.300994634628296]
['BO', 35, 'CO', 130, 'make', 'kill', 'O3', 'O1', 0.7635486265775798, 0.2951085567474365]
['CO', 206, 'UO', 15, 'mknod', 'elfedit', 'O1', 'O1', 0.1507246376811594, 0.040909528732299805]
['UO', 21, 'CO', 353, 'sdiff', 'echo', 'O1', 'O0', 0.2518610421836228, 0.056352853775024414]
['BO', 55, 'UO', 56, 'make', 'elfedit', 'O1', 'O3', 0.7289293849658315, 0.28548192977905273]
['CO', 41, 'BO', 47, 'echo', 'libvlc.so.12.0.0', 'O3', 'O0', 0.8072620891412837, 0.8134286403656006]
['BO', 72, 'UO', 1, 'make', 'xargs', 'O2', 'O1', 0.551853666503348, 0.41273975372314453]
