['CO', 330, 'BO', 56, 'uptime', 'libvlc.so.12.0.0', 'O0', 'O3', 0.6686411775264764, 0.741631031036377]
['CO', 173, 'UO', 38, 'who', 'elfedit', 'O1', 'O2', 0.15653298835705043, 0.048072099685668945]
['UO', 27, 'CO', 55, 'strip', 'cp', 'O2', 'O3', 0.7221694915254238, 1.8995306491851807]
['BO', 2, 'CO', 348, 'perl', 'pinky', 'O1', 'O0', 0.954163603906332, 3.409829616546631]
['BO', 64, 'CO', 318, 'dot', 'mkdir', 'O0', 'O0', 0.7797443461160275, 0.08783316612243652]
['CO', 304, 'UO', 26, 'fold', 'nm', 'O2', 'O2', 0.9028969957081545, 1.347177505493164]
['CO', 189, 'UO', 0, '[', 'locate', 'O1', 'O1', 0.4808866045615162, 0.17265629768371582]
['UO', 71, 'CO', 287, 'c++filt', 'link', 'O0', 'O2', 0.9450238109590693, 2.690018653869629]
['CO', 316, 'BO', 13, 'test', 'ruby', 'O0', 'O1', 0.9734865760588647, 19.877904176712036]
['BO', 73, 'CO', 76, 'cluster', 'md5sum', 'O1', 'O3', 0.5718776793369534, 0.15376067161560059]
['CO', 298, 'UO', 53, 'tr', 'gprof', 'O2', 'O3', 0.8852641493278535, 1.2559876441955566]
['BO', 45, 'CO', 198, 'diff', 'rm', 'O2', 'O1', 0.26593911545089033, 0.17419934272766113]
['UO', 47, 'CO', 28, 'as', 'factor', 'O3', 'O3', 0.8830355604067329, 1.931063175201416]
['CO', 305, 'BO', 4, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9770524107682039, 43.97200059890747]
['BO', 82, 'CO', 77, 'cp', 'env', 'O3', 'O3', 0.5208256542572798, 0.09552907943725586]
['UO', 17, 'CO', 375, 'objdump', 'logname', 'O1', 'O0', 0.9303616484440707, 2.646237850189209]
['UO', 52, 'CO', 262, 'ld', 'true', 'O3', 'O2', 0.9481341693553297, 2.0580174922943115]
['CO', 202, 'UO', 23, 'sleep', 'cmp', 'O1', 'O2', 0.14925373134328357, 0.03934121131896973]
['CO', 305, 'UO', 27, 'uniq', 'strip', 'O2', 'O2', 0.892311134312775, 1.7761235237121582]
