['CV', 12, 'UV', 41, 'stty', 'cmp', 'V2', 'V3', 0.09827357237715806, 0.037914276123046875]
['UV', 20, 'CV', 344, 'size', 'tac', 'V2', 'V1', 0.793597304128054, 1.2132549285888672]
['BV', 54, 'CV', 323, 'lua', 'unexpand', 'V3', 'V1', 0.8847995621836092, 0.42394232749938965]
['CV', 210, 'UV', 47, 'chroot', 'sdiff', 'V0', 'V1', 0.46947674418604657, 0.03254437446594238]
['CV', 28, 'BV', 35, 'chown', 'libvlccore.so', 'V2', 'V2', 0.9028423772609819, 5.089053630828857]
['CV', 299, 'BV', 78, 'split', 'make', 'V1', 'V2', 0.7897466586874127, 0.2531614303588867]
['BV', 74, 'CV', 198, 'git', 'factor', 'V1', 'V0', 0.9804589332268596, 5.494259834289551]
['CV', 297, 'UV', 5, 'chroot', 'diff', 'V1', 'V2', 0.7100115074798619, 0.09203100204467773]
['BV', 40, 'CV', 30, 'lua', 'pinky', 'V2', 'V2', 0.8107228745225633, 0.4095489978790283]
['BV', 45, 'CV', 317, 'svn', 'yes', 'V3', 'V1', 0.896611642050391, 0.6570463180541992]
['UV', 16, 'CV', 231, 'gprof', 'who', 'V2', 'V0', 0.9065125176744573, 1.2065012454986572]
['UV', 30, 'CV', 258, 'ld', 'rmdir', 'V3', 'V0', 0.9569500182415177, 2.091235637664795]
['CV', 339, 'UV', 9, 'rm', 'readelf', 'V1', 'V2', 0.6371152962792834, 0.15557575225830078]
['BV', 62, 'CV', 30, 'diff', 'pinky', 'V0', 'V2', 0.29615991583377177, 0.056520938873291016]
['CV', 150, 'UV', 84, 'mv', 'ar', 'V3', 'V0', 0.6489256700326475, 1.8573682308197021]
['CV', 194, 'BV', 77, 'tee', 'perl', 'V0', 'V2', 0.9723881327719573, 2.9184837341308594]
['UV', 48, 'CV', 160, 'locate', 'shred', 'V1', 'V3', 0.24559654370222672, 0.11112618446350098]
['CV', 79, 'BV', 50, 'fold', 'sort', 'V2', 'V0', 0.27572016460905346, 0.033766984939575195]
['CV', 202, 'BV', 22, 'chown', 'cmp', 'V0', 'V3', 0.05483028720626637, 0.0403292179107666]
['CV', 249, 'UV', 51, 'tr', 'nm', 'V0', 'V1', 0.9032060801956845, 1.2457382678985596]
['BV', 4, 'CV', 324, 'geany', 'mv', 'V3', 'V1', 0.9556670561550622, 31.575037956237793]
['UV', 20, 'CV', 64, 'size', 'md5sum', 'V2', 'V2', 0.895477207977208, 1.1156237125396729]
['BV', 18, 'CV', 23, 'sort', 'wc', 'V3', 'V2', 0.513667021654242, 0.10142230987548828]
['UV', 53, 'CV', 105, 'readelf', 'pwd', 'V1', 'V3', 0.6204851752021563, 0.11127424240112305]
['UV', 78, 'CV', 338, 'c++filt', 'nl', 'V0', 'V1', 0.7869158878504673, 1.045328140258789]
['CV', 2, 'BV', 41, 'unlink', 'libvlccore.so', 'V2', 'V1', 0.9487262521588946, 3.407538414001465]
['CV', 213, 'BV', 46, 'whoami', 'cluster', 'V0', 'V3', 0.7679664840476957, 0.12825655937194824]
['CV', 283, 'UV', 56, 'kill', 'c++filt', 'V1', 'V1', 0.9198764534883721, 1.1449358463287354]
['CV', 8, 'UV', 86, 'du', 'size', 'V2', 'V0', 0.7575757575757576, 1.50337815284729]
['BV', 83, 'CV', 78, 'git', 'rm', 'V2', 'V2', 0.9596152720604015, 8.095812559127808]
['CV', 74, 'BV', 59, 'pathchk', 'make', 'V2', 'V1', 0.7941415785191213, 0.2391352653503418]
['BV', 31, 'CV', 50, 'codeblocks', 'cksum', 'V0', 'V2', 0.9734248698925921, 11.32636046409607]
['BV', 7, 'CV', 331, 'libSDL2-2.0.so', 'vdir', 'V0', 'V1', 0.829977041653001, 4.075510263442993]
['BV', 20, 'CV', 180, 'sort', 'fmt', 'V1', 'V0', 0.4359637774902976, 0.039055824279785156]
['BV', 76, 'CV', 256, 'diff', 'sort', 'V2', 'V0', 0.4273015873015873, 0.11783480644226074]
['CV', 200, 'UV', 24, 'date', 'readelf', 'V0', 'V3', 0.7976787954830615, 0.32822132110595703]
['BV', 29, 'CV', 120, 'perl', 'sync', 'V3', 'V3', 0.9553460679732076, 2.930741310119629]
['BV', 76, 'CV', 151, 'diff', 'md5sum', 'V2', 'V3', 0.4948073701842546, 0.10661935806274414]
['CV', 157, 'UV', 15, 'vdir', 'ld', 'V3', 'V2', 0.7626929721897119, 3.166015148162842]
['BV', 74, 'UV', 52, 'git', 'strip', 'V1', 'V1', 0.5067984062606086, 11.892950057983398]
['UV', 75, 'CV', 146, 'readelf', 'head', 'V0', 'V3', 0.5607348505621058, 0.10565185546875]
['UV', 48, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V1', 'V3', 0.8410846061438133, 9.329921245574951]
['UV', 79, 'CV', 220, 'strings', 'cut', 'V0', 'V0', 0.907191265060241, 0.9645228385925293]
['BV', 16, 'UV', 73, 'libvlc.so', 'nm', 'V3', 'V0', 0.37768325912141953, 2.7399837970733643]
['BV', 10, 'CV', 177, 'gvmap', 'test', 'V2', 'V0', 0.7336504161712247, 0.1268599033355713]
['BV', 39, 'CV', 276, 'svn', 'uptime', 'V1', 'V1', 0.8205697373288938, 0.4251224994659424]
['UV', 65, 'CV', 291, 'objdump', 'pinky', 'V1', 'V1', 0.9275815824765311, 1.7896430492401123]
['CV', 78, 'UV', 51, 'rm', 'nm', 'V2', 'V1', 0.8264587525150905, 1.4176127910614014]
['UV', 59, 'CV', 291, 'ld', 'pinky', 'V1', 'V1', 0.9305870110791455, 1.8686246871948242]
['CV', 65, 'UV', 9, 'env', 'readelf', 'V2', 'V2', 0.7705487956295008, 0.1263108253479004]
['CV', 343, 'BV', 3, 'sort', 'diff', 'V1', 'V1', 0.28278145695364243, 0.11403942108154297]
['CV', 28, 'BV', 46, 'chown', 'cluster', 'V2', 'V3', 0.45815677966101687, 0.17577028274536133]
['BV', 52, 'CV', 53, 'libSDL2-2.0.so', 'tty', 'V2', 'V2', 0.9503830718715797, 4.82948899269104]
['BV', 55, 'CV', 151, 'codeblocks', 'md5sum', 'V3', 'V3', 0.9607873648175523, 13.310595035552979]
['UV', 27, 'CV', 112, 'c++filt', 'expand', 'V3', 'V3', 0.8725338667151559, 1.083268404006958]
['BV', 24, 'UV', 20, 'git', 'size', 'V0', 'V2', 0.5460457579052859, 8.989017248153687]
['CV', 306, 'BV', 14, 'cp', 'openssl', 'V1', 'V3', 0.8862060237914452, 9.021373510360718]
['CV', 310, 'UV', 67, 'tsort', 'cmp', 'V1', 'V0', 0.271043771043771, 0.026826858520507812]
['UV', 6, 'CV', 247, 'sdiff', 'shred', 'V2', 'V0', 0.18028985507246376, 0.05227851867675781]
['BV', 35, 'CV', 70, 'libvlccore.so', 'vdir', 'V2', 'V2', 0.8546469081595317, 4.714248418807983]
['UV', 15, 'BV', 70, 'ld', 'ssh', 'V2', 'V0', 0.2871712534768549, 14.76735806465149]
['BV', 80, 'UV', 72, 'cluster', 'find', 'V1', 'V0', 0.09623586130168738, 0.3441345691680908]
['UV', 78, 'BV', 40, 'c++filt', 'lua', 'V0', 'V2', 0.22715658839274855, 2.195340633392334]
['CV', 346, 'UV', 67, 'mknod', 'cmp', 'V1', 'V0', 0.28559249786871277, 0.026447534561157227]
['UV', 7, 'CV', 79, 'nm', 'fold', 'V2', 'V2', 0.9053410893707033, 1.1294894218444824]
['BV', 12, 'CV', 244, 'sort', 'vdir', 'V2', 'V0', 0.10164835164835162, 0.11759805679321289]
['CV', 159, 'UV', 7, 'id', 'nm', 'V3', 'V2', 0.8684528954191876, 1.3554160594940186]
['CV', 109, 'UV', 86, 'kill', 'size', 'V3', 'V0', 0.8943678801880028, 1.1466236114501953]
['CV', 167, 'UV', 65, 'uniq', 'objdump', 'V3', 'V1', 0.8885065381968341, 2.1223785877227783]
['CV', 194, 'UV', 13, 'tee', 'strings', 'V0', 'V2', 0.9229858898497951, 1.1974163055419922]
