['CO', 163, 'BO', 60, 'tsort', 'openssl', 'O1', 'O0', 0.9468847352024922, 14.092530250549316]
['BO', 67, 'CO', 128, 'libSDL2-2.0.so.0.16.0', 'tee', 'O1', 'O1', 0.9332400752496262, 7.009186744689941]
['BO', 13, 'CO', 227, 'ruby', 'dd', 'O1', 'O2', 0.9661335272022294, 17.274386644363403]
['UO', 80, 'CO', 260, 'objdump', 'sha256sum', 'O0', 'O2', 0.9492977862413711, 5.172093152999878]
['UO', 1, 'BO', 58, 'xargs', 'svn', 'O1', 'O1', 0.604731679169071, 0.9965221881866455]
['CO', 113, 'UO', 6, 'du', 'as', 'O1', 'O1', 0.8092665697070435, 3.714413642883301]
['CO', 32, 'BO', 54, 'expr', 'lua', 'O3', 'O3', 0.7714961872206153, 0.4683680534362793]
['CO', 218, 'UO', 77, 'users', 'ar', 'O2', 'O0', 0.9390112078284121, 3.317692995071411]
['UO', 26, 'CO', 266, 'nm', 'df', 'O2', 'O2', 0.7733522206482794, 1.4543588161468506]
['BO', 46, 'CO', 187, 'ruby', 'csplit', 'O3', 'O1', 0.9705185814913773, 17.325074672698975]
['UO', 46, 'CO', 163, 'readelf', 'tsort', 'O3', 'O1', 0.7911818738518065, 0.29698896408081055]
['CO', 90, 'UO', 33, 'tr', 'objcopy', 'O3', 'O2', 0.8827632262372932, 1.714925765991211]
['CO', 11, 'UO', 75, 'groups', 'gprof', 'O3', 'O0', 0.924984535792611, 3.295306921005249]
['UO', 34, 'CO', 304, 'ld', 'fold', 'O2', 'O2', 0.9347159603246168, 2.362427234649658]
['CO', 353, 'BO', 25, 'echo', 'dot', 'O0', 'O3', 0.5011990407673861, 0.022886037826538086]
['UO', 13, 'BO', 70, 'addr2line', 'diff', 'O1', 'O3', 0.657498860355569, 1.754486322402954]
['UO', 24, 'CO', 15, 'diff', 'join', 'O2', 'O3', 0.38762626262626265, 0.1331188678741455]
['BO', 57, 'CO', 77, 'libvlccore.so.9.0.0', 'env', 'O3', 'O3', 0.9486463857102986, 5.7828755378723145]
['UO', 38, 'CO', 114, 'elfedit', 'users', 'O2', 'O1', 0.14369073668854848, 0.039975881576538086]
['UO', 1, 'CO', 195, 'xargs', 'comm', 'O1', 'O1', 0.31957773512476007, 0.09443330764770508]
['CO', 250, 'UO', 49, 'sum', 'c++filt', 'O2', 'O3', 0.8810102899906455, 1.151109218597412]
['UO', 36, 'BO', 76, 'addr2line', 'openssl', 'O2', 'O2', 0.42605283018867923, 32.68700098991394]
['UO', 86, 'CO', 394, 'xargs', 'shuf', 'O0', 'O0', 0.11862115579587695, 0.20486903190612793]
['UO', 84, 'CO', 411, 'sdiff', 'sort', 'O0', 'O0', 0.3850169668493866, 0.28490161895751953]
['CO', 13, 'UO', 60, 'printenv', 'xargs', 'O3', 'O3', 0.42324093816631136, 0.07154583930969238]
['BO', 23, 'UO', 55, 'git', 'ar', 'O2', 'O3', 0.6459309826721759, 14.330739736557007]
['UO', 68, 'CO', 295, 'readelf', 'id', 'O0', 'O2', 0.8558021419896212, 0.6876416206359863]
['UO', 14, 'CO', 225, 'ar', 'stdbuf', 'O1', 'O2', 0.8939009414654113, 1.5057485103607178]
['UO', 77, 'BO', 30, 'ar', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.19250639756651056, 21.878886938095093]
['UO', 7, 'CO', 410, 'ranlib', 'sleep', 'O1', 'O0', 0.8908050674295055, 1.5100300312042236]
['UO', 59, 'CO', 397, 'locate', '[', 'O3', 'O0', 0.4007316262055205, 0.16050004959106445]
['UO', 21, 'CO', 307, 'sdiff', 'sort', 'O1', 'O2', 0.31754205286646076, 0.1448044776916504]
['UO', 16, 'CO', 154, 'size', 'dircolors', 'O1', 'O1', 0.8783237242922296, 1.3822479248046875]
['BO', 16, 'UO', 60, 'make', 'xargs', 'O0', 'O3', 0.5918747092572492, 0.42333102226257324]
['UO', 8, 'CO', 358, 'c++filt', 'whoami', 'O1', 'O0', 0.8894260349828601, 1.3354058265686035]
['CO', 291, 'UO', 72, 'csplit', 'strings', 'O2', 'O0', 0.897528772565286, 3.28922438621521]
['UO', 53, 'BO', 20, 'gprof', 'sort', 'O3', 'O1', 0.693558282208589, 1.5380675792694092]
['CO', 309, 'BO', 69, 'rmdir', 'cmp', 'O2', 'O3', 0.14610143830431488, 0.035964012145996094]
['CO', 162, 'BO', 22, 'df', 'perl', 'O1', 'O0', 0.91294839473924, 7.2688469886779785]
['UO', 50, 'CO', 400, 'strings', 'shred', 'O3', 'O0', 0.7724372979113868, 1.2616336345672607]
['CO', 47, 'UO', 21, 'numfmt', 'sdiff', 'O3', 'O1', 0.16675546084176873, 0.056052446365356445]
['UO', 67, 'CO', 75, 'strip', 'mv', 'O0', 'O3', 0.7855462804962413, 4.160978078842163]
['CO', 94, 'BO', 33, 'rm', 'sort', 'O3', 'O2', 0.2474874371859297, 0.14716100692749023]
['CO', 29, 'UO', 63, 'nproc', 'cmp', 'O3', 'O3', 0.1522988505747127, 0.035245418548583984]
['UO', 39, 'CO', 277, 'size', 'who', 'O2', 'O2', 0.8723404255319149, 1.2162117958068848]
['UO', 81, 'BO', 47, 'diff3', 'libvlc.so.12.0.0', 'O0', 'O0', 0.6192088656302909, 1.116539478302002]
['CO', 104, 'BO', 15, 'sha384sum', 'diff', 'O1', 'O0', 0.5737320433890355, 0.23414945602416992]
