['UO', 44, 'CO', 11, 'nm', 'groups', 'O3', 'O3', 0.8793915248098515, 1.0896437168121338]
['CO', 118, 'BO', 65, 'stty', 'gvmap', 'O1', 'O0', 0.6580207501995211, 0.31121277809143066]
['BO', 56, 'CO', 123, 'libvlc.so.12.0.0', 'dd', 'O3', 'O1', 0.60677038810053, 0.6431229114532471]
['UO', 39, 'CO', 399, 'size', 'id', 'O2', 'O0', 0.8422024804292374, 1.3193345069885254]
['BO', 42, 'CO', 130, 'cmp', 'kill', 'O1', 'O1', 0.108416547788873, 0.04404902458190918]
['UO', 40, 'CO', 250, 'objdump', 'sum', 'O2', 'O2', 0.9261281142923514, 2.3718645572662354]
['CO', 233, 'UO', 44, 'chgrp', 'nm', 'O2', 'O3', 0.8070526774053113, 1.4239308834075928]
['CO', 380, 'UO', 59, 'yes', 'locate', 'O0', 'O3', 0.5405998536942209, 0.14279651641845703]
['BO', 40, 'CO', 199, 'lua', 'sha224sum', 'O0', 'O1', 0.8538219470104558, 0.953202486038208]
['CO', 233, 'BO', 61, 'chgrp', 'git', 'O2', 'O1', 0.95697003825317, 11.022263288497925]
['UO', 58, 'BO', 74, 'objdump', 'dot', 'O3', 'O1', 0.9732540861812778, 1.898012399673462]
['BO', 12, 'CO', 369, 'libgeany.so.0.0.0', 'od', 'O0', 'O0', 0.8845524070042958, 40.140607833862305]
['CO', 157, 'BO', 57, 'chmod', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9150370341341066, 7.307428598403931]
['CO', 103, 'BO', 64, 'ln', 'dot', 'O3', 'O0', 0.7289776164549304, 0.04529762268066406]
['UO', 76, 'CO', 411, 'addr2line', 'sort', 'O0', 'O0', 0.7209868699703516, 3.782357931137085]
['UO', 30, 'CO', 255, 'ranlib', 'numfmt', 'O2', 'O2', 0.8721538202057683, 1.3355331420898438]
['CO', 214, 'BO', 45, 'mkdir', 'diff', 'O2', 'O2', 0.48726655348047543, 0.1441938877105713]
['BO', 0, 'UO', 74, 'codeblocks', 'ld', 'O1', 'O0', 0.2753566222833652, 41.493611097335815]
['BO', 46, 'CO', 214, 'ruby', 'mkdir', 'O3', 'O2', 0.9770013403192397, 17.653095722198486]
['BO', 73, 'UO', 75, 'cluster', 'gprof', 'O1', 'O0', 0.7238531648119241, 5.238384246826172]
['UO', 24, 'CO', 299, 'diff', 'comm', 'O2', 'O2', 0.563169164882227, 0.11933064460754395]
['UO', 31, 'CO', 93, 'c++filt', 'nl', 'O2', 'O3', 0.8681179138321995, 1.1685130596160889]
['BO', 45, 'CO', 340, 'diff', 'factor', 'O2', 'O0', 0.21304227687206412, 0.20363712310791016]
['UO', 12, 'CO', 388, 'gprof', 'md5sum', 'O1', 'O0', 0.8615580691413095, 1.5424489974975586]
['CO', 125, 'UO', 23, 'mktemp', 'cmp', 'O1', 'O2', 0.13506658211794553, 0.053888797760009766]
['BO', 1, 'CO', 159, 'ssh', 'cp', 'O2', 'O1', 0.7646374112443255, 2.386455774307251]
['CO', 1, 'UO', 23, 'touch', 'cmp', 'O3', 'O2', 0.22075172048703018, 0.09829878807067871]
['UO', 78, 'CO', 237, 'elfedit', 'nproc', 'O0', 'O2', 0.2218073188946975, 0.040429115295410156]
['BO', 83, 'CO', 329, 'lua', 'stdbuf', 'O2', 'O0', 0.7832817337461301, 0.534747838973999]
['UO', 4, 'CO', 304, 'strip', 'fold', 'O1', 'O2', 0.9204745166959578, 1.675405740737915]
['CO', 405, 'UO', 24, 'nl', 'diff', 'O0', 'O2', 0.45033112582781465, 0.15701985359191895]
['BO', 68, 'CO', 282, 'git', 'unexpand', 'O3', 'O2', 0.9768928991761475, 8.44554877281189]
['CO', 153, 'BO', 82, 'nice', 'cp', 'O1', 'O3', 0.5587457499055535, 0.1112213134765625]
['BO', 0, 'CO', 324, 'codeblocks', 'ptx', 'O1', 'O0', 0.9308631859268174, 15.072843074798584]
['CO', 159, 'BO', 10, 'cp', 'openssl', 'O1', 'O3', 0.8359818388195233, 15.518625020980835]
['BO', 70, 'CO', 265, 'diff', 'od', 'O3', 'O2', 0.4238035264483627, 0.1279752254486084]
['UO', 83, 'CO', 216, 'diff', 'dir', 'O0', 'O2', 0.17824773413897277, 0.3421781063079834]
['BO', 22, 'CO', 298, 'perl', 'tr', 'O0', 'O2', 0.9583333333333334, 4.863086700439453]
['BO', 76, 'CO', 35, 'openssl', 'base32', 'O2', 'O3', 0.9396374829001368, 9.961681127548218]
['CO', 48, 'UO', 25, 'ls', 'sdiff', 'O3', 'O2', 0.371943371943372, 0.1402273178100586]
['BO', 70, 'CO', 348, 'diff', 'pinky', 'O3', 'O0', 0.44252873563218387, 0.14538359642028809]
['CO', 364, 'UO', 44, 'sha256sum', 'nm', 'O0', 'O3', 0.8398936170212766, 1.3809418678283691]
['BO', 5, 'CO', 211, 'libgeany.so.0.0.0', 'unlink', 'O1', 'O2', 0.9803417027601528, 37.596123695373535]
['CO', 413, 'BO', 10, 'rmdir', 'openssl', 'O0', 'O3', 0.9387816259257674, 12.640170335769653]
['UO', 81, 'CO', 4, 'diff3', 'test', 'O0', 'O3', 0.27227227227227235, 0.07243776321411133]
['CO', 187, 'UO', 85, 'csplit', 'locate', 'O1', 'O0', 0.5246882793017457, 0.3092200756072998]
['CO', 396, 'UO', 77, 'vdir', 'ar', 'O0', 'O0', 0.7177703860497934, 6.089915990829468]
['BO', 31, 'CO', 147, 'bash', 'chroot', 'O2', 'O1', 0.9390717644653445, 3.6687533855438232]
['BO', 35, 'CO', 242, 'make', 'tail', 'O3', 'O2', 0.6262194078384392, 0.33821630477905273]
['CO', 189, 'UO', 14, '[', 'ar', 'O1', 'O1', 0.8692630898513252, 1.756629467010498]
['CO', 248, 'UO', 4, 'sync', 'strip', 'O2', 'O1', 0.9273903138090689, 1.855262279510498]
['CO', 376, 'BO', 27, 'tty', 'perl', 'O0', 'O3', 0.963265546020924, 3.6914751529693604]
['CO', 20, 'BO', 81, 'mkfifo', 'sort', 'O3', 'O3', 0.5494186046511628, 0.10543131828308105]
['BO', 49, 'CO', 398, 'svn', 'timeout', 'O0', 'O0', 0.7354063604240283, 0.8051578998565674]
['CO', 197, 'BO', 50, 'nl', 'perl', 'O1', 'O2', 0.9582394471984378, 3.8919358253479004]
['UO', 14, 'BO', 52, 'ar', 'svn', 'O1', 'O3', 0.35940128792713355, 3.4128975868225098]
['BO', 7, 'CO', 8, 'sort', 'dir', 'O0', 'O3', 0.17553414327607875, 0.33933568000793457]
['CO', 176, 'BO', 37, 'head', 'gvmap', 'O1', 'O2', 0.5729655172413793, 0.1787726879119873]
['CO', 398, 'BO', 37, 'timeout', 'gvmap', 'O0', 'O2', 0.5068710359408034, 0.216902494430542]
['CO', 362, 'BO', 82, 'dircolors', 'cp', 'O0', 'O3', 0.44924481910783287, 0.13003849983215332]
['CO', 182, 'BO', 43, 'chcon', 'diff', 'O1', 'O1', 0.29780564263322884, 0.19733786582946777]
['UO', 14, 'CO', 356, 'ar', 'seq', 'O1', 'O0', 0.8680555555555556, 1.5558357238769531]
['CO', 164, 'UO', 55, 'base64', 'ar', 'O1', 'O3', 0.8804753230982739, 1.3153116703033447]
['CO', 140, 'BO', 30, 'pinky', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.940549144448866, 7.13349175453186]
['UO', 7, 'CO', 49, 'ranlib', 'nice', 'O1', 'O3', 0.900279283719402, 1.4522008895874023]
['BO', 82, 'CO', 253, 'cp', 'split', 'O3', 'O2', 0.39803855258708154, 0.12400054931640625]
