['CO', 411, 'BO', 80, 'sort', 'ssh', 'O0', 'O3', 0.7021084676964708, 3.4840314388275146]
['BO', 78, 'CO', 409, 'ssh', 'uniq', 'O0', 'O0', 0.9076477635782748, 2.8847222328186035]
['UO', 40, 'CO', 93, 'objdump', 'nl', 'O2', 'O3', 0.9160023108030041, 2.3317747116088867]
['CO', 188, 'UO', 70, 'vdir', 'ranlib', 'O1', 'O0', 0.7842501568709475, 4.936708688735962]
['UO', 50, 'CO', 126, 'strings', 'pwd', 'O3', 'O1', 0.8763992968822277, 1.0674505233764648]
['BO', 27, 'CO', 406, 'perl', 'rm', 'O3', 'O0', 0.9124037443105373, 3.666644811630249]
['BO', 57, 'UO', 47, 'libvlccore.so.9.0.0', 'as', 'O3', 'O3', 0.23130818226359628, 13.179978370666504]
['UO', 60, 'CO', 389, 'xargs', 'env', 'O3', 'O0', 0.2739528165623495, 0.09702014923095703]
['CO', 298, 'BO', 82, 'tr', 'cp', 'O2', 'O3', 0.5096963044273692, 0.11361932754516602]
['UO', 81, 'CO', 66, 'diff3', 'runcon', 'O0', 'O3', 0.395477109762824, 0.06193876266479492]
['CO', 129, 'UO', 46, 'chgrp', 'readelf', 'O1', 'O3', 0.6631130063965884, 0.43100452423095703]
['BO', 0, 'CO', 166, 'codeblocks', 'printf', 'O1', 'O1', 0.9605834481682743, 14.316601276397705]
['BO', 2, 'CO', 380, 'perl', 'yes', 'O1', 'O0', 0.966501994557895, 3.3307387828826904]
['UO', 24, 'BO', 78, 'diff', 'ssh', 'O2', 'O0', 0.7946189604169601, 4.948441028594971]
['UO', 86, 'CO', 396, 'xargs', 'vdir', 'O0', 'O0', 0.2769022962629446, 0.4158289432525635]
['CO', 402, 'UO', 50, 'tr', 'strings', 'O0', 'O3', 0.8214638527166592, 1.3889873027801514]
['UO', 8, 'BO', 0, 'c++filt', 'codeblocks', 'O1', 'O1', 0.5583579286289241, 46.9292197227478]
['CO', 81, 'UO', 67, 'cat', 'strip', 'O3', 'O0', 0.9314959057319753, 3.979931354522705]
['BO', 75, 'CO', 215, 'gvmap', 'fmt', 'O1', 'O2', 0.661345496009122, 0.1569807529449463]
['CO', 239, 'BO', 40, 'date', 'lua', 'O2', 'O0', 0.800374421125234, 1.1482813358306885]
['UO', 74, 'CO', 35, 'ld', 'base32', 'O0', 'O3', 0.9413182611586735, 5.278950929641724]
['CO', 260, 'UO', 46, 'sha256sum', 'readelf', 'O2', 'O3', 0.8030513176144244, 0.3317723274230957]
['UO', 48, 'CO', 124, 'ranlib', 'mkfifo', 'O3', 'O1', 0.8989226591924323, 1.1563878059387207]
['UO', 33, 'CO', 227, 'objcopy', 'dd', 'O2', 'O2', 0.8380296993842811, 1.6487619876861572]
['CO', 209, 'UO', 23, 'touch', 'cmp', 'O2', 'O2', 0.16987542468856176, 0.0577850341796875]
['UO', 87, 'BO', 14, 'find', 'cmp', 'O0', 'O0', 0.765040755595808, 0.8524091243743896]
['CO', 343, 'UO', 24, 'date', 'diff', 'O0', 'O2', 0.2541404911479155, 0.194990873336792]
['CO', 82, 'BO', 64, 'shuf', 'dot', 'O3', 'O0', 0.6455696202531646, 0.030964374542236328]
['BO', 83, 'CO', 104, 'lua', 'sha384sum', 'O2', 'O1', 0.8096609503861762, 0.5309305191040039]
['CO', 309, 'UO', 48, 'rmdir', 'ranlib', 'O2', 'O3', 0.900587358639432, 1.2664077281951904]
['BO', 56, 'CO', 274, 'libvlc.so.12.0.0', 'runcon', 'O3', 'O2', 0.8283464566929134, 0.48905396461486816]
['CO', 346, 'UO', 59, 'tail', 'locate', 'O0', 'O3', 0.14756756756756761, 0.23460745811462402]
['CO', 197, 'BO', 49, 'nl', 'svn', 'O1', 'O0', 0.7968681399092639, 0.8602211475372314]
['CO', 205, 'BO', 82, 'rmdir', 'cp', 'O1', 'O3', 0.5163542815141492, 0.11527156829833984]
['UO', 65, 'BO', 5, 'sdiff', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9630544993662864, 46.75205707550049]
['CO', 131, 'UO', 31, 'wc', 'c++filt', 'O1', 'O2', 0.8514922689679971, 1.442833662033081]
['BO', 71, 'CO', 365, 'libSDL2-2.0.so.0.16.0', 'chmod', 'O0', 'O0', 0.8904884951396579, 9.869330644607544]
['CO', 108, 'UO', 45, 'test', 'strip', 'O1', 'O3', 0.8852520976642225, 1.5346994400024414]
['CO', 376, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9036212566402677, 41.72531223297119]
['CO', 251, 'UO', 20, 'chroot', 'diff', 'O2', 'O1', 0.5500170706725845, 0.15119361877441406]
['BO', 10, 'CO', 17, 'openssl', 'stdbuf', 'O3', 'O3', 0.9348884901307357, 10.130607604980469]
['UO', 47, 'CO', 181, 'as', 'env', 'O3', 'O1', 0.9285714285714286, 1.8755416870117188]
['UO', 27, 'CO', 149, 'strip', 'split', 'O2', 'O1', 0.8572683355292051, 1.6114506721496582]
['BO', 68, 'CO', 232, 'git', 'tee', 'O3', 'O2', 0.9764276749294006, 8.48630428314209]
['UO', 2, 'CO', 413, 'find', 'rmdir', 'O1', 'O0', 0.7626724281203258, 0.5213711261749268]
['BO', 9, 'CO', 7, 'git', 'fmt', 'O0', 'O3', 0.9716717206299521, 8.503854751586914]
['CO', 238, 'BO', 78, 'expand', 'ssh', 'O2', 'O0', 0.9413737045315993, 3.05186128616333]
['UO', 7, 'CO', 232, 'ranlib', 'tee', 'O1', 'O2', 0.9012163050624589, 1.4778778553009033]
['UO', 51, 'BO', 34, 'objcopy', 'cp', 'O3', 'O2', 0.7331575660861722, 1.7253925800323486]
['BO', 16, 'CO', 246, 'make', 'sha1sum', 'O0', 'O2', 0.7850808555033907, 0.3116569519042969]
['BO', 59, 'CO', 18, 'libgeany.so.0.0.0', 'uptime', 'O3', 'O3', 0.9734474572035486, 34.288352251052856]
['BO', 24, 'CO', 63, 'cluster', 'logname', 'O3', 'O3', 0.6482907299045273, 0.12759613990783691]
['BO', 9, 'CO', 192, 'git', 'shred', 'O0', 'O1', 0.9583390008355518, 9.354696035385132]
['BO', 25, 'CO', 239, 'dot', 'date', 'O3', 'O2', 0.64, 0.03238177299499512]
['CO', 332, 'UO', 8, 'mkfifo', 'c++filt', 'O0', 'O1', 0.7400032378177108, 2.0985937118530273]
['BO', 83, 'CO', 309, 'lua', 'rmdir', 'O2', 'O2', 0.8483754512635379, 0.4932553768157959]
['CO', 268, 'BO', 15, 'base64', 'diff', 'O2', 'O0', 0.6466257668711657, 0.2031257152557373]
['UO', 45, 'CO', 223, 'strip', 'join', 'O3', 'O2', 0.8856797217601694, 1.3546218872070312]
['CO', 47, 'UO', 46, 'numfmt', 'readelf', 'O3', 'O3', 0.7406305770374777, 0.3370811939239502]
['UO', 58, 'BO', 11, 'objdump', 'ssh', 'O3', 'O1', 0.10363052916378279, 6.8238911628723145]
['BO', 24, 'CO', 191, 'cluster', 'id', 'O3', 'O1', 0.5668229777256741, 0.15156197547912598]
['CO', 172, 'UO', 35, 'yes', 'gprof', 'O1', 'O2', 0.9055902719135281, 1.4039695262908936]
['UO', 23, 'CO', 181, 'cmp', 'env', 'O2', 'O1', 0.13005143277002207, 0.03859138488769531]
['BO', 64, 'CO', 21, 'dot', 'mktemp', 'O0', 'O3', 0.5893675527039414, 0.024914979934692383]
['BO', 24, 'CO', 318, 'cluster', 'mkdir', 'O3', 'O0', 0.20491071428571428, 0.2807471752166748]
['CO', 364, 'UO', 57, 'sha256sum', 'size', 'O0', 'O3', 0.8376337319068596, 1.3368775844573975]
['CO', 305, 'BO', 68, 'uniq', 'git', 'O2', 'O3', 0.971748870150451, 9.995394945144653]
['UO', 8, 'CO', 81, 'c++filt', 'cat', 'O1', 'O3', 0.8801819135910443, 1.3477180004119873]
['BO', 16, 'CO', 86, 'make', 'timeout', 'O0', 'O3', 0.7229117745722912, 0.33945727348327637]
['UO', 27, 'BO', 3, 'strip', 'openssl', 'O2', 'O1', 0.381685230847717, 32.80629539489746]
['CO', 215, 'BO', 28, 'fmt', 'ruby', 'O2', 'O0', 0.9819305464870857, 19.668646335601807]
['CO', 86, 'BO', 42, 'timeout', 'cmp', 'O3', 'O1', 0.09535759096612295, 0.046834707260131836]
['UO', 83, 'CO', 183, 'diff', 'link', 'O0', 'O1', 0.660377358490566, 0.18507790565490723]
['BO', 37, 'CO', 276, 'gvmap', 'yes', 'O2', 'O2', 0.7198067632850241, 0.13885712623596191]
['CO', 386, 'BO', 52, 'unexpand', 'svn', 'O0', 'O3', 0.7559615980179623, 0.7640488147735596]
['UO', 4, 'CO', 54, 'strip', 'true', 'O1', 'O3', 0.9197716126198667, 1.669511318206787]
['UO', 74, 'BO', 9, 'ld', 'git', 'O0', 'O0', 0.36661830311741495, 40.369619607925415]
['UO', 32, 'CO', 411, 'strings', 'sort', 'O2', 'O0', 0.5953038674033149, 1.8814408779144287]
['UO', 22, 'CO', 107, 'diff3', 'unlink', 'O2', 'O1', 0.2665764546684709, 0.04293322563171387]
['UO', 27, 'CO', 332, 'strip', 'mkfifo', 'O2', 'O0', 0.775274609948926, 1.9102773666381836]
['UO', 65, 'CO', 379, 'sdiff', 'nohup', 'O3', 'O0', 0.17572254335260118, 0.0592799186706543]
['CO', 31, 'BO', 50, 'date', 'perl', 'O3', 'O2', 0.9322325319420153, 4.212754487991333]
['BO', 16, 'CO', 363, 'make', 'realpath', 'O0', 'O0', 0.6837789076595047, 0.38976025581359863]
['UO', 21, 'BO', 51, 'sdiff', 'lua', 'O1', 'O1', 0.7583132530120482, 0.7250783443450928]
['UO', 56, 'CO', 127, 'elfedit', 'pr', 'O3', 'O1', 0.2667386609071274, 0.06529712677001953]
['CO', 5, 'BO', 0, 'basename', 'codeblocks', 'O3', 'O1', 0.9685680720532568, 15.63295602798462]
