['UO', 44, 'CO', 199, 'nm', 'sha224sum', 'O3', 'O1', 0.8690561959654178, 1.186201810836792]
['CO', 312, 'BO', 39, 'sha384sum', 'codeblocks', 'O0', 'O3', 0.953943845153393, 18.460758209228516]
['CO', 222, 'BO', 42, 'stty', 'cmp', 'O2', 'O1', 0.06692913385826771, 0.04483509063720703]
['CO', 63, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.944024058983314, 7.472756385803223]
['BO', 79, 'UO', 17, 'bash', 'objdump', 'O3', 'O1', 0.18227751561084893, 10.337943077087402]
['CO', 25, 'BO', 52, 'chgrp', 'svn', 'O3', 'O3', 0.6531354575876619, 0.7631270885467529]
['CO', 19, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.8826865142654616, 8.210654020309448]
['BO', 81, 'CO', 10, 'sort', 'users', 'O3', 'O3', 0.5196008553100498, 0.09923696517944336]
['BO', 17, 'CO', 277, 'codeblocks', 'who', 'O2', 'O2', 0.9629254614845393, 14.281217098236084]
['BO', 55, 'UO', 72, 'make', 'strings', 'O1', 'O0', 0.5681446571126286, 6.2620322704315186]
['UO', 87, 'CO', 150, 'find', 'whoami', 'O0', 'O1', 0.8485094850948509, 0.7556936740875244]
['CO', 359, 'BO', 55, 'numfmt', 'make', 'O0', 'O1', 0.6001405481377372, 0.39817309379577637]
['CO', 204, 'UO', 33, 'tac', 'objcopy', 'O1', 'O2', 0.890337480444014, 1.7681457996368408]
['UO', 15, 'CO', 153, 'elfedit', 'nice', 'O1', 'O1', 0.1705137751303053, 0.03886914253234863]
['BO', 51, 'UO', 69, 'lua', 'as', 'O1', 'O0', 0.5410320956576463, 12.892583131790161]
['CO', 317, 'BO', 79, 'basename', 'bash', 'O0', 'O3', 0.9483464566929134, 3.8357322216033936]
['BO', 80, 'CO', 113, 'ssh', 'du', 'O3', 'O1', 0.7831325301204819, 2.1722164154052734]
['BO', 55, 'CO', 383, 'make', 'readlink', 'O1', 'O0', 0.6672158154859967, 0.34282422065734863]
['UO', 15, 'CO', 68, 'elfedit', 'yes', 'O1', 'O3', 0.20802377414561668, 0.03198075294494629]
['CO', 168, 'BO', 28, 'tty', 'ruby', 'O1', 'O0', 0.9832254535509162, 18.864628553390503]
['CO', 157, 'UO', 5, 'chmod', 'readelf', 'O1', 'O1', 0.6924384027187765, 0.5099332332611084]
['BO', 53, 'CO', 34, 'bash', 'tail', 'O0', 'O3', 0.9154929577464789, 5.066307783126831]
['UO', 40, 'CO', 387, 'objdump', 'mv', 'O2', 'O0', 0.6743739903069467, 3.413693904876709]
['UO', 75, 'BO', 73, 'gprof', 'cluster', 'O0', 'O1', 0.7238531648119241, 3.8262648582458496]
['CO', 40, 'UO', 59, 'sync', 'locate', 'O3', 'O3', 0.5472527472527473, 0.12560725212097168]
['CO', 353, 'UO', 37, 'echo', 'ar', 'O0', 'O2', 0.8959774532410966, 1.493546724319458]
['CO', 315, 'UO', 49, 'unlink', 'c++filt', 'O0', 'O3', 0.8840063712170898, 1.1716537475585938]
['CO', 280, 'BO', 55, 'head', 'make', 'O2', 'O1', 0.7391636433072369, 0.31830883026123047]
['CO', 43, 'UO', 67, 'chroot', 'strip', 'O3', 'O0', 0.9227595804960486, 4.062853097915649]
['UO', 36, 'CO', 278, 'addr2line', 'b2sum', 'O2', 'O2', 0.8639407195786091, 1.2584331035614014]
['BO', 11, 'UO', 45, 'ssh', 'strip', 'O1', 'O3', 0.13154469192941853, 5.252767324447632]
['CO', 151, 'UO', 70, 'numfmt', 'ranlib', 'O1', 'O0', 0.9052249231628947, 3.572120428085327]
['CO', 312, 'UO', 60, 'sha384sum', 'xargs', 'O0', 'O3', 0.19783686345200535, 0.10895276069641113]
['CO', 319, 'BO', 1, 'fmt', 'ssh', 'O0', 'O2', 0.8984282046465026, 2.4354207515716553]
['CO', 79, 'BO', 70, 'link', 'diff', 'O3', 'O3', 0.583596214511041, 0.10716462135314941]
['BO', 40, 'CO', 174, 'lua', 'b2sum', 'O0', 'O1', 0.8284970982589553, 0.9456782341003418]
['CO', 259, 'BO', 82, 'realpath', 'cp', 'O2', 'O3', 0.4831056793673616, 0.11489343643188477]
['CO', 42, 'UO', 33, 'sum', 'objcopy', 'O3', 'O2', 0.8837416481069043, 1.7111809253692627]
['CO', 338, 'BO', 17, 'kill', 'codeblocks', 'O0', 'O2', 0.9614995459852121, 17.051342487335205]
['CO', 136, 'UO', 17, 'expr', 'objdump', 'O1', 'O1', 0.9015741507870754, 3.1523120403289795]
['CO', 146, 'UO', 26, 'sum', 'nm', 'O1', 'O2', 0.8714386211748153, 1.4598734378814697]
['CO', 145, 'BO', 52, 'echo', 'svn', 'O1', 'O3', 0.8252052148720425, 0.6928708553314209]
['UO', 26, 'CO', 271, 'nm', 'logname', 'O2', 'O2', 0.9174700423461574, 1.207444667816162]
['BO', 70, 'CO', 127, 'diff', 'pr', 'O3', 'O1', 0.3305858110097144, 0.1634671688079834]
