['UV', 60, 'CV', 83, 'gprof', 'tac', 'V1', 'V2', 0.7927461139896373, 1.3822543621063232]
['UV', 69, 'CV', 304, 'sdiff', 'chmod', 'V0', 'V1', 0.12231759656652363, 0.053842782974243164]
['UV', 60, 'CV', 44, 'gprof', 'true', 'V1', 'V2', 0.927977378576181, 1.1979053020477295]
['BV', 25, 'UV', 57, 'git', 'strings', 'V3', 'V1', 0.7139100568852635, 19.085736989974976]
['UV', 42, 'CV', 282, 'diff', 'chgrp', 'V3', 'V1', 0.4803407601572739, 0.12084269523620605]
['CV', 228, 'BV', 9, 'false', 'dot', 'V0', 'V2', 0.2637362637362637, 0.009847640991210938]
['UV', 64, 'CV', 345, 'size', 'rmdir', 'V1', 'V1', 0.9314501619287513, 1.1204657554626465]
['CV', 52, 'UV', 81, 'logname', 'ld', 'V2', 'V0', 0.9375163057657188, 1.9462461471557617]
['BV', 73, 'CV', 341, 'geany', 'uniq', 'V0', 'V1', 0.9751354510914773, 19.837656497955322]
['BV', 65, 'CV', 158, 'ssh', '[', 'V1', 'V3', 0.9475170237502076, 4.772799730300903]
['CV', 281, 'UV', 78, 'tee', 'c++filt', 'V1', 'V0', 0.9171122994652406, 1.1264727115631104]
['CV', 212, 'BV', 65, 'split', 'ssh', 'V0', 'V1', 0.9654051154838926, 5.199331045150757]
['BV', 15, 'CV', 186, 'libvlccore.so', 'stty', 'V3', 'V0', 0.9467560450083792, 4.409569501876831]
['UV', 16, 'CV', 168, 'gprof', 'sleep', 'V2', 'V3', 0.89861674811563, 1.3011548519134521]
['CV', 81, 'UV', 11, 'sleep', 'ranlib', 'V2', 'V2', 0.9097846362557233, 1.4450366497039795]
['CV', 11, 'BV', 4, 'printenv', 'geany', 'V2', 'V3', 0.9843085291861358, 34.97542881965637]
['UV', 28, 'CV', 242, 'strings', 'cat', 'V3', 'V0', 0.924608687598407, 1.143998622894287]
['UV', 23, 'CV', 109, 'strip', 'kill', 'V3', 'V3', 0.9006741573033707, 1.5043118000030518]
['UV', 62, 'CV', 252, 'ar', 'rm', 'V1', 'V0', 0.8740508418620007, 1.3451921939849854]
['BV', 15, 'UV', 18, 'libvlccore.so', 'ar', 'V3', 'V2', 0.29916748441011687, 9.825236797332764]
['CV', 28, 'BV', 21, 'chown', 'cp', 'V2', 'V1', 0.09916589434661727, 0.0701451301574707]
['BV', 7, 'CV', 328, 'libSDL2-2.0.so', 'uname', 'V0', 'V1', 0.9489552657411303, 4.202058792114258]
['CV', 3, 'UV', 1, 'test', 'xargs', 'V2', 'V2', 0.37385691231845075, 0.05403399467468262]
['CV', 336, 'BV', 26, 'tr', 'geany', 'V1', 'V2', 0.9787968626862311, 30.604775428771973]
['BV', 33, 'CV', 305, 'openssl', 'true', 'V0', 'V1', 0.9843037136846087, 7.378843307495117]
['BV', 47, 'UV', 58, 'dot', 'objcopy', 'V3', 'V1', 0.9679327299935866, 1.6519670486450195]
['CV', 77, 'UV', 30, 'nl', 'ld', 'V2', 'V3', 0.8489113574998564, 3.0648574829101562]
['UV', 40, 'CV', 259, 'diff3', 'mknod', 'V3', 'V0', 0.42719780219780223, 0.03524971008300781]
['BV', 43, 'UV', 13, 'lua', 'strings', 'V0', 'V2', 0.31655168127291944, 3.103447914123535]
['UV', 21, 'CV', 110, 'objdump', 'wc', 'V2', 'V3', 0.8864606233027286, 1.9762380123138428]
['UV', 29, 'CV', 30, 'objcopy', 'pinky', 'V3', 'V2', 0.8998203054806828, 1.5191714763641357]
['UV', 72, 'CV', 317, 'find', 'yes', 'V0', 'V1', 0.7632978723404256, 0.12850046157836914]
['BV', 14, 'UV', 16, 'openssl', 'gprof', 'V3', 'V2', 0.3799680978333112, 14.464491367340088]
['BV', 69, 'UV', 37, 'gvmap', 'locate', 'V0', 'V3', 0.12347528354376203, 0.2976043224334717]
['UV', 36, 'CV', 264, 'objdump', 'test', 'V3', 'V1', 0.9453340371869318, 2.312464475631714]
