['CV', 332, 'UV', 9, '[', 'readelf', 'V1', 'V2', 0.7526432259650848, 0.13401246070861816]
['BV', 68, 'CV', 241, 'dot', 'uname', 'V0', 'V0', 0.28719723183391, 0.010074853897094727]
['BV', 43, 'CV', 39, 'lua', 'whoami', 'V0', 'V2', 0.8383771200532092, 0.31777191162109375]
['BV', 5, 'CV', 286, 'libvlccore.so', 'expand', 'V0', 'V1', 0.9537655172413793, 3.5247106552124023]
['CV', 192, 'BV', 65, 'pwd', 'ssh', 'V0', 'V1', 0.9698293240155893, 5.078599214553833]
['UV', 39, 'BV', 53, 'find', 'ssh', 'V3', 'V2', 0.7135542431559654, 10.65342402458191]
['CV', 25, 'UV', 45, 'expand', 'cmp', 'V2', 'V1', 0.20722135007849296, 0.02805471420288086]
['CV', 328, 'BV', 10, 'uname', 'gvmap', 'V1', 'V2', 0.7785910338517841, 0.13504552841186523]
['BV', 56, 'CV', 345, 'ssh', 'rmdir', 'V3', 'V1', 0.9494761967908766, 1.5505101680755615]
['UV', 87, 'CV', 21, 'objdump', 'chgrp', 'V0', 'V2', 0.871592585465974, 1.815819263458252]
['UV', 76, 'BV', 75, 'as', 'cmp', 'V0', 'V2', 0.9092704530492549, 1.9536356925964355]
['BV', 48, 'CV', 152, 'gvmap', 'env', 'V3', 'V3', 0.6400336417157275, 0.14779257774353027]
['BV', 41, 'CV', 183, 'libvlccore.so', 'users', 'V1', 'V0', 0.9527312060573283, 3.2835466861724854]
['CV', 31, 'UV', 15, 'sha1sum', 'ld', 'V2', 'V2', 0.9291117618350415, 2.1643357276916504]
['BV', 9, 'CV', 335, 'dot', 'pathchk', 'V2', 'V1', 0.32258064516129026, 0.010750770568847656]
['UV', 70, 'BV', 72, 'locate', 'perl', 'V0', 'V1', 0.8985091927745757, 4.357802629470825]
['BV', 10, 'CV', 95, 'gvmap', 'du', 'V2', 'V3', 0.23919429290809902, 0.24907541275024414]
['BV', 13, 'CV', 182, 'cp', 'du', 'V2', 'V0', 0.2374774774774775, 0.10841107368469238]
['CV', 140, 'UV', 41, 'tty', 'cmp', 'V3', 'V3', 0.18318318318318316, 0.031456947326660156]
['CV', 39, 'BV', 27, 'whoami', 'libSDL2-2.0.so', 'V2', 'V1', 0.9459519449531103, 4.8453528881073]
['UV', 0, 'BV', 38, 'locate', 'ruby', 'V2', 'V2', 0.8709677419354839, 0.03372550010681152]
['UV', 2, 'CV', 118, 'find', 'sha1sum', 'V2', 'V3', 0.6447305674773486, 0.19894075393676758]
['CV', 218, 'BV', 67, 'true', 'cluster', 'V0', 'V0', 0.7678636198766775, 0.10345339775085449]
['UV', 45, 'CV', 36, 'cmp', 'chroot', 'V1', 'V2', 0.13765477057538233, 0.03284621238708496]
['CV', 84, 'UV', 36, 'rmdir', 'objdump', 'V2', 'V3', 0.929938900203666, 2.387937068939209]
