['UO', 42, 'CO', 165, 'xargs', 'cksum', 'O2', 'O1', 0.3838009528851244, 0.08259749412536621]
['CO', 193, 'UO', 73, 'pathchk', 'objcopy', 'O1', 'O0', 0.9424554356013055, 4.000560283660889]
['CO', 65, 'BO', 27, 'false', 'perl', 'O3', 'O3', 0.9677181820859474, 3.3576419353485107]
['UO', 56, 'CO', 196, 'elfedit', 'sha512sum', 'O3', 'O1', 0.14781401804302563, 0.045441627502441406]
['UO', 15, 'CO', 129, 'elfedit', 'chgrp', 'O1', 'O1', 0.2520576131687242, 0.07122182846069336]
['BO', 21, 'CO', 218, 'cp', 'users', 'O1', 'O2', 0.58125, 0.11398696899414062]
['BO', 55, 'UO', 23, 'make', 'cmp', 'O1', 'O2', 0.7159005275056518, 0.528681755065918]
['CO', 44, 'UO', 67, 'seq', 'strip', 'O3', 'O0', 0.92467286929698, 4.186418771743774]
['UO', 83, 'BO', 17, 'diff', 'codeblocks', 'O0', 'O2', 0.867414231728703, 29.942588567733765]
['UO', 10, 'CO', 100, 'objcopy', 'tac', 'O1', 'O3', 0.88459327392929, 1.7873098850250244]
['BO', 43, 'CO', 415, 'diff', 'ln', 'O1', 'O0', 0.17501290655653068, 0.2566072940826416]
['BO', 66, 'CO', 104, 'svn', 'sha384sum', 'O2', 'O1', 0.7698890649762282, 0.6724705696105957]
['UO', 2, 'BO', 50, 'find', 'perl', 'O1', 'O2', 0.7201520109785706, 9.201275825500488]
['BO', 72, 'CO', 250, 'make', 'sum', 'O2', 'O2', 0.7638759977724151, 0.2992665767669678]
['CO', 172, 'UO', 75, 'yes', 'gprof', 'O1', 'O0', 0.9367468175388968, 3.3647096157073975]
['CO', 36, 'UO', 29, 'pinky', 'as', 'O3', 'O2', 0.9084639498432602, 2.651738166809082]
['CO', 216, 'BO', 47, 'dir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.48748609566184653, 1.2441270351409912]
['BO', 65, 'CO', 221, 'gvmap', 'printenv', 'O0', 'O2', 0.8091087382872085, 0.23105335235595703]
['BO', 65, 'CO', 154, 'gvmap', 'dircolors', 'O0', 'O1', 0.7105804857966241, 0.262523889541626]
['CO', 170, 'UO', 86, 'runcon', 'xargs', 'O1', 'O0', 0.5103543488265071, 0.1174156665802002]
['UO', 33, 'BO', 71, 'objcopy', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.34077743262530436, 31.634543418884277]
['BO', 39, 'CO', 186, 'codeblocks', 'shuf', 'O3', 'O1', 0.9463002006756929, 16.010161638259888]
['BO', 21, 'CO', 61, 'cp', 'cksum', 'O1', 'O3', 0.5310500564546481, 0.11149168014526367]
['CO', 394, 'BO', 27, 'shuf', 'perl', 'O0', 'O3', 0.9240805276345727, 4.881028413772583]
['BO', 50, 'CO', 75, 'perl', 'mv', 'O2', 'O3', 0.8659643296785091, 4.065035104751587]
['UO', 80, 'BO', 1, 'objdump', 'ssh', 'O0', 'O2', 0.2527123977344241, 12.866668224334717]
['CO', 37, 'UO', 8, 'truncate', 'c++filt', 'O3', 'O1', 0.8857794543380998, 1.50327467918396]
['CO', 28, 'UO', 65, 'factor', 'sdiff', 'O3', 'O3', 0.15285996055226825, 0.05839204788208008]
['BO', 65, 'CO', 402, 'gvmap', 'tr', 'O0', 'O0', 0.6151603498542274, 0.2995755672454834]
['BO', 23, 'CO', 117, 'git', 'printenv', 'O2', 'O1', 0.9790279823269514, 8.743791580200195]
['CO', 308, 'BO', 41, 'tac', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9362769200511358, 7.898256540298462]
['CO', 222, 'UO', 38, 'stty', 'elfedit', 'O2', 'O2', 0.11377245508982037, 0.04303550720214844]
['CO', 143, 'UO', 35, 'paste', 'gprof', 'O1', 'O2', 0.8937562940584088, 1.4766533374786377]
['UO', 82, 'CO', 336, 'cmp', 'tee', 'O0', 'O0', 0.09123222748815163, 0.06781721115112305]
['CO', 371, 'UO', 63, 'tsort', 'cmp', 'O0', 'O3', 0.11387434554973819, 0.05286741256713867]
['BO', 74, 'CO', 98, 'dot', 'sleep', 'O1', 'O3', 0.4838709677419355, 0.01611804962158203]
['BO', 72, 'CO', 401, 'make', 'pathchk', 'O2', 'O0', 0.7499079189686925, 0.307664155960083]
['CO', 304, 'BO', 33, 'fold', 'sort', 'O2', 'O2', 0.5572768039135753, 0.11931610107421875]
['BO', 24, 'CO', 65, 'cluster', 'false', 'O3', 'O3', 0.6631448104412678, 0.12943601608276367]
['CO', 349, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9717386461283855, 46.99067306518555]
['CO', 159, 'UO', 59, 'cp', 'locate', 'O1', 'O3', 0.10960232783705137, 0.2728126049041748]
['UO', 45, 'BO', 39, 'strip', 'codeblocks', 'O3', 'O3', 0.5100827097282394, 48.610756158828735]
