['CV', 264, 'BV', 27, 'test', 'libSDL2-2.0.so', 'V1', 'V1', 0.9482222222222222, 5.081319332122803]
['CV', 320, 'BV', 35, 'head', 'libvlccore.so', 'V1', 'V2', 0.9473987883450332, 4.7269532680511475]
['UV', 60, 'CV', 301, 'gprof', 'ls', 'V1', 'V1', 0.7951769979904159, 1.5361380577087402]
['UV', 53, 'CV', 309, 'readelf', 'df', 'V1', 'V1', 0.6116035455278002, 0.12730121612548828]
['UV', 8, 'BV', 5, 'strip', 'libvlccore.so', 'V2', 'V0', 0.18450980392156868, 11.947054147720337]
['UV', 39, 'CV', 339, 'find', 'rm', 'V3', 'V1', 0.729039033782601, 0.4206106662750244]
['UV', 76, 'CV', 130, 'as', 'chmod', 'V0', 'V3', 0.87031717183561, 2.1454901695251465]
['CV', 200, 'UV', 77, 'date', 'ranlib', 'V0', 'V0', 0.8875816993464052, 1.3854637145996094]
['UV', 85, 'CV', 306, 'elfedit', 'cp', 'V0', 'V1', 0.2756516916250693, 0.05582237243652344]
['CV', 289, 'UV', 19, 'chown', 'elfedit', 'V1', 'V2', 0.15200000000000002, 0.04061722755432129]
['BV', 26, 'CV', 310, 'geany', 'tsort', 'V2', 'V1', 0.9835609223940112, 27.268813848495483]
['CV', 91, 'UV', 83, 'basename', 'addr2line', 'V3', 'V0', 0.8883013266536784, 1.2075953483581543]
['BV', 25, 'CV', 149, 'git', 'unexpand', 'V3', 'V3', 0.9779192022421456, 12.166445255279541]
['CV', 150, 'BV', 48, 'mv', 'gvmap', 'V3', 'V3', 0.14225941422594146, 0.3189849853515625]
['CV', 56, 'BV', 68, 'yes', 'dot', 'V2', 'V0', 0.3879941434846266, 0.012215375900268555]
['UV', 8, 'CV', 174, 'strip', 'touch', 'V2', 'V0', 0.9103637306467146, 1.5615956783294678]
['BV', 16, 'CV', 338, 'libvlc.so', 'nl', 'V3', 'V1', 0.5985711855757782, 0.4829123020172119]
['BV', 51, 'UV', 35, 'cp', 'size', 'V0', 'V3', 0.8086355785837651, 1.5430347919464111]
['UV', 61, 'CV', 284, 'addr2line', 'wc', 'V1', 'V1', 0.9087099937594723, 1.1664025783538818]
['UV', 52, 'CV', 75, 'strip', 'tr', 'V1', 'V2', 0.9065239903348291, 1.635223150253296]
['CV', 86, 'UV', 64, 'ln', 'size', 'V2', 'V1', 0.8483126721763086, 1.4200594425201416]
['CV', 243, 'UV', 15, 'csplit', 'ld', 'V0', 'V2', 0.8352872896111434, 2.6547586917877197]
['UV', 40, 'CV', 325, 'diff3', 'md5sum', 'V3', 'V1', 0.36572554169402494, 0.0416407585144043]
['CV', 145, 'UV', 43, 'readlink', 'sdiff', 'V3', 'V3', 0.19358407079646023, 0.053618669509887695]
['CV', 207, 'UV', 78, 'sync', 'c++filt', 'V0', 'V0', 0.9341040462427745, 1.1315028667449951]
['UV', 59, 'CV', 41, 'ld', 'nice', 'V1', 'V2', 0.936870547776959, 1.9608285427093506]
['BV', 23, 'CV', 114, 'diff', 'expr', 'V3', 'V3', 0.4445509747523171, 0.11762619018554688]
['CV', 167, 'BV', 5, 'uniq', 'libvlccore.so', 'V3', 'V0', 0.904500725923536, 4.249203681945801]
['BV', 39, 'CV', 280, 'svn', 'pr', 'V1', 'V1', 0.7275759171493769, 0.5005524158477783]
['UV', 5, 'CV', 33, 'diff', 'sync', 'V2', 'V2', 0.6615728661945584, 0.0926060676574707]
['UV', 65, 'CV', 314, 'objdump', 'tty', 'V1', 'V1', 0.9532776807092473, 1.864847183227539]
['CV', 334, 'UV', 79, 'shred', 'strings', 'V1', 'V0', 0.8492288035046089, 1.326767921447754]
['CV', 106, 'BV', 51, 'pr', 'cp', 'V3', 'V0', 0.09002217294900228, 0.07198548316955566]
['CV', 175, 'UV', 74, 'stat', 'strip', 'V0', 'V0', 0.9242819843342036, 1.7255561351776123]
