['UV', 45, 'CV', 138, 'cmp', 'printf', 'V1', 'V3', 0.12025723472668814, 0.0381927490234375]
['BV', 46, 'UV', 50, 'cluster', 'find', 'V3', 'V1', 0.14694533762057882, 0.41025853157043457]
['BV', 35, 'UV', 65, 'libvlccore.so', 'objdump', 'V2', 'V1', 0.17731941261353024, 10.622822761535645]
['CV', 35, 'BV', 58, 'sum', 'ruby', 'V2', 'V3', 0.7433751743375174, 0.011013269424438477]
['BV', 9, 'CV', 20, 'dot', 'tee', 'V2', 'V2', 0.44253632760898287, 0.013863325119018555]
['CV', 106, 'UV', 49, 'pr', 'xargs', 'V3', 'V1', 0.20455722423614708, 0.050122737884521484]
['CV', 9, 'BV', 72, 'users', 'perl', 'V2', 'V1', 0.9630443467838594, 2.939312219619751]
['BV', 69, 'CV', 78, 'gvmap', 'rm', 'V0', 'V2', 0.4406873614190687, 0.1507244110107422]
['UV', 1, 'CV', 191, 'xargs', 'mkfifo', 'V2', 'V0', 0.5389257694628847, 0.0417327880859375]
['BV', 77, 'CV', 297, 'perl', 'chroot', 'V2', 'V1', 0.9752892724063542, 2.6488943099975586]
['BV', 19, 'CV', 132, 'cp', 'cp', 'V3', 'V3', 0.0, 0.19378161430358887]
['UV', 51, 'CV', 263, 'nm', 'unlink', 'V1', 'V1', 0.9360170621167688, 1.0697109699249268]
['CV', 99, 'BV', 13, 'stty', 'cp', 'V3', 'V2', 0.3220729366602687, 0.08952188491821289]
['CV', 263, 'UV', 73, 'unlink', 'nm', 'V1', 'V0', 0.9328671328671329, 1.0832126140594482]
['BV', 43, 'CV', 193, 'lua', 'pr', 'V0', 'V0', 0.7526557792928492, 0.35752081871032715]
['BV', 52, 'CV', 189, 'libSDL2-2.0.so', 'uptime', 'V2', 'V0', 0.949671772428884, 4.850279331207275]
['CV', 1, 'BV', 21, 'stat', 'cp', 'V2', 'V1', 0.3060046189376444, 0.04838967323303223]
['CV', 14, 'UV', 42, 'dirname', 'diff', 'V2', 'V3', 0.6471017134524244, 0.09620380401611328]
['UV', 31, 'CV', 331, 'gprof', 'vdir', 'V3', 'V1', 0.7893903404592241, 1.4147708415985107]
['BV', 18, 'CV', 314, 'sort', 'tty', 'V3', 'V1', 0.7103890894504613, 0.07840752601623535]
['CV', 61, 'UV', 27, 'ginstall', 'c++filt', 'V2', 'V3', 0.7241090848251631, 1.7035577297210693]
['CV', 227, 'UV', 75, 'tty', 'readelf', 'V0', 'V0', 0.780564263322884, 0.09152698516845703]
['UV', 72, 'BV', 72, 'find', 'perl', 'V0', 'V1', 0.8349931532428732, 5.526196241378784]
['UV', 49, 'BV', 69, 'xargs', 'gvmap', 'V1', 'V0', 0.5358951444742329, 0.14047455787658691]
['BV', 11, 'CV', 276, 'bash', 'uptime', 'V1', 'V1', 0.95420780441937, 2.6834683418273926]
['CV', 223, 'BV', 47, 'tsort', 'dot', 'V0', 'V3', 0.34562211981566815, 0.011920452117919922]
['UV', 74, 'BV', 22, 'strip', 'cmp', 'V0', 'V3', 0.8924393723252496, 1.460439920425415]
['CV', 271, 'UV', 71, 'ptx', 'xargs', 'V1', 'V0', 0.35815416885159945, 0.047344207763671875]
['BV', 6, 'CV', 87, 'libvlc.so', 'touch', 'V0', 'V3', 0.5356918568139, 0.34235048294067383]
['CV', 49, 'BV', 66, 'tsort', 'lua', 'V2', 'V1', 0.8304155883696148, 0.40641045570373535]
['CV', 6, 'UV', 10, 'fmt', 'as', 'V2', 'V2', 0.935126399630613, 2.205057144165039]
['CV', 339, 'BV', 49, 'rm', 'make', 'V1', 'V3', 0.7148529146363473, 0.3260962963104248]
['CV', 293, 'UV', 35, 'paste', 'size', 'V1', 'V3', 0.9260621666360125, 1.1687469482421875]
['UV', 24, 'CV', 75, 'readelf', 'tr', 'V3', 'V2', 0.7887016229712859, 0.2841501235961914]
['CV', 199, 'BV', 54, 'expand', 'lua', 'V0', 'V3', 0.8881578947368421, 0.4598395824432373]
['BV', 8, 'CV', 193, 'cluster', 'pr', 'V2', 'V0', 0.5576377058489494, 0.14956092834472656]
['UV', 44, 'CV', 41, 'diff3', 'nice', 'V1', 'V2', 0.3164893617021276, 0.03473782539367676]
['CV', 286, 'UV', 21, 'expand', 'objdump', 'V1', 'V2', 0.944159392283601, 1.8523502349853516]
['BV', 55, 'CV', 225, 'codeblocks', 'printf', 'V3', 'V0', 0.9735832310945208, 13.117459297180176]
['CV', 197, 'UV', 77, 'wc', 'ranlib', 'V0', 'V0', 0.9212346993081426, 1.1739003658294678]
['CV', 193, 'BV', 38, 'pr', 'ruby', 'V0', 'V2', 0.7889908256880734, 0.014572381973266602]
['CV', 210, 'BV', 44, 'chroot', 'make', 'V0', 'V0', 0.8337109198006344, 0.1920328140258789]
['CV', 247, 'BV', 43, 'shred', 'lua', 'V0', 'V0', 0.7726835524206477, 0.427659273147583]
['CV', 25, 'UV', 47, 'expand', 'sdiff', 'V2', 'V1', 0.3311561071195297, 0.036804914474487305]
['CV', 199, 'UV', 67, 'expand', 'cmp', 'V0', 'V0', 0.30284728213977563, 0.0252072811126709]
['BV', 70, 'CV', 180, 'ssh', 'fmt', 'V0', 'V0', 0.9697705054426957, 3.974245309829712]
['BV', 1, 'UV', 59, 'libSDL2-2.0.so', 'ld', 'V3', 'V1', 0.2199865681665547, 15.566206932067871]
['UV', 26, 'CV', 145, 'ranlib', 'readlink', 'V3', 'V3', 0.8658598083711548, 1.2333240509033203]
['CV', 84, 'UV', 50, 'rmdir', 'find', 'V2', 'V1', 0.7063725490196079, 0.2066512107849121]
['CV', 283, 'BV', 77, 'kill', 'perl', 'V1', 'V2', 0.9712300616498679, 3.0027148723602295]
['CV', 17, 'BV', 5, 'mkfifo', 'libvlccore.so', 'V2', 'V0', 0.945393616436851, 3.6298880577087402]
['UV', 72, 'BV', 82, 'find', 'gvmap', 'V0', 'V1', 0.09773625583902268, 0.35190653800964355]
['CV', 301, 'BV', 47, 'ls', 'dot', 'V1', 'V3', 0.7137404580152672, 0.04732489585876465]
['UV', 58, 'CV', 144, 'objcopy', 'who', 'V1', 'V3', 0.8842794759825328, 1.5523879528045654]
['BV', 39, 'CV', 109, 'svn', 'kill', 'V1', 'V3', 0.7642422070942314, 0.4508812427520752]
['UV', 65, 'CV', 327, 'objdump', 'link', 'V1', 'V1', 0.9527722067671605, 1.7146992683410645]
['CV', 342, 'UV', 17, 'sleep', 'addr2line', 'V1', 'V2', 0.9224848320202843, 1.2043559551239014]
