['CO', 27, 'BO', 12, 'wc', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8942955619239408, 42.52037525177002]
['UO', 33, 'CO', 180, 'objcopy', 'md5sum', 'O2', 'O1', 0.8935820895522388, 1.5557525157928467]
['CO', 289, 'BO', 50, 'cat', 'perl', 'O2', 'O2', 0.9677575172080667, 3.614452838897705]
['UO', 84, 'BO', 36, 'sdiff', 'cluster', 'O0', 'O2', 0.3880403831219259, 0.21961665153503418]
['CO', 390, 'BO', 79, 'chcon', 'bash', 'O0', 'O3', 0.8780311942620773, 5.03500771522522]
['UO', 31, 'CO', 353, 'c++filt', 'echo', 'O2', 'O0', 0.8883285963142936, 1.1971657276153564]
['CO', 23, 'UO', 52, 'pr', 'ld', 'O3', 'O3', 0.8663400979706088, 2.635533332824707]
['UO', 67, 'CO', 341, 'strip', 'nproc', 'O0', 'O0', 0.9298578199052133, 3.7040083408355713]
['BO', 77, 'CO', 333, 'libSDL2-2.0.so.0.16.0', 'mktemp', 'O3', 'O0', 0.9146308482827008, 7.368696689605713]
['CO', 353, 'BO', 64, 'echo', 'dot', 'O0', 'O0', 0.48619447779111646, 0.022155284881591797]
['CO', 333, 'BO', 29, 'mktemp', 'libvlc.so.12.0.0', 'O0', 'O2', 0.6533333333333333, 0.757620096206665]
['UO', 27, 'CO', 19, 'strip', 'dd', 'O2', 'O3', 0.8101283880171184, 1.6297502517700195]
['UO', 32, 'CO', 74, 'strings', 'unexpand', 'O2', 'O3', 0.8715662433576511, 1.1988439559936523]
['UO', 27, 'CO', 195, 'strip', 'comm', 'O2', 'O1', 0.8937234121949399, 1.5513947010040283]
['UO', 65, 'CO', 0, 'sdiff', 'sha384sum', 'O3', 'O3', 0.18647887323943668, 0.049330711364746094]
['CO', 254, 'UO', 69, 'whoami', 'as', 'O2', 'O0', 0.9626437933384103, 5.477550983428955]
['UO', 72, 'CO', 66, 'strings', 'runcon', 'O0', 'O3', 0.9335635194666032, 2.790351629257202]
['BO', 37, 'CO', 271, 'gvmap', 'logname', 'O2', 'O2', 0.7234493192133131, 0.1408390998840332]
['CO', 212, 'UO', 12, 'test', 'gprof', 'O2', 'O1', 0.8962999026290166, 1.5868871212005615]
['UO', 7, 'CO', 299, 'ranlib', 'comm', 'O1', 'O2', 0.8994991378602513, 1.4936103820800781]
['UO', 83, 'CO', 316, 'diff', 'test', 'O0', 'O0', 0.5095613048368954, 0.22765254974365234]
['CO', 357, 'BO', 20, 'split', 'sort', 'O0', 'O1', 0.2450290608748853, 0.1980295181274414]
['BO', 43, 'UO', 59, 'diff', 'locate', 'O1', 'O3', 0.09610983981693366, 0.27965831756591797]
['BO', 71, 'CO', 28, 'libSDL2-2.0.so.0.16.0', 'factor', 'O0', 'O3', 0.9153922872340425, 8.948629379272461]
['UO', 20, 'CO', 386, 'diff', 'unexpand', 'O1', 'O0', 0.4846304774362329, 0.15619516372680664]
['BO', 41, 'CO', 256, 'libSDL2-2.0.so.0.16.0', 'ls', 'O2', 'O2', 0.8217190388170056, 8.168845653533936]
['CO', 143, 'UO', 67, 'paste', 'strip', 'O1', 'O0', 0.9366207759699624, 4.012418985366821]
