['UV', 84, 'CV', 297, 'ar', 'chroot', 'V0', 'V1', 0.9325481798715204, 1.1259734630584717]
['BV', 45, 'CV', 8, 'svn', 'du', 'V3', 'V2', 0.6009280742459396, 1.0026683807373047]
['UV', 14, 'CV', 191, 'objcopy', 'mkfifo', 'V2', 'V0', 0.9424525459475745, 1.4763305187225342]
['UV', 13, 'CV', 269, 'strings', 'du', 'V2', 'V1', 0.8118191954713098, 1.3429293632507324]
['UV', 44, 'CV', 162, 'diff3', 'tr', 'V1', 'V3', 0.12247191011235958, 0.047617435455322266]
['BV', 79, 'CV', 301, 'bash', 'ls', 'V3', 'V1', 0.888141504733433, 3.820690870285034]
['BV', 19, 'UV', 7, 'cp', 'nm', 'V3', 'V2', 0.6836544437538844, 2.0286951065063477]
['BV', 22, 'CV', 60, 'cmp', 'hostid', 'V3', 'V2', 0.2497965825874695, 0.028269052505493164]
['CV', 82, 'UV', 65, 'sort', 'objdump', 'V2', 'V1', 0.8097406098364583, 2.744274139404297]
['CV', 4, 'UV', 82, 'basename', 'gprof', 'V2', 'V0', 0.915685595567867, 1.2497265338897705]
['CV', 271, 'BV', 80, 'ptx', 'cluster', 'V1', 'V1', 0.36636115927669066, 0.1954362392425537]
['CV', 204, 'BV', 83, 'pinky', 'git', 'V0', 'V2', 0.9781007522943007, 9.532280683517456]
['UV', 30, 'BV', 69, 'ld', 'gvmap', 'V3', 'V0', 0.7244039646397, 3.1024346351623535]
['UV', 19, 'BV', 81, 'elfedit', 'dot', 'V2', 'V1', 0.4994438264738599, 0.019736051559448242]
['BV', 24, 'CV', 196, 'git', 'kill', 'V0', 'V0', 0.9765565369098245, 4.586362361907959]
['UV', 22, 'CV', 186, 'nm', 'stty', 'V3', 'V0', 0.9006876842011253, 1.2266185283660889]
['BV', 8, 'CV', 61, 'cluster', 'ginstall', 'V2', 'V2', 0.2728512960436562, 0.25182604789733887]
['UV', 44, 'CV', 213, 'diff3', 'whoami', 'V1', 'V0', 0.46706143597335315, 0.03132891654968262]
['BV', 9, 'CV', 94, 'dot', 'dir', 'V2', 'V3', 0.8090793381417055, 0.08509969711303711]
['UV', 22, 'BV', 79, 'nm', 'bash', 'V3', 'V3', 0.3684462819821439, 10.625435829162598]
['CV', 78, 'BV', 61, 'rm', 'cmp', 'V2', 'V0', 0.490280777537797, 0.03725719451904297]
['BV', 39, 'CV', 29, 'svn', 'tail', 'V1', 'V2', 0.662052667116813, 0.5487046241760254]
