['CV', 95, 'UV', 38, 'du', 'xargs', 'V3', 'V3', 0.20366277233975372, 0.16183233261108398]
['BV', 59, 'UV', 13, 'make', 'strings', 'V1', 'V2', 0.4212424849699399, 2.7352986335754395]
['UV', 5, 'CV', 103, 'diff', 'dd', 'V2', 'V3', 0.27175743964065124, 0.14866971969604492]
['BV', 47, 'CV', 228, 'dot', 'false', 'V3', 'V0', 0.2637362637362637, 0.009689092636108398]
['UV', 59, 'CV', 39, 'ld', 'whoami', 'V1', 'V2', 0.9400873469889893, 1.9836673736572266]
['CV', 11, 'UV', 82, 'printenv', 'gprof', 'V2', 'V0', 0.9218410768562745, 1.2389745712280273]
['BV', 49, 'CV', 212, 'make', 'split', 'V3', 'V0', 0.8040630339851909, 0.265979528427124]
['UV', 14, 'CV', 11, 'objcopy', 'printenv', 'V2', 'V2', 0.9325539568345323, 1.4868454933166504]
['UV', 0, 'BV', 72, 'locate', 'perl', 'V2', 'V1', 0.9134187895505436, 4.25229549407959]
['BV', 51, 'UV', 36, 'cp', 'objdump', 'V0', 'V3', 0.8747385676332599, 2.9442837238311768]
['CV', 282, 'UV', 64, 'chgrp', 'size', 'V1', 'V1', 0.8624219292158224, 1.4009230136871338]
['UV', 35, 'BV', 82, 'size', 'gvmap', 'V3', 'V1', 0.564801673265108, 1.7816224098205566]
['UV', 59, 'CV', 88, 'ld', 'stat', 'V1', 'V3', 0.8509389671361502, 2.3038926124572754]
['CV', 334, 'BV', 68, 'shred', 'dot', 'V1', 'V0', 0.5832540437678402, 0.028061389923095703]
['BV', 8, 'CV', 57, 'cluster', 'who', 'V2', 'V2', 0.5784032165422172, 0.1544029712677002]
['CV', 63, 'BV', 59, 'mv', 'make', 'V2', 'V1', 0.45794083622541737, 0.4011824131011963]
['BV', 28, 'CV', 4, 'openssl', 'basename', 'V1', 'V2', 0.9783030006014568, 8.37623906135559]
['UV', 36, 'CV', 283, 'objdump', 'kill', 'V3', 'V1', 0.9481907894736842, 2.200993776321411]
['BV', 80, 'CV', 243, 'cluster', 'csplit', 'V1', 'V0', 0.32996875751021393, 0.19388675689697266]
['BV', 13, 'CV', 96, 'cp', 'users', 'V2', 'V3', 0.4407701967350356, 0.0797119140625]
['BV', 24, 'CV', 162, 'git', 'tr', 'V0', 'V3', 0.9573480185725084, 4.708318471908569]
['CV', 29, 'BV', 58, 'tail', 'ruby', 'V2', 'V3', 0.8322698268003647, 0.020005226135253906]
['CV', 62, 'BV', 44, 'unexpand', 'make', 'V2', 'V0', 0.7719413438389144, 0.21689462661743164]
['UV', 60, 'CV', 269, 'gprof', 'du', 'V1', 'V1', 0.8270807061790668, 1.381309986114502]
['UV', 19, 'BV', 21, 'elfedit', 'cp', 'V2', 'V1', 0.27808676307007785, 0.054509639739990234]
['CV', 38, 'BV', 27, 'split', 'libSDL2-2.0.so', 'V2', 'V1', 0.8941341687371719, 5.606812477111816]
['BV', 30, 'CV', 22, 'bash', 'kill', 'V0', 'V2', 0.946227491443028, 2.592424154281616]
['UV', 26, 'CV', 220, 'ranlib', 'cut', 'V3', 'V0', 0.9149486759251272, 1.2653789520263672]
['UV', 28, 'CV', 302, 'strings', 'nice', 'V3', 'V1', 0.9260357771804616, 1.13511061668396]
['BV', 56, 'UV', 61, 'ssh', 'addr2line', 'V3', 'V1', 0.16539400141698812, 4.800131797790527]
['UV', 58, 'BV', 27, 'objcopy', 'libSDL2-2.0.so', 'V1', 'V1', 0.22353391615085183, 18.035901308059692]
['CV', 273, 'BV', 20, 'stty', 'sort', 'V1', 'V1', 0.3261776982707215, 0.04920673370361328]
['UV', 77, 'CV', 123, 'ranlib', 'chroot', 'V0', 'V3', 0.8661152752649264, 1.2375051975250244]
['CV', 17, 'UV', 81, 'mkfifo', 'ld', 'V2', 'V0', 0.9352442996742671, 1.9427618980407715]
['UV', 85, 'BV', 10, 'elfedit', 'gvmap', 'V0', 'V2', 0.6221480244852532, 0.1753695011138916]
['CV', 130, 'BV', 6, 'chmod', 'libvlc.so', 'V3', 'V0', 0.5564448188711036, 0.39996838569641113]
['CV', 293, 'UV', 63, 'paste', 'elfedit', 'V1', 'V1', 0.2574626865671642, 0.024572134017944336]
['BV', 13, 'CV', 142, 'cp', 'nohup', 'V2', 'V3', 0.4323761964211402, 0.0808415412902832]
['UV', 9, 'CV', 178, 'readelf', 'basename', 'V2', 'V0', 0.8188313345241133, 0.11454129219055176]
['CV', 255, 'BV', 17, 'sleep', 'codeblocks', 'V0', 'V2', 0.9792994904900365, 14.625357866287231]
['UV', 8, 'BV', 62, 'strip', 'diff', 'V2', 'V0', 0.8255698711595639, 1.7746922969818115]
['CV', 65, 'BV', 58, 'env', 'ruby', 'V2', 'V3', 0.6684684684684684, 0.007707834243774414]
['UV', 62, 'CV', 116, 'ar', 'tail', 'V1', 'V3', 0.8097436713899061, 1.405548334121704]
['CV', 238, 'UV', 83, 'md5sum', 'addr2line', 'V0', 'V0', 0.9061622026596741, 1.1860356330871582]
['CV', 112, 'UV', 8, 'expand', 'strip', 'V3', 'V2', 0.8968738506803972, 1.7512621879577637]
['CV', 96, 'UV', 18, 'users', 'ar', 'V3', 'V2', 0.8870643431635389, 1.4950196743011475]
['BV', 60, 'CV', 36, 'codeblocks', 'chroot', 'V1', 'V2', 0.9666800804828973, 13.451992273330688]
['UV', 76, 'CV', 338, 'as', 'nl', 'V0', 'V1', 0.8603918824352694, 2.069206476211548]
['UV', 78, 'CV', 69, 'c++filt', 'csplit', 'V0', 'V2', 0.7351771823681936, 1.273005485534668]
['CV', 232, 'UV', 85, 'readlink', 'elfedit', 'V0', 'V0', 0.2463503649635037, 0.025336742401123047]
['BV', 50, 'UV', 2, 'sort', 'find', 'V0', 'V2', 0.5915750915750916, 0.2669711112976074]
['BV', 59, 'CV', 181, 'make', 'dir', 'V1', 'V0', 0.5415282392026578, 0.35126662254333496]
['UV', 16, 'BV', 35, 'gprof', 'libvlccore.so', 'V2', 'V2', 0.28948032290615533, 15.124264001846313]
['BV', 22, 'UV', 48, 'cmp', 'locate', 'V3', 'V1', 0.42616033755274263, 0.09847855567932129]
['BV', 57, 'CV', 200, 'svn', 'date', 'V2', 'V0', 0.7689543657923105, 0.49735236167907715]
['UV', 60, 'BV', 5, 'gprof', 'libvlccore.so', 'V1', 'V0', 0.22469877461856158, 11.867755651473999]
['BV', 50, 'CV', 226, 'sort', 'logname', 'V0', 'V0', 0.445839874411303, 0.029202938079833984]
['UV', 34, 'BV', 32, 'elfedit', 'perl', 'V3', 'V0', 0.9381031613976706, 3.1742122173309326]
['CV', 336, 'UV', 26, 'tr', 'ranlib', 'V1', 'V3', 0.9031290184312044, 1.4463350772857666]
['CV', 198, 'UV', 24, 'factor', 'readelf', 'V0', 'V3', 0.8646494224825118, 0.3215370178222656]
['CV', 18, 'UV', 52, 'pwd', 'strip', 'V2', 'V1', 0.9188438021122846, 1.8636624813079834]
['BV', 41, 'CV', 74, 'libvlccore.so', 'pathchk', 'V1', 'V2', 0.9452615699585152, 3.45914888381958]
