['BO', 71, 'CO', 122, 'libSDL2-2.0.so.0.16.0', 'uptime', 'O0', 'O1', 0.9315257930687676, 8.877631664276123]
['UO', 11, 'CO', 207, 'ld', 'ln', 'O1', 'O1', 0.8488053270661966, 3.029353141784668]
['BO', 33, 'CO', 93, 'sort', 'nl', 'O2', 'O3', 0.4592339780053091, 0.1144707202911377]
['UO', 66, 'CO', 346, 'nm', 'tail', 'O0', 'O0', 0.8238564430010459, 3.4012794494628906]
['BO', 76, 'CO', 252, 'openssl', 'seq', 'O2', 'O2', 0.9446254071661238, 10.081660985946655]
['BO', 6, 'UO', 44, 'codeblocks', 'nm', 'O0', 'O3', 0.6730493887376685, 50.313963174819946]
['CO', 60, 'BO', 36, 'base64', 'cluster', 'O3', 'O2', 0.5863905325443787, 0.16134357452392578]
['CO', 300, 'BO', 44, 'sha512sum', 'cmp', 'O2', 'O2', 0.09978463747307964, 0.042238712310791016]
['CO', 202, 'BO', 14, 'sleep', 'cmp', 'O1', 'O0', 0.22623828647925037, 0.05464744567871094]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.9621715382344257, 38.54665279388428]
['CO', 234, 'UO', 47, 'kill', 'as', 'O2', 'O3', 0.9351753453772582, 2.05733060836792]
['BO', 16, 'CO', 31, 'make', 'date', 'O0', 'O3', 0.6370299553855959, 0.34618520736694336]
['UO', 10, 'CO', 145, 'objcopy', 'echo', 'O1', 'O1', 0.9204745166959578, 1.674144983291626]
['BO', 43, 'CO', 375, 'diff', 'logname', 'O1', 'O0', 0.5703908682116915, 0.14193224906921387]
['CO', 298, 'UO', 70, 'tr', 'ranlib', 'O2', 'O0', 0.9243664277247841, 3.4112205505371094]
['BO', 14, 'CO', 165, 'cmp', 'cksum', 'O0', 'O1', 0.22348232154769843, 0.05191946029663086]
['BO', 45, 'CO', 4, 'diff', 'test', 'O2', 'O3', 0.4974428912376406, 0.11953139305114746]
['UO', 51, 'CO', 326, 'objcopy', 'stty', 'O3', 'O0', 0.8546887781661338, 1.4242339134216309]
['UO', 53, 'CO', 235, 'gprof', 'wc', 'O3', 'O2', 0.8746700723712219, 1.176171064376831]
['UO', 44, 'CO', 129, 'nm', 'chgrp', 'O3', 'O1', 0.7950181629475869, 1.2462823390960693]
['CO', 255, 'UO', 65, 'numfmt', 'sdiff', 'O2', 'O3', 0.15045248868778283, 0.05376839637756348]
